date,MACD_Signal,MACD_Hist,MACD
2021-01-19,3.3176,0.5043,3.8219
2021-01-15,3.1915,0.2762,3.4678
2021-01-14,3.1225,0.3296,3.452
2021-01-13,3.0401,0.2826,3.3226
2021-01-12,2.9694,0.2813,3.2507
2021-01-11,2.8991,0.2583,3.1574
2021-01-08,2.8345,0.2383,3.0729
2021-01-07,2.7749,0.2726,3.0475
2021-01-06,2.7068,0.092,2.7988
2021-01-05,2.6838,-0.0396,2.6442
2021-01-04,2.6937,-0.3005,2.3932
2020-12-31,2.7688,-0.4039,2.3649
2020-12-30,2.8698,-0.6905,2.1793
2020-12-29,3.0424,-0.7999,2.2425
2020-12-28,3.2424,-0.7776,2.4648
2020-12-24,3.4368,-0.7699,2.6669
2020-12-23,3.6293,-0.7352,2.8941
2020-12-22,3.8131,-0.6069,3.2062
2020-12-21,3.9648,-0.4569,3.508
2020-12-18,4.079,-0.3418,3.7372
2020-12-17,4.1645,-0.1879,3.9766
2020-12-16,4.2114,-0.0687,4.1427
2020-12-15,4.2286,-0.0084,4.2203
2020-12-14,4.2307,0.0108,4.2415
2020-12-11,4.228,0.1429,4.3709
2020-12-10,4.1923,0.38299999999999995,4.5752
2020-12-09,4.0965,0.5967,4.6932
2020-12-08,3.9474,0.8148,4.7622
2020-12-07,3.7437,0.8562,4.5998
2020-12-04,3.5296,0.8551,4.3847
2020-12-03,3.3158,0.6562,3.972
2020-12-02,3.1518,0.586,3.7378
2020-12-01,3.0053,0.4595,3.4648
2020-11-30,2.8904,0.3823,3.2728
2020-11-27,2.7949,0.4896,3.2845
2020-11-25,2.6724,0.5649,3.2374
2020-11-24,2.5312,0.6804,3.2116
2020-11-23,2.3611,0.718,3.0791
2020-11-20,2.1816,0.6601,2.8417
2020-11-19,2.0166,0.7639,2.7805
2020-11-18,1.8256,0.7925,2.6181
2020-11-17,1.6275,0.8563,2.4838
2020-11-16,1.4134,0.7355,2.1489
2020-11-13,1.2295,0.4739,1.7034
2020-11-12,1.111,0.3992,1.5102
2020-11-11,1.0112,0.4015,1.4127
2020-11-10,0.9109,0.3457,1.2565
2020-11-09,0.8244,0.3112,1.1356
2020-11-06,0.7466,0.1621,0.9088
2020-11-05,0.7061,-0.0187,0.6874
2020-11-04,0.7108,-0.2568,0.45399999999999996
2020-11-03,0.775,-0.3587,0.4163
2020-11-02,0.8646,-0.4131,0.4516
