date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,15.64,16.15,15.34,15.855,14100488.0
2021-01-11,15.64,16.15,15.34,15.855,14100488.0
2021-01-06,15.64,16.15,15.34,15.855,14100488.0
2020-11-19,15.855,15.855,15.855,15.855,4016.0
2020-11-16,15.64,16.15,15.34,15.855,26574166.0
2020-11-13,15.54,15.72,15.3,15.55,8509515.0
2020-11-12,15.63,15.695,15.25,15.51,12548350.0
2020-11-11,15.71,16.1,15.43,15.7,9762900.0
2020-11-10,15.22,16.0,15.1,15.64,18171861.0
2020-11-09,15.34,15.77,15.03,15.12,11475184.0
2020-11-06,15.47,15.47,14.465,14.65,9524476.0
2020-11-05,15.11,15.61,14.98,15.14,14470158.0
2020-11-04,15.3,15.52,14.93,15.075,10301570.0
2020-11-03,15.3,15.51,15.11,15.14,6771539.0
2020-11-02,14.79,15.14,14.6,15.14,7260684.0
2020-10-30,14.38,14.89,14.335,14.54,9155620.0
2020-10-29,14.1,14.5,14.001,14.37,3548552.0
2020-10-28,14.24,14.37,14.015,14.3,4895649.0
2020-10-27,14.77,15.04,14.42,14.46,3671688.0
2020-10-26,15.51,15.52,14.865,15.05,3514760.0
2020-10-23,15.75,15.8,15.44,15.69,2598019.0
2020-10-22,15.21,15.73,15.08,15.6,3537048.0
2020-10-21,15.08,15.53,15.08,15.14,3117870.0
2020-10-20,15.66,15.81,15.25,15.31,2838483.0
2020-10-19,15.73,15.805,15.39,15.42,3189995.0
2020-10-16,15.82,16.08,15.58,15.71,7066228.0
2020-10-15,15.39,15.75,15.26,15.735,2571993.0
2020-10-14,15.58,15.865,15.53,15.55,3042984.0
2020-10-13,15.72,15.85,15.445,15.59,3709350.0
2020-10-12,15.82,16.0,15.67,15.98,3196672.0
2020-10-09,15.87,15.97,15.47,15.64,3447702.0
2020-10-08,15.08,15.76,14.92,15.72,5484716.0
2020-10-07,14.96,15.2099,14.85,14.91,6188503.0
2020-10-06,15.17,15.3,14.825,14.87,4125860.0
2020-10-05,15.06,15.33,14.97,15.09,6272201.0
2020-10-02,14.64,15.16,14.59,14.89,4188342.0
2020-10-01,14.84,15.22,14.705,14.8,4538872.0
2020-09-30,14.6,14.99,14.59,14.83,3344608.0
2020-09-29,14.63,14.9,14.54,14.57,3163600.0
2020-09-28,14.64,14.84,14.57,14.64,4504367.0
2020-09-25,14.11,14.475,14.09,14.42,2902288.0
2020-09-24,14.29,14.425,14.02,14.21,4530547.0
2020-09-23,14.82,14.875,14.31,14.37,5600733.0
2020-09-22,14.75,14.95,14.485,14.82,5311106.0
2020-09-21,15.45,15.46,14.61,14.78,6813417.0
2020-09-18,16.16,16.19,15.61,15.73,6494076.0
2020-09-17,15.86,16.22,15.61,16.16,3781241.0
2020-09-16,16.02,16.22,15.4,16.0,8703895.0
2020-09-15,15.87,16.225,15.7,15.95,3920636.0
2020-09-14,15.46,15.835,15.285,15.77,4235022.0
2020-09-11,15.15,15.62,15.05,15.33,5763892.0
2020-09-10,15.27,15.435,15.02,15.06,6296339.0
2020-09-09,15.69,15.73,15.06,15.25,7411246.0
2020-09-08,15.81,15.91,15.53,15.635,5113455.0
2020-09-04,15.64,15.92,15.39,15.81,8787742.0
2020-09-03,15.76,16.205,15.35,15.46,5809821.0
2020-09-02,15.5,15.885,15.33,15.71,5851261.0
2020-09-01,16.3,16.34,15.42,15.5,9444070.0
2020-08-31,16.2,16.505,16.01,16.38,5010576.0
2020-08-28,16.16,16.26,16.055,16.23,2333849.0
2020-08-27,16.32,16.46,16.15,16.18,3048884.0
2020-08-26,15.97,16.47,15.88,16.31,4717527.0
2020-08-25,16.49,16.535,15.925,16.03,5186212.0
2020-08-24,16.0431,16.36,15.97,16.33,5328674.0
2020-08-21,16.36,16.44,15.85,15.99,5361453.0
2020-08-20,16.33,16.45,16.09,16.34,5958575.0
2020-08-19,16.23,17.03,16.16,16.51,6349164.0
2020-08-18,16.38,16.41,15.99,16.19,6874828.0
2020-08-17,16.23,16.515,15.95,16.25,3279348.0
2020-08-14,16.0,16.3,15.91,16.19,4435536.0
2020-08-13,16.23,16.55,16.045,16.14,4371822.0
2020-08-12,16.7,16.81,16.065,16.18,4920823.0
2020-08-11,16.6,16.86,16.56,16.64,5807733.0
2020-08-10,16.36,16.57,16.265,16.36,2160417.0
2020-08-07,16.21,16.42,16.005,16.355,3873739.0
2020-08-06,17.26,17.69,16.145,16.42,5959912.0
2020-08-05,16.42,17.13,16.23,16.9,6507184.0
2020-08-04,16.42,16.57,16.25,16.32,3744797.0
2020-08-03,16.16,16.47,15.95,16.36,3025381.0
2020-07-31,16.3,16.36,15.88,16.11,2986494.0
2020-07-30,16.69,16.69,16.295,16.33,3486934.0
2020-07-29,16.04,17.12,15.87,17.0,9217529.0
2020-07-28,16.47,16.59,16.13,16.16,2807786.0
2020-07-27,15.86,16.26,15.72,16.22,2764011.0
2020-07-24,16.02,16.12,15.76,15.96,4166471.0
2020-07-23,16.52,16.6,16.02,16.08,6387323.0
2020-07-22,16.42,16.8,16.41,16.57,3331881.0
2020-07-21,16.65,16.82,16.31,16.37,4691808.0
2020-07-20,16.75,16.9,16.53,16.65,3312564.0
2020-07-17,16.95,17.31,16.7,16.81,6276400.0
2020-07-16,16.87,17.01,16.67,16.84,3104000.0
2020-07-15,16.67,17.09,16.67,16.98,5459500.0
2020-07-14,16.31,16.54,16.09,16.52,4716100.0
2020-07-13,16.26,16.49,15.97,16.13,3986200.0
2020-07-10,15.83,16.14,15.67,16.1,2853100.0
2020-07-09,16.18,16.32,15.79,15.88,4956600.0
2020-07-08,16.07,16.26,15.88,16.19,6575600.0
2020-07-07,16.33,16.55,15.95,16.11,5491300.0
2020-07-06,16.1,16.57,15.98,16.54,6473100.0
2020-07-02,16.0,16.16,15.76,15.93,4869900.0
2020-07-01,16.02,16.27,15.7,15.76,4227700.0
2020-06-30,15.97,16.16,15.63,16.08,6161700.0
2020-06-29,16.0,16.2,15.78,15.99,2857000.0
