date,MACD,MACD_Hist,MACD_Signal
2021-02-09,0.2108,0.0363,0.1745
2021-02-08,0.2108,0.0363,0.1745
2021-02-04,0.2108,0.0363,0.1745
2021-02-02,0.2108,0.0363,0.1745
2021-01-29,0.2108,0.0363,0.1745
2020-11-19,0.1275,0.1098,0.0177
2020-11-16,0.0959,0.1056,-0.0097
2020-11-13,0.0542,0.0903,-0.0361
2020-11-12,0.0311,0.0899,-0.0587
2020-11-11,0.0054,0.0865,-0.0812
2020-11-10,-0.047,0.0559,-0.1028
2020-11-09,-0.1069,0.0098,-0.1168
2020-11-06,-0.129,-0.0098,-0.1192
2020-11-05,-0.1074,0.0094,-0.1168
2020-11-04,-0.1282,-0.0091,-0.1191
2020-11-03,-0.1463,-0.0294,-0.1169
2020-11-02,-0.1738,-0.0643,-0.1095
2020-10-30,-0.2065,-0.113,-0.0934
2020-10-29,-0.184,-0.1188,-0.0652
2020-10-28,-0.1354,-0.0999,-0.0355
2020-10-27,-0.0642,-0.0537,-0.0105
2020-10-26,0.0113,0.0084,0.0029
2020-10-23,0.0474,0.0466,0.0008
2020-10-22,0.0277,0.0385,-0.0109
2020-10-21,0.0112,0.0317,-0.0205
2020-10-20,0.0369,0.0653,-0.0284
2020-10-19,0.0519,0.0966,-0.0447
2020-10-16,0.059,0.1279,-0.0689
2020-10-15,0.0376,0.1385,-0.1009
2020-10-14,0.0073,0.1428,-0.1355
2020-10-13,-0.0126,0.1586,-0.1712
2020-10-12,-0.042,0.1689,-0.2108
2020-10-09,-0.1185,0.1345,-0.2531
2020-10-08,-0.1799,0.1068,-0.2867
2020-10-07,-0.2637,0.0497,-0.3134
2020-10-06,-0.2845,0.0414,-0.3258
2020-10-05,-0.3027,0.0334,-0.3361
2020-10-02,-0.344,0.0005,-0.3445
2020-10-01,-0.3713,-0.0267,-0.3446
2020-09-30,-0.3916,-0.0536,-0.338
2020-09-29,-0.4149,-0.0903,-0.3246
2020-09-28,-0.4121,-0.1101,-0.302
2020-09-25,-0.4097,-0.1352,-0.2744
2020-09-24,-0.3782,-0.1376,-0.2406
2020-09-23,-0.3112,-0.1049,-0.2062
2020-09-22,-0.2374,-0.0574,-0.18
2020-09-21,-0.1856,-0.0199,-0.1657
2020-09-18,-0.1126,0.0481,-0.1607
2020-09-17,-0.1146,0.0581,-0.1727
2020-09-16,-0.1593,0.0279,-0.1872
2020-09-15,-0.1977,-0.0035,-0.1942
2020-09-14,-0.2388,-0.0455,-0.1933
2020-09-11,-0.2694,-0.0875,-0.1819
2020-09-10,-0.2598,-0.0997,-0.1601
2020-09-09,-0.2162,-0.0811,-0.1351
2020-09-08,-0.1768,-0.0619,-0.1149
2020-09-04,-0.1631,-0.0638,-0.0994
2020-09-03,-0.1611,-0.0777,-0.0834
2020-09-02,-0.1206,-0.0566,-0.064
2020-09-01,-0.0925,-0.0426,-0.0499
2020-08-31,-0.034,0.0052,-0.0392
2020-08-28,-0.0484,-0.0079,-0.0405
2020-08-27,-0.0508,-0.0122,-0.0385
2020-08-26,-0.048,-0.0125,-0.0355
2020-08-25,-0.057,-0.0246,-0.0324
2020-08-24,-0.0392,-0.0129,-0.0262
2020-08-21,-0.0463,-0.0234,-0.023
2020-08-20,-0.0202,-0.0031,-0.0171
2020-08-19,-0.0223,-0.0059,-0.0164
2020-08-18,-0.0418,-0.0269,-0.0149
2020-08-17,-0.0336,-0.0255,-0.0081
2020-08-14,-0.0287,-0.027000000000000003,-0.0018
2020-08-13,-0.016,-0.021,0.005
2020-08-12,0.0056,-0.0046,0.0102
2020-08-11,0.029,0.0176,0.0114
2020-08-10,0.0116,0.0046,0.006999999999999999
2020-08-07,0.0177,0.0119,0.0058
2020-08-06,0.0258,0.023,0.0028
2020-08-05,0.0292,0.0321,-0.0029
2020-08-04,-0.0159,-0.0049,-0.011
2020-08-03,-0.0141,-0.0043,-0.0097
2020-07-31,-0.0157,-0.006999999999999999,-0.0087
2020-07-30,0.008,0.0149,-0.0069
2020-07-29,0.0157,0.0263,-0.0106
2020-07-28,-0.0429,-0.0257,-0.0172
2020-07-27,-0.0316,-0.0208,-0.0108
2020-07-24,-0.0228,-0.0172,-0.0056
2020-07-23,0.0152,0.0165,-0.0013
2020-07-22,0.0514,0.0568,-0.0054
2020-07-21,0.0468,0.0664,-0.0196
2020-07-20,0.0607,0.0969,-0.0362
2020-07-17,0.049,0.1095,-0.0605
2020-07-16,0.0171,0.105,-0.0878
2020-07-15,-0.0269,0.0872,-0.1141
2020-07-14,-0.097,0.0389,-0.1359
2020-07-13,-0.1381,0.0075,-0.1456
2020-07-10,-0.1489,-0.0015,-0.1475
2020-07-09,-0.1575,-0.0104,-0.1471
2020-07-08,-0.1438,0.0007,-0.1445
2020-07-07,-0.1558,-0.0111,-0.1447
2020-07-06,-0.1606,-0.0187,-0.1419
2020-07-02,-0.2083,-0.071,-0.1372
2020-07-01,-0.2039,-0.0845,-0.1195
2020-06-30,-0.1781,-0.0798,-0.0984
2020-06-29,-0.1752,-0.0967,-0.0784
2020-06-26,-0.1597,-0.1054,-0.0542
2020-06-25,-0.1274,-0.0995,-0.0279
2020-06-24,-0.1343,-0.1313,-0.003
2020-06-23,-0.1044,-0.1342,0.0298
2020-06-22,-0.0872,-0.1506,0.0634
2020-06-19,-0.0863,-0.1873,0.101
2020-06-18,-0.0534,-0.2013,0.1479
2020-06-17,-0.028,-0.2261,0.1982
2020-06-16,0.0416,-0.2131,0.2547
2020-06-15,0.1135,-0.1945,0.308
2020-06-12,0.227,-0.1296,0.3566
2020-06-11,0.3645,-0.0245,0.3891
2020-06-10,0.4981,0.1029,0.3952
2020-06-09,0.5579,0.1885,0.3695
2020-06-08,0.5107,0.1884,0.3223
2020-06-05,0.4094,0.1341,0.2753
2020-06-04,0.3871,0.1453,0.2417
2020-06-03,0.35,0.1446,0.2054
2020-06-02,0.3138,0.1445,0.1692
2020-06-01,0.2691,0.136,0.1331
2020-05-29,0.194,0.0949,0.0991
2020-05-28,0.1512,0.0758,0.0754
2020-05-27,0.0762,0.0197,0.0564
2020-05-26,-0.0116,-0.0631,0.0515
2020-05-22,-0.0196,-0.0869,0.0673
2020-05-21,0.0214,-0.0676,0.08900000000000001
2020-05-20,0.0373,-0.0686,0.1059
2020-05-19,0.0244,-0.0986,0.123
2020-05-18,0.0346,-0.1131,0.1477
2020-05-15,0.0054,-0.1706,0.17600000000000002
2020-05-14,0.1003,-0.1183,0.2186
2020-05-13,0.214,-0.0342,0.2482
2020-05-12,0.3233,0.0665,0.2568
2020-05-11,0.3879,0.1478,0.2401
2020-05-08,0.3914,0.1883,0.2032
2020-05-07,0.3271,0.171,0.1561
2020-05-06,0.2657,0.1524,0.1133
2020-05-05,0.2298,0.1545,0.0753
2020-05-04,0.2107,0.174,0.0366
2020-05-01,0.1882,0.1951,-0.0069
2020-04-30,0.1971,0.2528,-0.0557
2020-04-29,0.1399,0.2588,-0.1189
2020-04-28,0.0089,0.1924,-0.1836
2020-04-27,-0.0689,0.1627,-0.2317
2020-04-24,-0.1367,0.1357,-0.2724
2020-04-23,-0.1825,0.1238,-0.3063
2020-04-22,-0.1915,0.1457,-0.3372
2020-04-21,-0.1604,0.2132,-0.3736
2020-04-20,-0.1409,0.2861,-0.4269
2020-04-17,-0.1882,0.3102,-0.4985
2020-04-16,-0.2713,0.3047,-0.5760000000000001
2020-04-15,-0.3113,0.3408,-0.6522
2020-04-14,-0.3538,0.3836,-0.7374
2020-04-13,-0.4935,0.3398,-0.8333
2020-04-09,-0.6351,0.2831,-0.9182
2020-04-08,-0.8087,0.1803,-0.989
2020-04-07,-0.9227,0.1114,-1.0341
2020-04-06,-0.9764,0.0855,-1.0619
2020-04-03,-0.9972,0.0861,-1.0833
2020-04-02,-0.9786,0.1262,-1.1048
2020-04-01,-0.959,0.1773,-1.1364
2020-03-31,-0.9547,0.226,-1.1807
2020-03-30,-1.0015,0.2358,-1.2372
2020-03-27,-1.0629,0.2333,-1.2962
2020-03-26,-1.1064,0.248,-1.3545
2020-03-25,-1.2132,0.2033,-1.4165
2020-03-24,-1.2696,0.1977,-1.4673
2020-03-23,-1.3446,0.1721,-1.5167
2020-03-20,-1.4818,0.0779,-1.5598
2020-03-19,-1.5856,-0.0063,-1.5792
2020-03-18,-1.6562,-0.0785,-1.5777
2020-03-17,-1.652,-0.094,-1.558
2020-03-16,-1.7641,-0.2296,-1.5345
2020-03-13,-1.8276,-0.3505,-1.4771
2020-03-12,-1.8831,-0.4936,-1.3895
2020-03-11,-1.7443,-0.4782,-1.2661
2020-03-10,-1.665,-0.5184,-1.1465
2020-03-09,-1.6016,-0.5846,-1.0169
2020-03-06,-1.4261,-0.5553,-0.8708
2020-03-05,-1.2852,-0.5533,-0.7319
2020-03-04,-1.1509,-0.5573,-0.5936
2020-03-03,-1.0442,-0.5899,-0.4543
2020-03-02,-0.8377,-0.5309,-0.3068
2020-02-28,-0.6833,-0.5092,-0.1741
2020-02-27,-0.4466,-0.3998,-0.0468
2020-02-26,-0.2898,-0.3429,0.0532
2020-02-25,-0.1729,-0.3118,0.1389
2020-02-24,-0.058,-0.2748,0.2168
2020-02-21,0.0479,-0.2377,0.2855
2020-02-20,0.0968,-0.2482,0.345
2020-02-19,0.1807,-0.2263,0.407
2020-02-18,0.2877,-0.1759,0.4636
2020-02-14,0.3813,-0.1262,0.5076
2020-02-13,0.4323,-0.1069,0.5391
2020-02-12,0.5174,-0.0484,0.5658
2020-02-11,0.5656,-0.0123,0.5779
2020-02-10,0.5996,0.0186,0.581
2020-02-07,0.6068,0.0304,0.5764
2020-02-06,0.5918,0.0231,0.5688
2020-02-05,0.556,-0.006999999999999999,0.563
2020-02-04,0.5021,-0.0626,0.5647
2020-02-03,0.4862,-0.0942,0.5804
2020-01-31,0.5239,-0.08,0.6039
2020-01-30,0.5848,-0.0391,0.624
2020-01-29,0.6031,-0.0306,0.6337
2020-01-28,0.5994,-0.042,0.6414
2020-01-27,0.6124,-0.0395,0.6519
2020-01-24,0.6893,0.0276,0.6618
2020-01-23,0.7072,0.0524,0.6549
2020-01-22,0.6903,0.0485,0.6418
2020-01-21,0.6942,0.0646,0.6297
2020-01-17,0.7034,0.0899,0.6135
2020-01-16,0.7039,0.1128,0.591
2020-01-15,0.6627,0.0999,0.5628
2020-01-14,0.5923,0.0545,0.5379
2020-01-13,0.5805,0.0562,0.5243
2020-01-10,0.5996,0.0894,0.5102
2020-01-09,0.6082,0.1204,0.4879
2020-01-08,0.6022,0.1445,0.4578
2020-01-07,0.5563,0.1346,0.4216
2020-01-06,0.4946,0.1067,0.388
2020-01-03,0.4393,0.078,0.3613
2020-01-02,0.4305,0.0887,0.3418
2019-12-31,0.3672,0.0476,0.3197
2019-12-30,0.3371,0.0293,0.3078
2019-12-27,0.3619,0.0615,0.3004
2019-12-26,0.3589,0.0738,0.285
2019-12-24,0.364,0.0974,0.2666
2019-12-23,0.3388,0.0965,0.2422
2019-12-20,0.2935,0.0754,0.2181
2019-12-19,0.2446,0.0454,0.1993
2019-12-18,0.2205,0.0326,0.1879
2019-12-17,0.2384,0.0586,0.1798
2019-12-16,0.2619,0.0967,0.1651
2019-12-13,0.2676,0.1267,0.1409
2019-12-12,0.2599,0.1506,0.1093
2019-12-11,0.1913,0.1197,0.0716
2019-12-10,0.1895,0.1478,0.0417
2019-12-09,0.1962,0.1914,0.0048
2019-12-06,0.1687,0.2118,-0.0431
2019-12-05,0.1038,0.1998,-0.096
2019-12-04,0.0591,0.205,-0.146
2019-12-03,0.0032,0.2004,-0.1973
2019-12-02,-0.0326,0.2148,-0.2474
2019-11-29,-0.091,0.2101,-0.3011
2019-11-27,-0.1764,0.1772,-0.3536
2019-11-26,-0.2829,0.115,-0.3979
2019-11-25,-0.3657,0.0609,-0.4266
2019-11-22,-0.4418,0.0,-0.4418
2019-11-21,-0.4591,-0.0173,-0.4419
2019-11-20,-0.4776,-0.0401,-0.4375
2019-11-19,-0.4811,-0.0535,-0.4275
2019-11-18,-0.4815,-0.0673,-0.4141
2019-11-15,-0.4709,-0.0737,-0.3973
2019-11-14,-0.4985,-0.1196,-0.3789
2019-11-13,-0.4816,-0.1327,-0.349
2019-11-12,-0.4541,-0.1383,-0.3158
2019-11-11,-0.4389,-0.1577,-0.2812
2019-11-08,-0.3835,-0.1417,-0.2418
2019-11-07,-0.3449,-0.1385,-0.2064
2019-11-06,-0.2295,-0.0578,-0.1717
2019-11-05,-0.0952,0.0621,-0.1573
2019-11-04,0.0144,0.1872,-0.1728
2019-11-01,-0.0444,0.1753,-0.2196
2019-10-31,-0.1126,0.1508,-0.2634
2019-10-30,-0.1442,0.157,-0.3011
2019-10-29,-0.2088,0.1316,-0.3404
2019-10-28,-0.3066,0.0667,-0.3733
2019-10-25,-0.3638,0.0262,-0.39
2019-10-24,-0.404,-0.0075,-0.3965
2019-10-23,-0.4037,-0.009000000000000001,-0.3946
2019-10-22,-0.4254,-0.033,-0.3924
2019-10-21,-0.425,-0.0409,-0.3841
2019-10-18,-0.4021,-0.0282,-0.3739
2019-10-17,-0.3852,-0.0184,-0.3669
2019-10-16,-0.4142,-0.0519,-0.3623
2019-10-15,-0.4303,-0.081,-0.3493
2019-10-14,-0.4543,-0.1253,-0.329
2019-10-11,-0.4468,-0.1491,-0.2977
2019-10-10,-0.4694,-0.209,-0.2604
2019-10-09,-0.4476,-0.2395,-0.2082
2019-10-08,-0.4093,-0.261,-0.1483
2019-10-07,-0.3492,-0.2662,-0.0831
2019-10-04,-0.3144,-0.2979,-0.0165
2019-10-03,-0.2724,-0.3304,0.058
2019-10-02,-0.2068,-0.3474,0.1406
2019-10-01,-0.0895,-0.3169,0.2274
2019-09-30,0.031,-0.2756,0.3066
2019-09-27,0.0876,-0.2879,0.3755
2019-09-26,0.2085,-0.239,0.4475
2019-09-25,0.3119,-0.1953,0.5073
2019-09-24,0.4027,-0.1534,0.5561
2019-09-23,0.5321,-0.0623,0.5944
2019-09-20,0.5948,-0.0152,0.61
2019-09-19,0.6519,0.0381,0.6138
2019-09-18,0.7154,0.1111,0.6043
2019-09-17,0.7564,0.1799,0.5765
2019-09-16,0.7835,0.2519,0.5316
2019-09-13,0.769,0.3005,0.4686
2019-09-12,0.7506,0.3571,0.3935
2019-09-11,0.6601,0.3559,0.3042
2019-09-10,0.5055,0.2903,0.2152
2019-09-09,0.3670000000000001,0.2244,0.1426
2019-09-06,0.2551,0.1686,0.0865
2019-09-05,0.1769,0.1325,0.0444
2019-09-04,0.105,0.0937,0.0112
2019-09-03,0.0605,0.0727,-0.0122
2019-08-30,0.0507,0.0811,-0.0304
2019-08-29,0.0172,0.0678,-0.0507
2019-08-28,-0.0697,-0.0021,-0.0676
2019-08-27,-0.1032,-0.0361,-0.0671
2019-08-26,-0.0956,-0.0375,-0.0581
2019-08-23,-0.0967,-0.048,-0.0487
2019-08-22,-0.0509,-0.0142,-0.0367
2019-08-21,-0.0629,-0.0298,-0.0332
2019-08-20,-0.0825,-0.0568,-0.0257
2019-08-19,-0.1063,-0.0948,-0.0115
2019-08-16,-0.1453,-0.1574,0.0122
2019-08-15,-0.1257,-0.1773,0.0515
2019-08-14,-0.0053,-0.1011,0.0958
2019-08-13,0.1048,-0.0164,0.1211
2019-08-12,0.0726,-0.0526,0.1252
2019-08-09,0.0906,-0.0477,0.1384
2019-08-08,0.0767,-0.0736,0.1503
2019-08-07,0.0974,-0.0713,0.1687
2019-08-06,0.1836,-0.0029,0.1865
