date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,2.94,2.94,2.81,2.89,1672327.0
2021-01-06,2.86,2.99,2.7832,2.89,2660552.0
2021-01-05,2.61,2.79,2.61,2.75,1473508.0
2021-01-04,2.65,2.665,2.52,2.65,1763123.0
2020-12-31,2.76,2.775,2.61,2.63,1597113.0
2020-12-30,2.74,2.815,2.69,2.77,1276932.0
2020-12-29,2.79,2.83,2.7,2.74,1342304.0
2020-12-28,3.03,3.04,2.7841,2.81,1875760.0
2020-12-24,2.87,3.07,2.83,3.02,1676957.0
2020-12-23,2.84,2.91,2.78,2.87,1614159.0
2020-12-22,2.84,2.93,2.77,2.81,1376576.0
2020-12-21,2.69,2.83,2.62,2.83,1368208.0
2020-12-18,2.82,2.84,2.72,2.73,1901695.0
2020-12-17,2.75,2.84,2.7315,2.78,1038937.0
2020-12-16,2.73,2.8162,2.73,2.75,1223698.0
2020-12-15,2.75,2.76,2.67,2.73,1446632.0
2020-12-14,2.9,2.95,2.7,2.71,3596631.0
2020-12-11,3.16,3.17,2.87,2.95,3549082.0
2020-12-10,3.0,3.21,2.9419,3.16,1496160.0
2020-12-09,3.22,3.23,3.02,3.06,2019156.0
2020-12-08,3.23,3.28,3.16,3.23,1404848.0
2020-12-07,3.35,3.41,3.215,3.27,1536181.0
2020-12-04,3.31,3.38,3.26,3.35,1209446.0
2020-12-03,3.31,3.4,3.25,3.3,1069205.0
2020-12-02,3.3,3.3689,3.21,3.31,1632287.0
2020-12-01,3.43,3.49,3.295,3.3,1889610.0
2020-11-30,3.36,3.45,3.24,3.43,3572134.0
2020-11-27,3.46,3.49,3.305,3.36,1592820.0
2020-11-25,3.36,3.49,3.28,3.41,2032902.0
2020-11-24,3.28,3.45,3.22,3.4,3173045.0
2020-11-23,3.06,3.29,3.0401,3.22,3340791.0
2020-11-20,3.04,3.1,2.92,3.05,2212695.0
2020-11-19,2.73,3.12,2.7,3.08,4522844.0
2020-11-18,2.72,2.76,2.64,2.7,1910725.0
2020-11-17,2.77,2.87,2.655,2.67,3161703.0
2020-11-16,2.7,2.77,2.6,2.75,2245475.0
