date,MFI
2016-01-25,43.8487
2016-01-26,47.7512
2016-01-27,42.8249
2016-01-28,50.3679
2016-01-29,66.7304
2016-02-01,67.8963
2016-02-02,74.7297
2016-02-03,79.048
2016-02-04,77.827
2016-02-05,84.1927
2016-02-08,87.3323
2016-02-09,84.6938
2016-02-10,85.6545
2016-02-11,85.7574
2016-02-12,85.2254
2016-02-16,84.8138
2016-02-17,94.8639
2016-02-18,93.9932
2016-02-19,73.0375
2016-02-22,68.4095
2016-02-23,67.3514
2016-02-24,69.1998
2016-02-25,78.7729
2016-02-26,31.7761
2016-02-29,25.1369
2016-03-01,35.5519
2016-03-02,24.4269
2016-03-03,11.18
2016-03-04,13.7814
2016-03-07,59.8228
2016-03-08,63.4039
2016-03-09,60.0072
2016-03-10,60.3126
2016-03-11,59.5771
2016-03-14,55.1206
2016-03-15,54.8024
2016-03-16,54.1704
2016-03-17,56.5792
2016-03-18,57.1735
2016-03-21,55.3449
2016-03-22,58.5945
2016-03-23,75.4982
2016-03-24,75.258
2016-03-28,50.4846
2016-03-29,37.7002
2016-03-30,43.4754
2016-03-31,47.4813
2016-04-01,59.9887
2016-04-04,84.349
2016-04-05,90.1934
2016-04-06,93.8703
2016-04-07,97.4648
2016-04-08,92.6303
2016-04-11,93.9683
2016-04-12,86.3946
2016-04-13,84.3274
2016-04-14,81.6479
2016-04-15,80.4037
2016-04-18,78.8457
2016-04-19,79.6124
2016-04-20,79.4356
2016-04-21,78.028
2016-04-22,77.5327
2016-04-25,75.0756
2016-04-26,67.3163
2016-04-27,28.8768
2016-04-28,35.087
2016-04-29,18.588
2016-05-02,37.6444
2016-05-03,34.2322
2016-05-04,37.0164
2016-05-05,37.5763
2016-05-06,45.6048
2016-05-09,41.9657
2016-05-10,39.221
2016-05-11,43.579
2016-05-12,37.6322
2016-05-13,44.3255
2016-05-16,41.5314
2016-05-17,40.4643
2016-05-18,42.8098
2016-05-19,51.0651
2016-05-20,69.013
2016-05-23,91.6133
2016-05-24,96.0801
2016-05-25,96.3609
2016-05-26,96.688
2016-05-27,89.3273
2016-05-31,91.5651
2016-06-01,92.7772
2016-06-02,87.8396
2016-06-03,88.3326
2016-06-06,89.3233
2016-06-07,90.0665
2016-06-08,90.7964
2016-06-09,84.6137
2016-06-10,78.9694
