date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,500.0,506.32,495.1,497.98,5895788.0
2021-01-14,507.35,514.5,499.58,500.86,4177357.0
2021-01-13,495.5012,512.3542,493.01,507.79,5032099.0
2021-01-12,500.0,501.09,485.6701,494.25,5955729.0
2021-01-11,507.84,510.725,497.95,499.1,3812720.0
2021-01-08,511.31,513.24,504.51,510.4,2973949.0
2021-01-07,508.28,516.44,506.42,508.89,3686448.0
2021-01-06,511.97,513.0998,499.5,500.49,5245049.0
2021-01-05,521.55,526.78,515.89,520.8,3133872.0
2021-01-04,539.0,540.8,515.085,522.86,4444407.0
2020-12-31,525.53,545.5,523.1502,540.73,5392322.0
2020-12-30,530.13,533.2575,523.69,524.59,1876286.0
2020-12-29,519.9,536.5478,515.4801,530.87,4022358.0
2020-12-28,516.43,523.66,507.13,519.12,2869734.0
2020-12-24,515.12,519.345,512.2104,513.97,1143952.0
2020-12-23,524.76,526.32,514.2,514.48,2393187.0
2020-12-22,527.69,530.4,520.5,527.33,1908529.0
2020-12-21,530.05,532.62,521.15,528.91,3893964.0
2020-12-18,533.2,536.37,526.02,534.45,4502692.0
2020-12-17,529.0,535.49,526.44,532.9,3193377.0
2020-12-16,520.11,527.38,517.69,524.83,3682392.0
2020-12-15,518.5,524.7,513.56,519.78,3398209.0
2020-12-14,505.44,524.1603,501.18,522.42,5770424.0
2020-12-11,495.0,503.34,494.85,503.22,3210928.0
2020-12-10,494.56,503.77,492.91,501.09,3018203.0
2020-12-09,510.53,514.5,491.29,493.6,4178768.0
2020-12-08,517.9,521.4909,505.55,512.66,4228950.0
2020-12-07,500.01,517.76,497.77,515.78,4289293.0
2020-12-04,497.5,504.5,493.64,498.31,3666243.0
2020-12-03,502.99,508.77,496.04,497.52,2826116.0
2020-12-02,501.62,506.795,493.5,503.38,3028358.0
2020-12-01,492.3404,509.47,491.9812,504.58,4904884.0
2020-11-30,490.08,492.55,481.2678,490.7,3530940.0
2020-11-27,486.58,493.25,481.845,491.36,2805762.0
2020-11-25,485.13,486.9,478.919,485.0,3598629.0
2020-11-24,478.84,484.05,475.89,482.88,3462363.0
2020-11-23,490.46,491.15,475.84,476.62,5416571.0
2020-11-20,485.22,494.76,481.57,488.24,4255924.0
2020-11-19,482.0,487.8,480.47,484.67,2254653.0
2020-11-18,481.95,488.61,477.7212,481.79,3629237.0
2020-11-17,480.12,487.51,478.8525,480.63,3698082.0
2020-11-16,480.0,485.58,477.3,479.1,3953563.0
2020-11-13,486.77,488.94,477.8,482.84,3006510.0
2020-11-12,491.0,496.52,480.4255,486.77,5071155.0
2020-11-11,483.0,491.68,478.26,490.76,5460532.0
2020-11-10,470.95,484.6,463.41,480.24,8306142.0
2020-11-09,485.54,495.85,467.26,470.5,10419676.0
2020-11-06,515.0,515.21,502.51,514.73,4236349.0
2020-11-05,506.56,518.7337,503.45,513.76,5372781.0
2020-11-04,495.36,507.73,493.98,496.95,5137330.0
2020-11-03,484.93,495.305,478.76,487.22,3690213.0
2020-11-02,478.87,486.3,475.0,484.12,4408193.0
2020-10-30,502.01,505.88,472.21,475.74,7813897.0
2020-10-29,488.5,513.8999,479.34,504.21,11120689.0
2020-10-28,486.36,494.0,483.28,486.24,5992731.0
2020-10-27,490.01,490.49,482.93,488.93,3627175.0
2020-10-26,487.025,496.82,478.9,488.24,6186087.0
2020-10-23,488.11,490.06,481.35,488.28,4927862.0
2020-10-22,494.69,495.14,482.0,485.23,6997922.0
2020-10-21,501.03,506.85,488.25,489.05,17405708.0
2020-10-20,528.14,533.78,522.26,525.42,10047175.0
2020-10-19,537.07,541.8,525.38,530.72,7567506.0
2020-10-16,549.5,554.33,530.03,530.79,6347363.0
2020-10-15,545.52,551.22,535.1,541.94,5113126.0
2020-10-14,562.61,572.49,541.0,541.45,9510081.0
2020-10-13,540.56,557.65,537.2,554.09,5602498.0
2020-10-12,548.81,551.81,538.24,539.81,5391074.0
2020-10-09,537.8339,544.28,535.0,539.44,4781259.0
2020-10-08,533.48,535.0,524.15,531.79,5386488.0
2020-10-07,518.0,536.49,515.815,534.66,7988683.0
2020-10-06,518.72,521.82,504.16,505.87,4199034.0
2020-10-05,506.8,520.99,501.6997,520.65,4088069.0
2020-10-02,516.43,526.3714,502.7,503.06,6071165.0
2020-10-01,506.03,529.55,503.6,527.51,8153710.0
2020-09-30,492.57,504.63,489.2704,500.03,4634111.0
2020-09-29,489.5,496.2868,486.53,493.48,3543193.0
2020-09-28,489.1094,492.0,477.88,490.65,4773497.0
2020-09-25,474.39,484.87,468.0258,482.88,3769436.0
2020-09-24,470.53,477.0,467.82,473.08,3727201.0
2020-09-23,491.04,491.04,469.0,470.61,3726423.0
2020-09-22,489.01,491.82,479.26,491.17,3482324.0
2020-09-21,467.6923,487.775,466.32,487.35,5457539.0
2020-09-18,472.51,479.4,458.6,469.96,6717711.0
2020-09-17,475.16,478.4,463.27,470.2,5379301.0
