date,MACD_Signal,MACD_Hist,MACD
2021-02-02,4.9151,-1.3863,3.5287
2021-02-01,5.6082,-2.8742,2.734
2021-01-29,8.2558,0.2956,8.5514
2021-01-28,8.1819,1.5753,9.7572
2021-01-27,7.7881,2.734,10.5221
2021-01-26,7.1046,5.8005,12.9051
2021-01-25,5.6545,6.1693,11.8238
2021-01-22,4.1121,6.6839,10.796
2021-01-21,2.4412,6.0317,8.4729
2021-01-20,0.9332,2.9576,3.8908
2021-01-19,0.1938,-2.8698,-2.676
2021-01-15,0.9113,-3.3192,-2.4079
2021-01-14,1.7411,-3.3859,-1.6448
2021-01-13,2.5875,-3.5277,-0.9401
2021-01-12,3.4695,-4.2021,-0.7327
2021-01-11,4.52,-3.5986,0.9214
2021-01-08,5.4196,-2.8942,2.5254
2021-01-07,6.1432,-2.7578,3.3854
2021-01-06,6.8326,-2.2451,4.5876
2021-01-05,7.3939,-0.4834,6.9105
2021-01-04,7.5148,0.1923,7.707000000000002
2020-12-31,7.4667,0.9351,8.4018
2020-12-30,7.2329,0.114,7.3469
2020-12-29,7.2044,0.3325,7.5369
2020-12-28,7.1213,-0.0908,7.0304
2020-12-24,7.144,0.3341,7.478
2020-12-23,7.0604,1.4045,8.465
2020-12-22,6.7093,2.8403,9.5496
2020-12-21,5.9992,3.4874,9.4867
2020-12-18,5.1274,3.9801,9.1075
2020-12-17,4.1323,3.7947,7.927
2020-12-16,3.1837,3.2792,6.4628
2020-12-15,2.3639,2.9578,5.3216
2020-12-14,1.6244,2.6774,4.3018
2020-12-11,0.9551,1.7137,2.6688
2020-12-10,0.5267,1.9739,2.5006
2020-12-09,0.0332,2.4332,2.4664
2020-12-08,-0.5751,3.7245,3.1494
2020-12-07,-1.5062,3.5410000000000004,2.0348
2020-12-04,-2.3915,2.6564,0.2648
2020-12-03,-3.0556,2.8363,-0.2193
2020-12-02,-3.7647,3.011,-0.7537
2020-12-01,-4.5174,2.496,-2.0214
2020-11-30,-5.1414,1.4091,-3.7323
2020-11-27,-5.4937,1.0453,-4.4484
2020-11-25,-5.755,0.39,-5.365
2020-11-24,-5.8525,0.0432,-5.8093
2020-11-23,-5.8633,-0.2126,-6.0760000000000005
2020-11-20,-5.8102,0.1195,-5.6906
2020-11-19,-5.8401,-0.4591,-6.2991
2020-11-18,-5.7253,-0.8954,-6.6207
2020-11-17,-5.5014,-1.1402,-6.6416
2020-11-16,-5.2164,-1.2372,-6.4535
2020-11-13,-4.9071,-1.0568,-5.9639
2020-11-12,-4.6429,-0.99,-5.6329
2020-11-11,-4.3954,-1.1333,-5.5287
2020-11-10,-4.1121,-1.6095,-5.7216
2020-11-09,-3.7097,-1.1037,-4.8134
2020-11-06,-3.4337,0.8413,-2.5925
2020-11-05,-3.6441,-0.5795,-4.2235
2020-11-04,-3.4992,-2.6459,-6.1451
2020-11-03,-2.8377,-3.9591,-6.7968
2020-11-02,-1.848,-4.6911,-6.539
2020-10-30,-0.6752,-5.1241,-5.7993
2020-10-29,0.6058,-4.5233,-3.9175
2020-10-28,1.7366,-6.0941,-4.3574
2020-10-27,3.2602,-6.2861,-3.0259
2020-10-26,4.8317,-6.3879,-1.5563
2020-10-23,6.4287,-6.0162,0.4124
2020-10-22,7.9327,-5.0176,2.9151
2020-10-21,9.1871,-2.8096,6.3776
2020-10-20,9.8895,0.4257,10.3152
2020-10-19,9.7831,1.7048,11.4879
2020-10-16,9.3569,2.9211,12.278
2020-10-15,8.6266,4.4741,13.1007
2020-10-14,7.5081,5.3169,12.825
2020-10-13,6.1788,6.1575,12.3364
2020-10-12,4.6395,5.6069,10.2463
2020-10-09,3.2377,5.6458,8.8836
2020-10-08,1.8263,5.2264,7.0527
2020-10-07,0.5197,4.8724,5.3921
2020-10-06,-0.6984,3.6004,2.902
2020-10-05,-1.5985,4.2113,2.6128
2020-10-02,-2.6514,3.3521,0.7008
2020-10-01,-3.4894,3.5306,0.0412
2020-09-30,-4.372,1.0812,-3.2908
2020-09-29,-4.6423,-0.0554,-4.6977
2020-09-28,-4.6285,-1.1298,-5.7583
2020-09-25,-4.346,-2.394,-6.74
2020-09-24,-3.7475,-3.3564,-7.1039
2020-09-23,-2.9084,-3.5588,-6.4673
2020-09-22,-2.0187,-3.2903,-5.3091
2020-09-21,-1.1962,-4.6508,-5.8469
2020-09-18,-0.0335,-6.026,-6.0595
2020-09-17,1.473,-5.945,-4.472
2020-09-16,2.9593,-5.3645,-2.4052
2020-09-15,4.3004,-5.4235,-1.123
2020-09-14,5.6563,-6.3615,-0.7053
2020-09-11,7.2467,-5.3996,1.8471
2020-09-10,8.5966,-4.1061,4.4905
2020-09-09,9.6231,-1.6855,7.9376
2020-09-08,10.0445,0.1899,10.2343
2020-09-04,9.997,2.3246,12.3216
2020-09-03,9.4158,4.4712,13.887
2020-09-02,8.2981,6.3974,14.6955
2020-09-01,6.6987,6.0566,12.7553
2020-08-31,5.1845,4.5312,9.7157
2020-08-28,4.0518,4.3911,8.4428
2020-08-27,2.954,4.3187,7.2727
2020-08-26,1.8743,3.5567,5.431
2020-08-25,0.9851,-0.1484,0.8367
2020-08-24,1.0223,-0.2632,0.7591
2020-08-21,1.088,-0.2588,0.8292
2020-08-20,1.1527,-0.6025,0.5503
2020-08-19,1.3034,-1.6862,-0.3829
2020-08-18,1.7249,-1.932,-0.2071
2020-08-17,2.2079,-2.935,-0.727
2020-08-14,2.9417,-3.3524,-0.4108
2020-08-13,3.7798,-3.8145,-0.0348
2020-08-12,4.7334,-4.1503,0.5831
2020-08-11,5.771,-3.811,1.96
2020-08-10,6.7237,-2.1654,4.5583
2020-08-07,7.2651,-1.1315,6.1336
2020-08-06,7.547999999999999,-0.6487,6.8993
2020-08-05,7.7101,-1.3949,6.3152
2020-08-04,8.0589,-1.8714,6.1875
2020-08-03,8.5267,-3.3589,5.1678
2020-07-31,9.3664,-4.4532,4.9132
2020-07-30,10.4797,-4.9713,5.5084
2020-07-29,11.7225,-5.2209,6.5017
2020-07-28,13.0277,-5.2185,7.8092
2020-07-27,14.3324,-5.3781,8.9542
2020-07-24,15.6769,-6.1185,9.5585
2020-07-23,17.2065,-5.4683,11.7383
2020-07-22,18.5736,-3.9316,14.642
2020-07-21,19.5565,-2.6676,16.8889
2020-07-20,20.2234,-0.7407,19.4827
2020-07-17,20.4086,0.8479,21.2565
2020-07-16,20.1966,3.9739,24.1705
2020-07-15,19.2031,4.8326,24.0357
2020-07-14,17.995,5.9395,23.9345
2020-07-13,16.5101,6.7822,23.2923
2020-07-10,14.8145,7.2561,22.0706
2020-07-09,13.0005,4.8246,17.8251
2020-07-08,11.7944,4.5241,16.3185
2020-07-07,10.6633,4.0019,14.6652
