date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,61.69,63.06,59.81,60.27,55369434.0
2021-02-10,62.55,64.6,60.33,61.26,89812853.0
2021-02-09,58.95,63.1,58.24,62.84,96407230.0
2021-02-08,57.08,59.52,56.18,59.07,63555043.0
2021-02-05,57.74,57.98,56.01,56.67,42676439.0
2021-02-04,58.79,59.1994,57.11,57.6,48169490.0
2021-02-03,55.96,58.72,54.84,57.98,80122323.0
2021-02-02,57.06,57.54,54.51,55.77,65568667.0
2021-02-01,59.07,59.12,54.37,56.99,76470651.0
2021-01-29,59.03,60.71,56.44,57.0,78678189.0
2021-01-28,56.76,59.46,55.15,58.37,73955136.0
2021-01-27,57.95,59.79,56.6,57.15,73078254.0
2021-01-26,60.04,60.67,58.64,60.31,70393251.0
2021-01-25,64.05,64.52,58.35,59.99,111986446.0
2021-01-22,58.95,62.17,58.32,61.95,133918072.0
2021-01-21,57.02,58.58,55.88,58.34,73119519.0
2021-01-20,59.85,60.09,56.19,57.71,94983634.0
2021-01-19,58.21,59.005,56.41,58.44,99561083.0
2021-01-15,59.84,60.22,55.67,56.27,132247850.0
2021-01-14,62.63,63.23,60.04,60.87,99338396.0
2021-01-13,62.94,64.4069,61.41,62.15,116059201.0
2021-01-12,61.42,64.13,60.42,62.04,182471404.0
2021-01-11,64.95,66.99,62.19,62.7,279770329.0
2021-01-08,57.76,59.31,55.88,58.92,218512753.0
2021-01-07,53.05,54.61,52.35,54.28,119429215.0
2021-01-06,54.02,55.2764,49.08,50.5,176397696.0
2021-01-05,51.97,53.75,50.4,53.2,147474785.0
2021-01-04,51.2,54.4469,50.6701,53.49,213109730.0
2020-12-31,48.46,50.5,47.77,48.74,129344311.0
2020-12-30,46.5,48.38,45.72,48.38,116691714.0
2020-12-29,43.7,46.275,42.2262,46.14,120689925.0
2020-12-28,46.67,46.85,43.67,44.06,103774840.0
2020-12-24,46.88,47.1299,45.35,45.77,60582516.0
2020-12-23,47.48,48.36,45.81,47.01,81247871.0
2020-12-22,49.61,49.84,46.53,47.58,117428420.0
2020-12-21,45.63,49.49,45.02,48.95,132558077.0
2020-12-18,45.89,48.0,45.52,46.72,126251125.0
2020-12-17,45.17,46.05,43.895,46.0,130003721.0
2020-12-16,44.25,45.26,43.33,44.67,120109589.0
2020-12-15,42.47,43.84,41.27,43.5,132336854.0
2020-12-14,39.94,41.48,39.51,40.98,171598161.0
2020-12-11,42.48,43.63,41.26,41.98,147076119.0
2020-12-10,42.44,45.67,41.89,45.22,107376836.0
2020-12-09,47.08,47.2,42.96,44.01,121387875.0
2020-12-08,47.21,48.3,45.67,46.56,115799572.0
2020-12-07,42.5,46.32,42.41,45.11,165048508.0
2020-12-04,44.66,45.16,41.65,43.04,191969939.0
2020-12-03,47.9,48.65,45.21,45.35,173424045.0
2020-12-02,40.16,48.0,38.43,47.98,313028276.0
2020-12-01,52.02,52.1,44.05,45.36,243690229.0
2020-11-30,54.21,54.39,48.18,50.53,179765439.0
2020-11-27,54.86,55.55,52.6,54.0,105795118.0
2020-11-25,49.98,53.99,49.25,53.69,204508537.0
2020-11-24,56.99,57.2,51.5,53.51,241851916.0
2020-11-23,50.86,55.7,50.48,55.38,270203004.0
2020-11-20,48.27,50.59,47.88,49.25,209106333.0
2020-11-19,45.36,48.92,44.68,48.45,233779148.0
2020-11-18,45.75,46.7213,42.5,45.06,271678314.0
2020-11-17,47.57,49.37,44.96,46.59,345578529.0
2020-11-16,41.115,45.85,41.1,45.58,306209088.0
2020-11-13,51.29,54.2,40.55,44.56,579069870.0
2020-11-12,44.475,49.35,43.95,48.3,348326322.0
2020-11-11,39.71,43.23,38.64,43.08,179581150.0
2020-11-10,44.5,45.2,38.11,41.55,237403589.0
2020-11-09,41.65,45.29,40.38,44.02,218733282.0
2020-11-06,41.09,43.3,40.05,41.63,288784336.0
2020-11-05,38.78,42.49,38.25,42.35,302472617.0
2020-11-04,37.44,39.75,35.82,37.71,339385872.0
2020-11-03,33.57,35.87,32.78,35.5,217608105.0
2020-11-02,33.95,34.94,31.68,33.32,265719877.0
2020-10-30,31.39,31.59,30.03,30.58,136902610.0
2020-10-29,28.52,32.2,28.32,31.99,214034656.0
2020-10-28,27.92,28.1,26.51,27.51,89374938.0
2020-10-27,26.21,28.46,26.03,28.44,104257726.0
2020-10-26,26.61,27.35,25.46,26.01,72610347.0
