date,MACD,MACD_Hist,MACD_Signal
2021-02-11,0.9112,0.2497,0.6615
2021-02-10,0.9872,0.4505,0.5367
2021-02-09,0.8146,0.5031,0.3114
2021-02-08,0.1095,0.0497,0.0598
2021-02-05,-0.1696,-0.2046,0.035
2021-02-04,-0.0542,-0.1915,0.1373
2021-02-03,-0.0792,-0.3122,0.233
2021-02-02,-0.2033,-0.5925,0.3892
2021-02-01,0.1231,-0.5623,0.6854
2021-01-29,2.612,-0.617,3.229
2021-01-28,2.9314,-0.4518,3.3832
2021-01-27,3.157,-0.3391,3.4961
2021-01-26,3.5233,-0.0576,3.5809
2021-01-25,3.6178,0.0224,3.5953
2021-01-22,3.7183,0.1286,3.5897
2021-01-21,3.593,0.0355,3.5576
2021-01-20,3.7484,0.1997,3.5487
2021-01-19,3.9564,0.4576,3.4988
2021-01-15,4.0899,0.7055,3.3844
2021-01-14,4.4218,1.2137,3.208
2021-01-13,4.3127,1.4081,2.9046
2021-01-12,3.9804,1.4279,2.5526
2021-01-11,3.5097,1.3141,2.1956
2021-01-08,2.7905,0.9234,1.8671
2021-01-07,2.2169,0.5807,1.6362
2021-01-06,1.925,0.4339,1.491
2021-01-05,1.9092,0.5267,1.3826
2021-01-04,1.5864,0.3356,1.2509
2020-12-31,1.1219,-0.0451,1.167
2020-12-30,0.9962,-0.1821,1.1783
2020-12-29,0.858,-0.3658,1.2238
2020-12-28,0.8971,-0.4181,1.3153
2020-12-24,1.1458,-0.274,1.4198
2020-12-23,1.2725,-0.2158,1.4883
2020-12-22,1.2894,-0.2528,1.5422
2020-12-21,1.2343,-0.3712,1.6054
2020-12-18,1.0064,-0.6919,1.6982
2020-12-17,0.9279,-0.9433,1.8712
2020-12-16,0.8876,-1.2194,2.107
2020-12-15,0.9586,-1.4532,2.4119
2020-12-14,1.1545,-1.6206,2.7752
2020-12-11,1.6443,-1.536,3.1803
2020-12-10,2.1437,-1.4206,3.5643
2020-12-09,2.4201,-1.4994,3.9195
2020-12-08,2.8608,-1.4336,4.2943
2020-12-07,3.1221,-1.5307,4.6527
2020-12-04,3.5578,-1.4776,5.0354
2020-12-03,4.2729,-1.1319,5.4048
2020-12-02,4.8883,-0.7995,5.6878
2020-12-01,5.335,-0.5527,5.8877
2020-11-30,6.0942,0.0684,6.0258
2020-11-27,6.4482,0.4394,6.0087
2020-11-25,6.4529,0.5539999999999999,5.8989
2020-11-24,6.3966,0.6363,5.7604
2020-11-23,6.2501,0.6488,5.6013
2020-11-20,5.7818,0.3427,5.4391
2020-11-19,5.7241,0.3707,5.3534
2020-11-18,5.6486,0.3879,5.2608
2020-11-17,5.8153,0.6515,5.1638
2020-11-16,5.7877,0.7868,5.0009
2020-11-13,5.7711,0.9668,4.8042
2020-11-12,5.7698,1.2073,4.5625
2020-11-11,5.3034,1.0427,4.2607
2020-11-10,5.1625,1.1625,4.0
2020-11-09,5.0634,1.354,3.7094
2020-11-06,4.6117,1.2408,3.3709
2020-11-05,4.2115,1.1508,3.0607
2020-11-04,3.5661,0.7931,2.773
2020-11-03,3.1628,0.5881,2.5747
2020-11-02,2.8272,0.3995,2.4277
2020-10-30,2.5796,0.2518,2.3278
2020-10-29,2.5051,0.2402,2.2649
2020-10-28,2.2299,0.0251,2.2048
2020-10-27,2.3025,0.104,2.1985
2020-10-26,2.2669,0.0944,2.1725
2020-10-23,2.4359,0.287,2.1489
2020-10-22,2.4991,0.422,2.0772
2020-10-21,2.5211,0.5494,1.9717
2020-10-20,2.4635,0.6292,1.8344
2020-10-19,2.344,0.667,1.6771
2020-10-16,2.1911,0.6807,1.5103
2020-10-15,1.8774,0.5373,1.3401
2020-10-14,1.4915,0.2856,1.2058
2020-10-13,1.137,0.0026,1.1344
2020-10-12,1.165,0.0312,1.1337
2020-10-09,1.1603,0.0344,1.1259
2020-10-08,1.1762,0.0588,1.1173
2020-10-07,1.1823,0.0797,1.1026
2020-10-06,1.1608,0.0781,1.0827
2020-10-05,1.207,0.1438,1.0632
2020-10-02,1.1548,0.1275,1.0273
2020-10-01,1.1131,0.1177,0.9954
2020-09-30,0.9846,0.0187,0.9659
2020-09-29,0.8613,-0.1,0.9613
2020-09-28,0.7291,-0.2572,0.9863
2020-09-25,0.7574,-0.2932,1.0506
2020-09-24,0.8324,-0.2915,1.1239
2020-09-23,0.9639,-0.2328,1.1967
2020-09-22,1.1065,-0.1484,1.2549
2020-09-21,1.1431,-0.1489,1.2919999999999998
2020-09-18,1.216,-0.1133,1.3293
2020-09-17,1.2302,-0.1274,1.3576
2020-09-16,1.2417,-0.1478,1.3894
2020-09-15,1.2678,-0.1586,1.4264
2020-09-14,1.2643,-0.2017,1.466
2020-09-11,1.2884,-0.2281,1.5164
2020-09-10,1.3777,-0.1957,1.5735
2020-09-09,1.4951,-0.1273,1.6224
2020-09-08,1.5876,-0.0666,1.6542
2020-09-04,1.7904,0.1195,1.6709
2020-09-03,1.9265,0.2856,1.641
2020-09-02,1.999,0.4294,1.5696
2020-09-01,1.9402,0.4779,1.4623
2020-08-31,1.8145,0.4717,1.3428
2020-08-28,1.7386,0.5138,1.2249
2020-08-27,1.6705,0.5741,1.0964
2020-08-26,1.4188,0.4659,0.9529
2020-08-25,1.0198,0.1833,0.8364
2020-08-24,0.7604,-0.0302,0.7906
2020-08-21,0.7106,-0.0876,0.7981
2020-08-20,0.7231,-0.0969,0.82
2020-08-19,0.7632,-0.081,0.8443
2020-08-18,0.7748,-0.0897,0.8645
2020-08-17,0.754,-0.133,0.8869
2020-08-14,0.7418,-0.1784,0.9202
2020-08-13,0.8122,-0.1526,0.9648
2020-08-12,0.8637,-0.1392,1.0029
2020-08-11,0.917,-0.1207,1.0377
2020-08-10,1.0093,-0.0586,1.0679
2020-08-07,0.9882,-0.0943,1.0825
2020-08-06,1.0274,-0.0787,1.1061
2020-08-05,1.0196,-0.1061,1.1258
2020-08-04,0.9868,-0.1655,1.1523
2020-08-03,0.959,-0.2347,1.1937
2020-07-31,0.9137,-0.3387,1.2524
2020-07-30,1.0115,-0.3255,1.337
2020-07-29,1.0953,-0.3231,1.4184
2020-07-28,1.1353,-0.3639,1.4992
2020-07-27,1.2137,-0.3765,1.5902
2020-07-24,1.3551,-0.3292,1.6843
2020-07-23,1.5027,-0.2639,1.7666
2020-07-22,1.6355,-0.197,1.8326
2020-07-21,1.7579,-0.1239,1.8818
2020-07-20,1.8377,-0.0751,1.9128
2020-07-17,1.9189,-0.0127,1.9316
2020-07-16,2.1707,0.2359,1.9348
2020-07-15,2.2722,0.3964,1.8758
2020-07-14,2.3097,0.5329,1.7767
2020-07-13,2.2658,0.6223,1.6435
2020-07-10,2.2024,0.7145,1.4879
2020-07-09,1.9733,0.664,1.3093
2020-07-08,1.6939,0.5506,1.1433
2020-07-07,1.4848,0.4791,1.0056
2020-07-06,1.1616,0.2757,0.8859
2020-07-02,0.9064,0.0894,0.8169
2020-07-01,0.7843,-0.0103,0.7946
2020-06-30,0.7667,-0.0305,0.7972
2020-06-29,0.7525,-0.0523,0.8048
2020-06-26,0.7732,-0.0446,0.8178
2020-06-25,0.8221,-0.0069,0.8290000000000001
2020-06-24,0.8542,0.0235,0.8307
2020-06-23,0.9051,0.0803,0.8249
