date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,4.95,5.1,4.77,5.03,240932.0
2021-02-10,5.35,5.4,4.8,5.04,378099.0
2021-02-09,5.3,5.3,4.92,5.21,418922.0
2021-02-08,5.0,5.8738,4.86,5.36,1951792.0
2021-02-05,4.52,4.76,4.4189,4.71,317096.0
2021-02-04,4.26,4.48,4.2561,4.45,207890.0
2021-02-03,4.21,4.37,4.2001,4.29,152648.0
2021-02-02,4.42,4.75,4.15,4.25,379092.0
2021-02-01,4.23,4.33,3.97,4.33,349131.0
2021-01-29,3.99,4.34,3.86,4.04,570379.0
2021-01-28,4.27,4.39,3.73,3.75,538664.0
2021-01-27,4.65,4.74,4.15,4.33,924020.0
2021-01-26,4.38,4.42,4.1,4.17,249257.0
2021-01-25,4.43,4.48,3.9753,4.43,891943.0
2021-01-22,3.85,5.43,3.58,4.43,3632656.0
2021-01-21,3.61,3.8599,3.48,3.83,412520.0
2021-01-20,3.62,3.62,3.41,3.48,154559.0
2021-01-19,3.38,3.58,3.28,3.55,282807.0
2021-01-15,3.4,3.45,3.28,3.28,135070.0
2021-01-14,3.37,3.45,3.35,3.4,101736.0
2021-01-13,3.35,3.43,3.32,3.32,109627.0
2021-01-12,3.31,3.39,3.28,3.34,85210.0
2021-01-11,3.31,3.3881,3.2,3.27,278714.0
2021-01-08,3.25,3.32,3.16,3.28,154906.0
2021-01-07,3.18,3.33,3.18,3.3,143886.0
2021-01-06,3.23,3.28,3.15,3.15,136695.0
2021-01-05,3.18,3.22,3.05,3.16,162690.0
2021-01-04,2.91,3.18,2.91,3.18,227496.0
2020-12-31,3.01,3.08,2.85,2.87,553313.0
2020-12-30,3.03,3.14,3.01,3.08,418844.0
2020-12-29,3.33,3.33,3.05,3.08,343066.0
2020-12-28,3.47,3.5,3.32,3.34,237071.0
2020-12-24,3.49,3.55,3.4501,3.51,175022.0
2020-12-23,3.51,3.5201,3.4203,3.48,178377.0
2020-12-22,3.67,3.7,3.47,3.52,142920.0
2020-12-21,3.47,3.69,3.46,3.66,298767.0
2020-12-18,3.49,3.6399,3.44,3.51,148592.0
2020-12-17,3.6,3.6613,3.51,3.53,105692.0
2020-12-16,3.52,3.6433,3.52,3.56,125648.0
2020-12-15,3.54,3.58,3.5,3.57,328382.0
2020-12-14,3.86,3.86,3.4672,3.58,154399.0
2020-12-11,3.47,3.54,3.45,3.47,153590.0
2020-12-10,3.61,3.635,3.51,3.57,70799.0
2020-12-09,3.72,3.76,3.51,3.55,248849.0
2020-12-08,3.75,3.8,3.67,3.74,153519.0
2020-12-07,3.86,3.89,3.71,3.75,145169.0
2020-12-04,3.72,3.89,3.71,3.87,205911.0
2020-12-03,3.8,3.86,3.7,3.71,272487.0
2020-12-02,3.71,3.82,3.67,3.76,119634.0
2020-12-01,4.0,4.03,3.6,3.7,209242.0
2020-11-30,3.57,4.3,3.57,3.91,667412.0
2020-11-27,3.83,3.83,3.56,3.6,92207.0
2020-11-25,3.5,3.6839,3.5,3.61,81851.0
2020-11-24,3.6,3.7399,3.58,3.62,218315.0
2020-11-23,3.78,3.82,3.57,3.6,274013.0
2020-11-20,3.65,3.8,3.6,3.75,95163.0
2020-11-19,3.61,3.68,3.55,3.65,102109.0
2020-11-18,3.44,3.61,3.4181,3.59,202829.0
2020-11-17,3.63,3.6708,3.42,3.43,156538.0
2020-11-16,3.59,3.6,3.4901,3.55,84813.0
2020-11-13,3.47,3.574,3.37,3.51,190185.0
2020-11-12,3.46,3.46,3.35,3.41,142437.0
2020-11-11,3.35,3.4,3.3,3.33,215219.0
2020-11-10,3.45,3.5,3.17,3.37,231332.0
2020-11-09,3.52,3.59,3.41,3.44,215395.0
2020-11-06,3.47,3.5,3.4,3.46,63128.0
2020-11-05,3.36,3.49,3.36,3.43,82606.0
2020-11-04,3.5,3.6,3.35,3.38,146041.0
2020-11-03,3.47,3.55,3.38,3.45,132040.0
2020-11-02,3.47,3.57,3.4101,3.5,88929.0
2020-10-30,3.69,3.76,3.35,3.45,188607.0
2020-10-29,3.75,3.8458,3.7091,3.75,78402.0
2020-10-28,3.76,3.8899,3.56,3.79,155349.0
2020-10-27,3.84,3.88,3.78,3.83,95094.0
2020-10-26,3.86,4.01,3.84,3.91,124810.0
2020-10-23,3.82,3.91,3.79,3.9,39743.0
2020-10-22,3.88,3.9,3.68,3.88,133280.0
2020-10-21,3.86,3.92,3.8,3.88,82588.0
2020-10-20,3.88,3.92,3.82,3.9,87205.0
2020-10-19,3.95,3.95,3.84,3.89,79124.0
2020-10-16,3.95,3.9634,3.85,3.92,68140.0
2020-10-15,3.9,3.9839,3.88,3.95,108204.0
2020-10-14,4.12,4.12,3.82,3.88,162114.0
2020-10-13,3.87,4.0466,3.86,4.03,115741.0
2020-10-12,4.04,4.11,3.87,3.91,156631.0
2020-10-09,3.95,4.2,3.89,4.08,346041.0
2020-10-08,3.84,3.94,3.84,3.88,81809.0
2020-10-07,3.86,3.92,3.82,3.88,72899.0
2020-10-06,3.87,3.9891,3.8,3.86,105824.0
2020-10-05,3.9,3.91,3.82,3.82,104582.0
2020-10-02,3.8,3.95,3.75,3.83,180439.0
2020-10-01,3.82,3.92,3.75,3.81,196843.0
2020-09-30,3.97,3.98,3.815,3.84,137435.0
2020-09-29,3.72,4.09,3.72,3.96,211950.0
2020-09-28,4.06,4.06,3.73,3.77,235815.0
2020-09-25,3.83,3.9,3.75,3.82,148156.0
2020-09-24,3.85,3.96,3.65,3.81,283695.0
2020-09-23,3.92,4.12,3.88,3.92,215643.0
2020-09-22,4.1,4.1827,3.95,4.0,269475.0
2020-09-21,4.28,4.28,4.04,4.04,278119.0
2020-09-18,4.31,4.48,4.25,4.31,206070.0
