date,MFI
2005-11-15,77.5916
2005-11-16,79.7742
2005-11-17,81.5099
2005-11-18,82.0113
2005-11-21,75.4899
2005-11-22,68.1312
2005-11-23,66.5333
2005-11-25,63.0452
2005-11-28,45.3494
2005-11-29,45.2664
2005-11-30,46.1095
2005-12-01,35.7058
2005-12-02,36.0924
2005-12-05,37.5515
2005-12-06,34.0205
2005-12-07,31.1502
2005-12-08,22.7998
2005-12-09,15.7026
2005-12-12,17.3804
2005-12-13,19.7883
2005-12-14,19.8162
2005-12-15,20.7759
2005-12-16,21.4878
2005-12-19,23.2503
2005-12-20,28.9729
2005-12-21,47.2995
2005-12-22,43.5438
2005-12-23,29.2638
2005-12-27,26.6336
2005-12-28,31.2491
2005-12-29,42.5235
2005-12-30,34.5172
2006-01-03,43.9476
2006-01-04,58.2244
2006-01-05,50.5488
2006-01-06,57.3383
2006-01-09,84.4325
2006-01-10,93.7182
2006-01-11,96.0816
2006-01-12,96.7605
2006-01-13,85.2328
2006-01-17,85.9248
2006-01-18,87.6141
2006-01-19,88.1325
2006-01-20,85.9502
2006-01-23,84.364
2006-01-24,82.0946
2006-01-25,78.5461
2006-01-26,79.3565
2006-01-27,79.0579
2006-01-30,74.9136
2006-01-31,64.0928
2006-02-01,44.2871
2006-02-02,31.5057
2006-02-03,42.4055
2006-02-06,35.1072
2006-02-07,26.9611
2006-02-08,17.4166
2006-02-09,24.7587
2006-02-10,31.5023
2006-02-13,42.683
2006-02-14,52.3061
2006-02-15,46.3288
2006-02-16,42.4483
2006-02-17,49.0972
2006-02-21,48.7881
2006-02-22,49.0387
2006-02-23,66.9266
2006-02-24,63.5165
2006-02-27,45.5299
2006-02-28,40.3697
2006-03-01,42.8367
2006-03-02,41.0812
2006-03-03,37.7612
2006-03-06,31.7721
2006-03-07,32.3488
2006-03-08,36.3862
2006-03-09,41.3851
2006-03-10,38.9103
2006-03-13,43.7628
2006-03-14,49.7866
2006-03-15,45.404
2006-03-16,55.0258
2006-03-17,80.8754
2006-03-20,92.6539
2006-03-21,74.3224
2006-03-22,68.4859
2006-03-23,60.716
2006-03-24,63.994
2006-03-27,65.324
2006-03-28,65.0787
2006-03-29,62.4996
2006-03-30,62.101
2006-03-31,60.5722
2006-04-03,59.1461
2006-04-04,57.6301
2006-04-05,54.1826
2006-04-06,49.0704
2006-04-07,25.1969
2006-04-10,34.0456
2006-04-11,37.0479
2006-04-12,47.1748
2006-04-13,32.9716
2006-04-17,23.0224
2006-04-18,12.0386
2006-04-19,10.8811
2006-04-20,8.9541
2006-04-21,14.115
2006-04-24,15.3153
2006-04-25,14.8866
2006-04-26,14.9755
2006-04-27,15.0141
2006-04-28,14.9909
2006-05-01,16.1821
2006-05-02,17.2847
2006-05-03,18.8441
2006-05-04,19.6722
2006-05-05,21.1312
2006-05-08,28.036
2006-05-09,37.6992
2006-05-10,59.8235
2006-05-11,48.7776
2006-05-12,29.4294
2006-05-15,26.3495
2006-05-16,25.4785
2006-05-17,32.8029
2006-05-18,27.3052
2006-05-19,30.9509
2006-05-22,30.1416
2006-05-23,34.0732
2006-05-24,44.3631
2006-05-25,44.0497
2006-05-26,39.0568
2006-05-30,33.0757
2006-05-31,36.6438
2006-06-01,44.1377
2006-06-02,43.8529
2006-06-05,50.5635
2006-06-06,50.931
2006-06-07,43.903
2006-06-08,42.3388
2006-06-09,33.7728
2006-06-12,30.6887
2006-06-13,24.6654
2006-06-14,11.0729
2006-06-15,18.6455
2006-06-16,17.1755
2006-06-19,16.5162
2006-06-20,11.1277
2006-06-21,32.6202
2006-06-22,37.9496
2006-06-23,41.7686
2006-06-26,47.1229
2006-06-27,46.0606
2006-06-28,45.9075
2006-06-29,46.2684
2006-06-30,48.2303
2006-07-03,52.2117
2006-07-05,55.5705
2006-07-06,52.0959
2006-07-07,55.8138
2006-07-10,59.2106
2006-07-11,66.8673
2006-07-12,49.4181
2006-07-13,36.8753
2006-07-14,28.7186
2006-07-17,15.6231
2006-07-18,14.0354
