date,MACD_Signal,MACD_Hist,MACD
2021-01-15,-0.2191,0.0855,-0.1336
2021-01-14,-0.2405,1.559,1.3184
2021-01-13,-0.6303,2.3951,1.7649
2021-01-12,-1.229,2.1879,0.9589
2021-01-11,-1.776,1.8836,0.1076
2021-01-08,-2.2469,0.7094,-1.5375
2021-01-07,-2.4243,0.2135,-2.2107
2021-01-06,-2.4776,-0.8341,-3.3118
2021-01-05,-2.2691,0.5713,-1.6979
2021-01-04,-2.4119,-0.4198,-2.8317
2020-12-31,-2.307,-0.7446,-3.0516
2020-12-30,-2.1208,-0.9287,-3.0495
2020-12-29,-1.8887,-1.4835,-3.3721
2020-12-28,-1.5178,-1.3924,-2.9102
2020-12-24,-1.1697,-0.9323,-2.102
2020-12-23,-0.9366,-0.4852,-1.4218
2020-12-22,-0.8153,0.2192,-0.5961
2020-12-21,-0.8701,0.2411,-0.629
2020-12-18,-0.9304,0.0486,-0.8818
2020-12-17,-0.9426,-0.0037,-0.9462
2020-12-16,-0.9416,-0.3551,-1.2968
2020-12-15,-0.8529,-0.4703,-1.3231
2020-12-14,-0.7353,-1.0828,-1.8181
2020-12-11,-0.4646,-1.7481,-2.2127
2020-12-10,-0.0276,-1.4531,-1.4807
2020-12-09,0.3357,-0.6935,-0.3578
2020-12-08,0.5091,0.7405,1.2496
2020-12-07,0.324,1.2517,1.5756
2020-12-04,0.011,0.9121,0.9231
2020-12-03,-0.217,0.4913,0.2743
2020-12-02,-0.3398,0.4429,0.1031
2020-12-01,-0.4505,-0.2547,-0.7053
2020-11-30,-0.3868,-0.7109,-1.0978
2020-11-27,-0.2091,-1.4205,-1.6296
2020-11-25,0.146,-1.8597,-1.7137
2020-11-24,0.6109,-2.299,-1.6881
2020-11-23,1.1857,-1.6888,-0.5032
2020-11-20,1.6079,-1.3333,0.2745
2020-11-19,1.9412,-0.4653,1.4759
2020-11-18,2.0576,-0.5049,1.5527
2020-11-17,2.1838,-0.5089,1.6748
2020-11-16,2.311,-0.4781,1.8329
2020-11-13,2.4305,-0.8013,1.6293
2020-11-12,2.6309,-0.3965,2.2343
2020-11-11,2.73,-0.4063,2.3237
2020-11-10,2.8316,-0.2699,2.5617
2020-11-09,2.8991,2.5675,5.4665
2020-11-06,2.2572,3.333,5.5901
2020-11-05,1.4239,0.451,1.875
2020-11-04,1.3112,-2.5686,-1.2574
2020-11-03,1.9533,-5.7014,-3.7481
2020-11-02,3.3787,-7.0968,-3.7182
2020-10-30,5.1529,-6.9924,-1.8395
2020-10-29,6.901,-6.1255,0.7755
2020-10-28,8.4324,-6.3256,2.1068
2020-10-27,10.0138,-4.622,5.3918
2020-10-26,11.1693,-4.7971,6.3722
2020-10-23,12.3685,-3.7974,8.5711
2020-10-22,13.3179,-3.8929,9.4249
2020-10-21,14.2911,-2.9801,11.311
2020-10-20,15.0361,-2.149,12.8872
2020-10-19,15.5734,-1.3536,14.2198
2020-10-16,15.9118,0.4036,16.3154
2020-10-15,15.8109,1.6646,17.4755
2020-10-14,15.3947,2.6619,18.0566
2020-10-13,14.7293,3.2965,18.0257
2020-10-12,13.9051,3.196,17.1012
2020-10-09,13.1061,2.6568,15.7629
2020-10-08,12.4419,3.2698,15.7117
2020-10-07,11.6245,3.484,15.1084
2020-10-06,10.7535,2.8552,13.6087
2020-10-05,10.0397,2.383,12.4227
2020-10-02,9.4439,1.6672,11.1111
2020-10-01,9.0271,2.6107,11.6379
2020-09-30,8.3745,1.5179,9.8924
2020-09-29,7.995,-0.1323,7.8627
