date,MFI
2021-01-22,62.1661
2021-01-21,57.7147
2021-01-20,56.5662
2021-01-19,55.6906
2021-01-15,55.8813
2021-01-14,58.1209
2021-01-13,59.5773
2021-01-12,59.9718
2021-01-11,59.8516
2021-01-08,49.5876
2021-01-07,48.8337
2021-01-06,39.7398
2021-01-05,49.6857
2021-01-04,48.8802
2020-12-31,36.0561
2020-12-30,35.8906
2020-12-29,26.9923
2020-12-28,21.073
2020-12-24,27.8078
2020-12-23,32.907
2020-12-22,32.6637
2020-12-21,39.8017
2020-12-18,48.2182
2020-12-17,48.9719
2020-12-16,48.0153
2020-12-15,54.9584
2020-12-14,47.4396
2020-12-11,39.0228
2020-12-10,37.6486
2020-12-09,34.3757
2020-12-08,33.4171
2020-12-07,40.3309
2020-12-04,42.816
2020-12-03,37.1416
2020-12-02,43.4969
2020-12-01,44.8178
2020-11-30,36.4076
2020-11-27,34.2993
2020-11-25,37.0515
2020-11-24,37.9193
2020-11-23,44.3362
2020-11-20,49.4731
2020-11-19,54.7417
2020-11-18,56.39
2020-11-17,64.1056
2020-11-16,57.9025
2020-11-13,56.605
2020-11-12,56.7222
2020-11-11,55.6072
2020-11-10,48.9718
2020-11-09,53.1492
2020-11-06,63.1194
2020-11-05,55.0198
2020-11-04,48.0198
2020-11-03,39.2697
2020-11-02,32.4726
2020-10-30,33.841
2020-10-29,44.2746
2020-10-28,36.4638
2020-10-27,36.1875
2020-10-26,38.8659
2020-10-23,51.56100000000001
2020-10-22,53.8864
2020-10-21,51.3635
2020-10-20,57.8769
2020-10-19,60.9863
2020-10-16,67.5066
2020-10-15,72.648
2020-10-14,77.6367
2020-10-13,82.6811
2020-10-12,75.475
2020-10-09,75.9212
2020-10-08,81.1965
2020-10-07,78.81
2020-10-06,71.1142
2020-10-05,63.856
2020-10-02,64.7959
2020-10-01,73.0306
2020-09-30,66.9132
2020-09-29,59.7268
2020-09-28,60.0621
2020-09-25,53.2027
2020-09-24,43.6295
2020-09-23,36.186
2020-09-22,43.6229
2020-09-21,43.2262
2020-09-18,42.3503
2020-09-17,47.7605
2020-09-16,49.7934
2020-09-15,54.0072
2020-09-14,49.0029
2020-09-11,44.958999999999996
2020-09-10,53.4805
2020-09-09,52.4376
2020-09-08,45.6207
2020-09-04,52.092
2020-09-03,64.1628
2020-09-02,73.6758
2020-09-01,71.3332
2020-08-31,70.763
2020-08-28,65.4119
2020-08-27,58.9444
2020-08-26,59.0655
2020-08-25,58.41
2020-08-24,62.4014
2020-08-21,61.0979
2020-08-20,56.7713
2020-08-19,69.2154
2020-08-18,79.4807
2020-08-17,78.33800000000002
2020-08-14,71.1357
2020-08-13,70.4589
2020-08-12,61.5622
2020-08-11,52.5512
2020-08-10,60.0915
2020-08-07,62.4264
2020-08-06,69.6834
2020-08-05,69.6533
2020-08-04,62.9489
2020-08-03,63.4608
2020-07-31,53.2633
2020-07-30,44.6326
2020-07-29,46.695
2020-07-28,48.8052
2020-07-27,54.69
