date,1. open,2. high,3. low,4. close,5. volume
2021-01-08,2.68,2.75,2.56,2.69,23763052.0
2021-01-07,2.56,2.85,2.42,2.8,30713089.0
2021-01-06,2.6,2.7,2.4,2.61,36235985.0
2021-01-05,2.98,2.99,2.46,2.77,52027984.0
2021-01-04,3.42,3.5,2.8,3.07,167283588.0
2020-12-31,1.88,1.9,1.72,1.83,38374594.0
2020-12-30,1.99,2.09,1.9,1.97,40912378.0
2020-12-29,2.16,2.2,1.85,2.17,52226976.0
2020-12-28,2.39,2.47,2.1,2.25,137509159.0
2020-12-24,2.24,2.25,1.61,1.76,157141063.0
2020-12-23,2.04,3.05,1.84,2.6,905430931.0
2020-12-22,0.4728,0.83,0.4066,0.8052,659353299.0
2020-12-21,0.2911,0.2962,0.2856,0.294,7558049.0
2020-12-18,0.299,0.2997,0.289,0.2935,5395563.0
2020-12-17,0.3001,0.304,0.2938,0.2993,6170639.0
2020-12-16,0.2975,0.307,0.2957,0.3,7061123.0
2020-12-15,0.292,0.2997,0.29,0.2971,6567713.0
2020-12-14,0.29600000000000004,0.3037,0.2941,0.2951,8630708.0
2020-12-11,0.315,0.3159,0.2908,0.3049,18746120.0
2020-12-10,0.2865,0.2958,0.285,0.2907,14454397.0
2020-12-09,0.3,0.302,0.29,0.29600000000000004,10990332.0
2020-12-08,0.3,0.3042,0.2925,0.3025,9168397.0
2020-12-07,0.3073,0.314,0.3,0.3048,9539640.0
2020-12-04,0.3015,0.317,0.3,0.3098,11904981.0
2020-12-03,0.3123,0.315,0.3,0.3027,10133771.0
2020-12-02,0.3081,0.3242,0.29,0.3185,18788705.0
2020-12-01,0.35,0.385,0.3201,0.3403,41878745.0
2020-11-30,0.3,0.3209,0.28800000000000003,0.3193,22879957.0
2020-11-27,0.3,0.3056,0.292,0.2991,6139127.0
2020-11-25,0.29,0.2993,0.29,0.292,7798737.0
2020-11-24,0.2968,0.2981,0.285,0.2894,9974807.0
2020-11-23,0.3,0.3044,0.29,0.2973,12361128.0
2020-11-20,0.3232,0.3417,0.3011,0.3119,23279137.0
2020-11-19,0.308,0.3244,0.29,0.3193,25190577.0
2020-11-18,0.2923,0.3147,0.2923,0.3064,23738933.0
2020-11-17,0.2868,0.2996,0.28300000000000003,0.2905,14519550.0
2020-11-16,0.2882,0.29100000000000004,0.282,0.2835,4364916.0
2020-11-13,0.2915,0.292,0.281,0.2882,3165184.0
2020-11-12,0.298,0.2994,0.285,0.2912,2871404.0
2020-11-11,0.31,0.3135,0.29100000000000004,0.2975,4935403.0
2020-11-10,0.2784,0.3269,0.275,0.308,11957658.0
2020-11-09,0.285,0.297,0.2756,0.2905,5130030.0
2020-11-06,0.2911,0.301,0.2727,0.28,4595064.0
2020-11-05,0.2894,0.29,0.2769,0.2869,2298462.0
2020-11-04,0.29,0.2963,0.2811,0.2838,2142122.0
2020-11-03,0.2799,0.2899,0.2776,0.2874,2317832.0
2020-11-02,0.2899,0.2899,0.2501,0.2752,3611834.0
2020-10-30,0.2901,0.2919,0.2801,0.2806,2719117.0
2020-10-29,0.3,0.3,0.2831,0.2923,2449433.0
2020-10-28,0.295,0.2959,0.28,0.2897,3185588.0
2020-10-27,0.3053,0.3068,0.29100000000000004,0.3,3093806.0
2020-10-26,0.3209,0.3242,0.297,0.3074,3246176.0
2020-10-23,0.3166,0.324,0.3116,0.3234,2982998.0
2020-10-22,0.32,0.3266,0.312,0.32,2637825.0
2020-10-21,0.3235,0.3235,0.3101,0.315,2945342.0
2020-10-20,0.313,0.3349,0.3088,0.3225,5981487.0
2020-10-19,0.322,0.3222,0.31,0.3139,4108097.0
2020-10-16,0.3262,0.3299,0.3117,0.3164,4263290.0
2020-10-15,0.33,0.3302,0.315,0.325,4322144.0
2020-10-14,0.3456,0.3456,0.3232,0.33399999999999996,3991271.0
2020-10-13,0.3361,0.33899999999999997,0.3262,0.3305,3219011.0
2020-10-12,0.3523,0.3535,0.33,0.33899999999999997,6270950.0
2020-10-09,0.3818,0.38299999999999995,0.3502,0.3565,15216643.0
2020-10-08,0.3312,0.3429,0.3221,0.3388,8368734.0
2020-10-07,0.318,0.3363,0.3171,0.3311,4663680.0
2020-10-06,0.341,0.3565,0.318,0.3279,11435774.0
2020-10-05,0.3076,0.3339,0.3006,0.3329,8079135.0
2020-10-02,0.299,0.309,0.2956,0.309,4393297.0
2020-10-01,0.307,0.3101,0.2972,0.3033,3395813.0
2020-09-30,0.308,0.31,0.3,0.31,3943865.0
2020-09-29,0.3,0.3249,0.298,0.3056,5435200.0
2020-09-28,0.302,0.3089,0.295,0.2985,4317912.0
2020-09-25,0.2932,0.315,0.2851,0.3035,5454582.0
2020-09-24,0.294,0.3078,0.28,0.2967,7477622.0
2020-09-23,0.32,0.32799999999999996,0.305,0.31,7129530.0
2020-09-22,0.34,0.342,0.318,0.33399999999999996,9225395.0
2020-09-21,0.38,0.38299999999999995,0.332,0.3419,13793346.0
2020-09-18,0.345,0.37,0.3356,0.35600000000000004,15010215.0
2020-09-17,0.3333,0.3633,0.325,0.342,12504363.0
2020-09-16,0.32799999999999996,0.3385,0.3132,0.3363,9788508.0
2020-09-15,0.3351,0.3474,0.3223,0.32899999999999996,11650766.0
2020-09-14,0.3184,0.3315,0.305,0.3301,6645427.0
2020-09-11,0.3279,0.331,0.31,0.3193,5870134.0
2020-09-10,0.33,0.3315,0.318,0.3272,6097467.0
2020-09-09,0.3545,0.36,0.326,0.34,7904954.0
2020-09-08,0.3406,0.3419,0.3161,0.325,6163415.0
2020-09-04,0.3711,0.375,0.3115,0.342,11419071.0
2020-09-03,0.31,0.395,0.31,0.3829,28330847.0
2020-09-02,0.3122,0.3188,0.2922,0.309,8567826.0
2020-09-01,0.318,0.3372,0.31,0.3304,8251954.0
2020-08-31,0.3934,0.3949,0.29600000000000004,0.3482,18846098.0
2020-08-28,0.3929,0.4,0.3834,0.4,4985912.0
2020-08-27,0.41,0.41,0.3677,0.4061,11602591.0
2020-08-26,0.4266,0.4336,0.4061,0.415,11562739.0
2020-08-25,0.4726,0.475,0.4302,0.4607,15074340.0
2020-08-24,0.469,0.47,0.4057,0.41,13345417.0
2020-08-21,0.4702,0.4789,0.4324,0.4717,11153078.0
2020-08-20,0.5,0.5002,0.4652,0.48,9880977.0
2020-08-19,0.4857,0.4919,0.473,0.4801,8528228.0
2020-08-18,0.5085,0.514,0.4696,0.4847,13063078.0
2020-08-17,0.53,0.532,0.48100000000000004,0.4970000000000001,15596761.0
2020-08-14,0.57,0.58,0.55,0.5648,15214222.0
2020-08-13,0.6465,0.648,0.58,0.623,18520768.0
2020-08-12,0.588,0.6021,0.5501,0.5979,16219084.0
