date,MACD,MACD_Signal,MACD_Hist
2021-01-15,0.4571,0.516,-0.0589
2021-01-14,0.4972,0.5307,-0.0335
2021-01-13,0.5452,0.5391,0.0061
2021-01-12,0.566,0.5376,0.0284
2021-01-11,0.6117,0.5305,0.0813
2021-01-08,0.6348,0.5101,0.1246
2021-01-07,0.6346,0.479,0.1556
2021-01-06,0.614,0.4401,0.1739
2021-01-05,0.598,0.3966,0.2014
2021-01-04,0.5527,0.3463,0.2064
2020-12-31,0.4562,0.2947,0.1616
2020-12-30,0.4527,0.2543,0.1985
2020-12-29,0.4274,0.2047,0.2228
2020-12-28,0.3686,0.149,0.2196
2020-12-24,0.28,0.0941,0.1859
2020-12-23,0.2126,0.0476,0.165
2020-12-22,0.0381,0.0063,0.0318
2020-12-21,-0.0025,-0.0016,-0.0009
2020-12-18,-0.0022,-0.0014,-0.0008
2020-12-17,-0.0017,-0.0012,-0.0006
2020-12-16,-0.0017,-0.001,-0.0007
2020-12-15,-0.0018,-0.0009,-0.0009
2020-12-14,-0.0015,-0.0006,-0.0009
2020-12-11,-0.0009,-0.0004,-0.0005
2020-12-10,-0.0012,-0.0003,-0.0009
2020-12-09,-0.0,-0.0001,0.0001
2020-12-08,0.0009,-0.0001,0.001
2020-12-07,0.0014,-0.0003,0.0018
2020-12-04,0.0018,-0.0008,0.0026
2020-12-03,0.0018,-0.0014,0.0032
2020-12-02,0.0025,-0.0022,0.0047
2020-12-01,0.0017,-0.0034,0.0051
2020-11-30,-0.0016,-0.0047,0.0031
2020-11-27,-0.0036,-0.0055,0.0018
2020-11-25,-0.0041,-0.0059,0.0018
2020-11-24,-0.0039,-0.0064,0.0025
2020-11-23,-0.0033,-0.007,0.0037
2020-11-20,-0.0033,-0.0079,0.0046
2020-11-19,-0.0048,-0.0091,0.0043
2020-11-18,-0.0074,-0.0101,0.0028
2020-11-17,-0.0092,-0.0108,0.0016
2020-11-16,-0.0098,-0.0112,0.0014
2020-11-13,-0.0097,-0.0116,0.0018
2020-11-12,-0.01,-0.012,0.0021
2020-11-11,-0.0104,-0.0126,0.0021
2020-11-10,-0.0115,-0.0131,0.0016
2020-11-09,-0.0137,-0.0135,-0.0003
2020-11-06,-0.0147,-0.0134,-0.0012
2020-11-05,-0.0145,-0.0131,-0.0014
2020-11-04,-0.0149,-0.0128,-0.0021
2020-11-03,-0.0148,-0.0122,-0.0025
2020-11-02,-0.0148,-0.0116,-0.0032
2020-10-30,-0.0134,-0.0108,-0.0026
2020-10-29,-0.0119,-0.0102,-0.0017
2020-10-28,-0.011,-0.0097,-0.0013
