date,MACD,MACD_Signal,MACD_Hist
2021-01-22,0.1045,0.0985,0.0059
2021-01-21,0.111,0.097,0.014
2021-01-20,0.1157,0.0935,0.0222
2021-01-19,0.1139,0.08800000000000001,0.0259
2021-01-15,0.1069,0.0815,0.0254
2021-01-14,0.0994,0.0752,0.0243
2021-01-13,0.0885,0.0691,0.0194
2021-01-12,0.0885,0.0643,0.0242
2021-01-11,0.0943,0.0582,0.0361
2021-01-08,0.0811,0.0492,0.0319
2021-01-07,0.0701,0.0412,0.0289
2021-01-06,0.0541,0.034,0.0201
2021-01-05,0.0338,0.028999999999999998,0.0048
2021-01-04,0.0228,0.0278,-0.005
2020-12-31,0.0175,0.028999999999999998,-0.0115
2020-12-30,0.0237,0.0319,-0.0082
2020-12-29,0.0273,0.034,-0.0067
2020-12-28,0.0324,0.0357,-0.0032
2020-12-24,0.0345,0.0365,-0.002
2020-12-23,0.0345,0.037000000000000005,-0.0024
2020-12-22,0.03,0.0376,-0.0076
2020-12-21,0.033,0.0395,-0.0065
2020-12-18,0.0394,0.0411,-0.0017
2020-12-17,0.0428,0.0415,0.0013
2020-12-16,0.0426,0.0412,0.0014
2020-12-15,0.0406,0.0408,-0.0002
2020-12-14,0.0386,0.0408,-0.0023
2020-12-11,0.0486,0.0414,0.0072
2020-12-10,0.0526,0.0396,0.013000000000000001
2020-12-09,0.0548,0.0364,0.0185
2020-12-08,0.059000000000000004,0.0317,0.0272
2020-12-07,0.0542,0.0249,0.0293
2020-12-04,0.0473,0.0176,0.0297
2020-12-03,0.0389,0.0102,0.0287
2020-12-02,0.0225,0.003,0.0195
2020-12-01,0.0114,-0.0019,0.0132
2020-11-30,0.0092,-0.0052,0.0144
2020-11-27,-0.0069,-0.0088,0.0019
2020-11-25,-0.0191,-0.0092,-0.0099
2020-11-24,-0.0233,-0.0068,-0.0166
2020-11-23,-0.0284,-0.0026,-0.0257
2020-11-20,-0.0242,0.0038,-0.027999999999999997
2020-11-19,-0.0185,0.0108,-0.0293
2020-11-18,-0.0109,0.0181,-0.0291
2020-11-17,-0.0022,0.0254,-0.0276
2020-11-16,0.0039,0.0323,-0.0283
2020-11-13,0.0168,0.0394,-0.0226
2020-11-12,0.0329,0.045,-0.0121
2020-11-11,0.051,0.048,0.003
2020-11-10,0.0652,0.0473,0.018000000000000002
2020-11-09,0.0824,0.0428,0.0397
2020-11-06,0.0655,0.0329,0.0326
2020-11-05,0.0379,0.0247,0.0132
2020-11-04,0.0275,0.0214,0.0061
2020-11-03,0.0301,0.0199,0.0102
2020-11-02,0.0229,0.0173,0.0055
2020-10-30,0.0153,0.016,-0.0007
2020-10-29,0.0176,0.0161,0.0015
2020-10-28,0.0183,0.0158,0.0026
2020-10-27,0.022000000000000002,0.0151,0.0069
2020-10-26,0.0234,0.0134,0.01
2020-10-23,0.0247,0.0109,0.0138
2020-10-22,0.022000000000000002,0.0074,0.0146
2020-10-21,0.0193,0.0038,0.0155
2020-10-20,0.0165,-0.0001,0.0166
2020-10-19,0.0148,-0.0042,0.019
2020-10-16,0.0093,-0.009000000000000001,0.0183
2020-10-15,0.0093,-0.0135,0.0228
2020-10-14,0.0081,-0.0192,0.0274
2020-10-13,0.0055,-0.0261,0.0316
2020-10-12,-0.0051,-0.034,0.0289
2020-10-09,-0.0154,-0.0412,0.0258
2020-10-08,-0.0253,-0.0477,0.0223
2020-10-07,-0.0427,-0.0533,0.0105
2020-10-06,-0.0511,-0.0559,0.0048
2020-10-05,-0.0538,-0.0571,0.0033
2020-10-02,-0.0576,-0.0579,0.0003
2020-10-01,-0.0575,-0.057999999999999996,0.0005
2020-09-30,-0.0586,-0.0581,-0.0005
2020-09-29,-0.0591,-0.057999999999999996,-0.0012
2020-09-28,-0.0589,-0.0577,-0.0013
2020-09-25,-0.0538,-0.0573,0.0036
2020-09-24,-0.0505,-0.0582,0.0078
2020-09-23,-0.0486,-0.0602,0.0116
2020-09-22,-0.0485,-0.0631,0.0146
2020-09-21,-0.0559,-0.0667,0.0109
2020-09-18,-0.0644,-0.0694,0.005
2020-09-17,-0.0693,-0.0707,0.0014
2020-09-16,-0.0736,-0.071,-0.0025
2020-09-15,-0.0809,-0.0704,-0.0106
2020-09-14,-0.0805,-0.0678,-0.0128
2020-09-11,-0.0784,-0.0646,-0.0138
2020-09-10,-0.0734,-0.0611,-0.0123
2020-09-09,-0.0731,-0.057999999999999996,-0.0151
2020-09-08,-0.0676,-0.0543,-0.0134
2020-09-04,-0.0627,-0.0509,-0.0118
2020-09-03,-0.0586,-0.048,-0.0106
2020-09-02,-0.0525,-0.0453,-0.0071
2020-09-01,-0.0469,-0.0435,-0.0034
2020-08-31,-0.0442,-0.0427,-0.0016
2020-08-28,-0.0433,-0.0423,-0.001
2020-08-27,-0.0434,-0.042,-0.0014
2020-08-26,-0.0409,-0.0417,0.0007
2020-08-25,-0.0382,-0.0419,0.0037
2020-08-24,-0.0362,-0.0428,0.0066
2020-08-21,-0.032,-0.0444,0.0124
2020-08-20,-0.0273,-0.0475,0.0202
2020-08-19,-0.025,-0.0526,0.0276
2020-08-18,-0.0257,-0.0595,0.0337
2020-08-17,-0.0355,-0.0679,0.0325
2020-08-14,-0.0463,-0.076,0.0297
2020-08-13,-0.0616,-0.0835,0.0219
2020-08-12,-0.07200000000000001,-0.0889,0.0169
2020-08-11,-0.0802,-0.0932,0.013000000000000001
2020-08-10,-0.0874,-0.0964,0.009000000000000001
2020-08-07,-0.0963,-0.0987,0.0023
