date,MACD_Signal,MACD_Hist,MACD
2021-01-19,1.6376,-6.318,-4.6804
2021-01-15,3.2171,-6.0116,-2.7945
2021-01-14,4.72,-5.2368,-0.5167
2021-01-13,6.0292,-5.0557,0.9736
2021-01-12,7.2931,-4.6922,2.6009
2021-01-11,8.4662,-4.3606,4.1056
2021-01-08,9.5564,-4.2375,5.3188
2021-01-07,10.6157,-5.2481,5.3676
2021-01-06,11.9278,-5.6199,6.3079
2021-01-05,13.3327,-4.099,9.2337
2021-01-04,14.3575,-2.8463,11.5112
2020-12-31,15.069,-0.9049,14.1642
2020-12-30,15.2953,-0.4476,14.8476
2020-12-29,15.4072,0.5388,15.946
2020-12-28,15.2725,1.876,17.1485
2020-12-24,14.8035,2.0013,16.8047
2020-12-23,14.3032,1.9671,16.2703
2020-12-22,13.8114,1.3119999999999998,15.1234
2020-12-21,13.4834,-0.1213,13.3621
2020-12-18,13.5137,-0.6044,12.9093
2020-12-17,13.6648,-0.9358,12.729000000000001
2020-12-16,13.8987,-1.7845,12.1142
2020-12-15,14.3449,-1.3069,13.038
2020-12-14,14.6716,-0.8489,13.8227
2020-12-11,14.8838,-0.3298,14.554
2020-12-10,14.9662,0.5223,15.4885
2020-12-09,14.8357,1.3047,16.1404
2020-12-08,14.5095,2.7708,17.2803
2020-12-07,13.8168,2.7988,16.6156
2020-12-04,13.1171,2.7148,15.8319
2020-12-03,12.4384,2.1477,14.5861
2020-12-02,11.9015,1.7652,13.6666
2020-12-01,11.4602,1.7382,13.1984
2020-11-30,11.0256,1.7792,12.8048
2020-11-27,10.5808,1.3959,11.9767
2020-11-25,10.2319,0.5453,10.7772
2020-11-24,10.0955,-0.0287,10.0668
2020-11-23,10.1027,-0.4079,9.6948
2020-11-20,10.2047,-1.3303,8.8744
2020-11-19,10.5373,-1.8434,8.6939
2020-11-18,10.9981,-2.6539,8.3442
2020-11-17,11.6616,-2.6256,9.036
2020-11-16,12.318,-2.6719,9.646
2020-11-13,12.985999999999999,-2.4644,10.5216
2020-11-12,13.6021,-2.3593,11.2427
2020-11-11,14.1919,-2.0151,12.1768
2020-11-10,14.6957,-1.6545,13.0412
2020-11-09,15.1093,-0.7697,14.3396
2020-11-06,15.3017,-2.3001,13.0016
2020-11-05,15.8768,-3.0483,12.8284
2020-11-04,16.6388,-2.705,13.9338
2020-11-03,17.3151,-4.6339999999999995,12.6811
2020-11-02,18.4736,-4.6954,13.7782
2020-10-30,19.6474,-3.7999,15.8476
2020-10-29,20.5974,-2.6944,17.903
2020-10-28,21.271,-1.9213,19.3497
2020-10-27,21.7513,-0.6798,21.0716
2020-10-26,21.9213,-0.0937,21.8275
2020-10-23,21.9447,0.966,22.9107
