date,MFI
2014-05-06,40.8542
2014-05-07,47.2621
2014-05-08,32.0446
2014-05-09,23.0699
2014-05-12,22.9946
2014-05-13,22.3711
2014-05-14,21.1511
2014-05-15,20.534
2014-05-16,22.4409
2014-05-19,13.3446
2014-05-20,19.2388
2014-05-21,19.4422
2014-05-22,23.6358
2014-05-23,18.4415
2014-05-27,18.0626
2014-05-28,16.6985
2014-05-29,18.6271
2014-05-30,18.6942
2014-06-02,22.0328
2014-06-03,26.928
2014-06-04,31.7547
2014-06-05,32.5833
2014-06-06,36.8581
2014-06-09,46.1032
2014-06-10,38.8539
2014-06-11,36.0892
2014-06-12,29.0129
2014-06-13,36.8534
2014-06-16,44.9273
2014-06-17,50.8592
2014-06-18,51.6171
2014-06-19,57.8386
2014-06-20,63.0085
2014-06-23,62.2624
2014-06-24,64.2009
2014-06-25,64.4895
2014-06-26,65.9941
2014-06-27,37.4443
2014-06-30,35.4057
2014-07-01,37.6279
2014-07-02,38.8858
2014-07-03,40.8864
2014-07-07,36.1372
2014-07-08,35.8931
2014-07-09,32.3185
2014-07-10,29.0637
2014-07-11,20.6901
2014-07-14,23.3621
2014-07-15,16.5923
2014-07-16,16.3895
2014-07-17,11.2998
2014-07-18,19.4857
2014-07-21,26.1677
2014-07-22,22.8023
2014-07-23,25.741
2014-07-24,31.0438
2014-07-25,42.6429
2014-07-28,45.5048
2014-07-29,50.0831
2014-07-30,57.7118
2014-07-31,59.1278
2014-08-01,48.3684
2014-08-04,56.7182
2014-08-05,59.593
2014-08-06,74.4691
2014-08-07,77.8857
2014-08-08,67.9308
2014-08-11,68.6893
2014-08-12,69.46
2014-08-13,76.6031
2014-08-14,76.8521
2014-08-15,82.1167
2014-08-18,84.2679
2014-08-19,80.8499
2014-08-20,76.9752
2014-08-21,80.469
2014-08-22,84.9506
2014-08-25,87.3766
2014-08-26,87.3668
2014-08-27,87.7574
2014-08-28,89.6001
2014-08-29,89.8941
2014-09-02,90.4436
2014-09-03,69.7879
2014-09-04,58.6187
2014-09-05,53.5854
2014-09-08,46.9331
2014-09-09,45.1181
2014-09-10,48.8153
2014-09-11,51.0363
2014-09-12,47.5192
2014-09-15,42.114
2014-09-16,44.289
2014-09-17,44.2032
2014-09-18,41.8325
2014-09-19,51.2689
2014-09-22,43.005
2014-09-23,54.511
2014-09-24,56.7097
2014-09-25,56.7671
2014-09-26,57.8126
2014-09-29,57.6207
