date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,45.12,51.49,45.07,50.11,18003242.0
2020-04-17,45.68,45.79,42.77,44.46,9363255.0
2020-04-16,44.33,46.49,44.2,45.12,8685382.0
2020-04-15,42.34,44.0,42.34,43.89,5098384.0
2020-04-14,42.4,43.98,42.343,43.03,6797037.0
2020-04-13,41.02,42.09,40.8,41.42,4847495.0
2020-04-09,40.4,41.83,40.18,41.04,7673054.0
2020-04-08,40.0,40.48,38.93,39.71,6820556.0
2020-04-07,38.6603,41.21,38.56,40.63,11648411.0
2020-04-06,37.5,38.5,37.41,38.49,7970778.0
2020-04-03,36.4,37.65,36.22,36.9,7498021.0
2020-04-02,33.9,36.77,33.9,36.28,7576249.0
2020-04-01,35.73,37.33,35.42,35.9,9897258.0
2020-03-31,35.71,36.71,35.43,36.03,9931734.0
2020-03-30,35.53,36.16,35.24,35.63,7140109.0
2020-03-27,36.2,36.2,34.72,35.32,11250393.0
2020-03-26,37.02,38.48,36.71,37.01,6215024.0
2020-03-25,35.85,38.78,35.8,37.26,8268215.0
2020-03-24,35.05,36.13,34.76,36.05,6223022.0
2020-03-23,34.15,34.75,32.66,34.1,5547155.0
2020-03-20,34.0,35.74,33.38,33.57,6836495.0
2020-03-19,31.55,33.84,31.41,33.8,7070303.0
2020-03-18,31.56,32.79,31.0,31.77,6574438.0
2020-03-17,32.79,34.06,31.65,33.39,6050946.0
2020-03-16,31.14,33.48,30.2,32.19,8836350.0
2020-03-13,34.5,34.65,32.96,33.76,9429575.0
2020-03-12,33.9,34.2,32.5,32.81,13354486.0
2020-03-11,35.5,37.28,34.67,35.06,19562642.0
2020-03-10,37.14,38.14,36.7,37.69,13048060.0
2020-03-09,35.01,37.4826,34.79,36.51,9547501.0
2020-03-06,35.74,36.78,35.29,36.76,7009142.0
2020-03-05,35.7,37.355,35.5535,36.12,8622447.0
2020-03-04,36.43,36.48,35.76,36.29,5476673.0
2020-03-03,37.5,37.62,35.4,35.79,6544880.0
