date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.6221,5.9639,6.5859
2021-02-10,0.6731,5.6529,6.3260000000000005
2021-02-09,0.2078,5.3163,5.5241
2021-02-08,0.9318,5.2124,6.1443
2021-02-05,2.3511,4.7465,7.0976
2021-02-04,2.7674,3.5709,6.3383
2021-02-03,2.2316,2.1872,4.4188
2021-02-02,0.8861,1.0714,1.9575
2021-02-01,-0.2293,0.6284,0.3991
2021-01-29,-1.8194,5.9860000000000015,4.1666
2021-01-28,-1.5248,6.4408,4.916
2021-01-27,-1.3927,6.822,5.4293
2021-01-26,-0.8531,7.1702,6.3171
2021-01-25,-0.8071,7.3835,6.5764
2021-01-22,-1.4303,7.5853,6.155
2021-01-21,-1.5458,7.9428,6.3971
2021-01-20,-1.81,8.3293,6.5193
2021-01-19,-2.0128,8.7818,6.7689
2021-01-15,-2.075,9.285,7.21
2021-01-14,-1.3628,9.8037,8.4409
2021-01-13,-0.8723,10.1444,9.2722
2021-01-12,0.0863,10.3625,10.4488
2021-01-11,0.9811,10.3409,11.3221
2021-01-08,1.8699,10.0956,11.9655
2021-01-07,2.1416,9.6282,11.7697
2021-01-06,2.322,9.0928,11.4148
2021-01-05,2.6266,8.5123,11.1389
2021-01-04,1.7051,7.8556,9.5607
2020-12-31,2.0572,7.4293,9.4865
2020-12-30,1.2299,6.915,8.1449
2020-12-29,-0.4401,6.6076,6.1675
2020-12-28,-1.8482,6.7176,4.8694
2020-12-24,-1.7583,7.1797,5.4214
2020-12-23,-2.4834,7.6192,5.1358
2020-12-22,-2.2708,8.2401,5.9693
2020-12-21,-1.7362,8.8078,7.0716
2020-12-18,-1.6654,9.2418,7.5764
2020-12-17,-1.8022,9.6582,7.8559
2020-12-16,-2.0693,10.1087,8.0394
2020-12-15,-2.0132,10.6261,8.6128
2020-12-14,-1.5597,11.1294,9.5697
2020-12-11,-0.8767,11.5193,10.6426
2020-12-10,-0.4443,11.7385,11.2942
2020-12-09,-0.5692,11.8496,11.2804
2020-12-08,-0.2038,11.9919,11.788
2020-12-07,-0.7884,12.0428,11.2545
2020-12-04,-0.7407,12.2399,11.4992
2020-12-03,-0.737,12.4251,11.6881
