date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,71.17,75.07,71.17,75.07,8904872.0
2021-01-11,70.81,72.8918,69.024,71.7,7812810.0
2021-01-08,72.2,73.57,69.5,71.87,9102494.0
2021-01-07,67.71,71.41,67.71,71.38,9870716.0
2021-01-06,66.03,68.34,64.74,67.11,9305117.0
2021-01-05,67.92,69.41,67.45,68.42,6482316.0
2021-01-04,66.0,69.67,64.5,68.07,12825683.0
2020-12-31,67.31,67.545,65.45,65.9,6583325.0
2020-12-30,68.33,68.53,65.92,67.14,8638967.0
2020-12-29,68.01,69.51,66.6,68.29,6939399.0
2020-12-28,72.0,72.48,66.65,67.79,7912196.0
2020-12-24,73.0,73.41,70.3232,71.04,4552299.0
2020-12-23,73.0,75.4411,72.65,72.99,11107156.0
2020-12-22,70.29,72.42,69.35,72.35,9159940.0
2020-12-21,69.61,71.63,68.35,69.85,12656167.0
2020-12-18,71.59,71.7999,69.8106,70.36,12822057.0
2020-12-17,71.7,72.68,70.1,71.0,10128161.0
2020-12-16,70.98,71.57,68.68,70.27,7565795.0
2020-12-15,70.36,70.9894,68.95,70.71,6432744.0
2020-12-14,72.17,72.18,69.52,69.79,6879847.0
2020-12-11,71.25,72.88,69.27,71.13,6914732.0
2020-12-10,67.78,71.91,66.6,71.64,8500912.0
2020-12-09,69.9,72.72,67.45,68.47,10697450.0
2020-12-08,70.25,70.8,68.42,69.92,6097523.0
2020-12-07,68.28,70.91,67.91,70.31,9412520.0
2020-12-04,70.14,70.25,66.79,67.31,9515586.0
2020-12-03,68.47,71.37,68.0,69.7,10601604.0
2020-12-02,67.5,68.45,65.0101,68.01,6581851.0
2020-12-01,70.91,71.1,67.43,68.21,8043174.0
2020-11-30,70.25,70.63,65.75,70.02,15082937.0
2020-11-27,68.12,70.11,66.89,69.72,8459216.0
2020-11-25,64.26,67.74,64.1,67.42,10654976.0
2020-11-24,65.88,65.88,62.43,64.03,13411613.0
2020-11-23,67.6,68.1,63.635,65.79,12945176.0
2020-11-20,66.5,67.6,66.15,66.85,7789659.0
2020-11-19,64.97,67.19,64.79,65.95,10876225.0
2020-11-18,63.4,65.28,62.7,64.45,9875878.0
2020-11-17,62.47,64.12,61.81,63.35,9239930.0
2020-11-16,61.48,62.65,59.12,62.62,11595913.0
2020-11-13,61.19,62.6282,60.0767,62.32,11999524.0
2020-11-12,59.26,60.93,58.525,60.26,12955093.0
2020-11-11,56.4,59.99,56.35,59.55,15981424.0
2020-11-10,57.0,57.15,52.06,55.67,22938915.0
2020-11-09,61.0,61.75,57.3762,57.75,19633421.0
2020-11-06,63.32,65.47,62.05,64.74,12283910.0
2020-11-05,62.8,63.73,61.5101,63.47,15673028.0
2020-11-04,60.08,61.92,59.33,61.45,21601331.0
2020-11-03,58.71,59.94,57.77,59.58,20781835.0
2020-11-02,59.0,59.77,56.31,58.38,36422154.0
