date,MACD_Hist,MACD,MACD_Signal
2021-02-02,0.4268,0.1737,-0.253
2021-02-01,-0.0478,-0.5143,-0.4664
2021-01-29,-0.6604,0.0887,0.7492
2021-01-28,-0.675,0.2393,0.9143
2021-01-27,-0.655,0.428,1.083
2021-01-26,-0.1931,1.0536,1.2468
2021-01-25,0.0765,1.3715,1.2951
2021-01-22,0.0609,1.3368,1.2759
2021-01-21,0.0418,1.3026,1.2607
2021-01-20,-0.0552,1.1951,1.2503
2021-01-19,-0.1339,1.1302,1.2641
2021-01-15,-0.1007,1.1968,1.2975
2021-01-14,0.0701,1.3928,1.3227
2021-01-13,0.1943,1.4994,1.3052
2021-01-12,0.1739,1.4305,1.2566
2021-01-11,-0.1267,1.0865,1.2132
2021-01-08,-0.2701,0.9747,1.2448
2021-01-07,-0.5118,0.8005,1.3124
2021-01-06,-0.8238,0.6165,1.4403
2021-01-05,-0.8389,0.8074,1.6463
2021-01-04,-0.95,0.906,1.856
2020-12-31,-1.0393,1.0542,2.0935
2020-12-30,-0.9043,1.449,2.3533
2020-12-29,-0.7738,1.8056,2.5794
2020-12-28,-0.6555,2.1174,2.7728
2020-12-24,-0.4013,2.5354,2.9367
2020-12-23,-0.3358,2.7012,3.037
2020-12-22,-0.4459,2.675,3.1210000000000004
2020-12-21,-0.5646,2.6678,3.2325
2020-12-18,-0.4992,2.8744,3.3736
2020-12-17,-0.4541,3.0443,3.4984
2020-12-16,-0.4602,3.1517,3.612
2020-12-15,-0.4097,3.3173,3.727
2020-12-14,-0.3938,3.4356,3.8294
2020-12-11,-0.2976,3.6303,3.9279
2020-12-10,-0.3127,3.6896,4.0023
2020-12-09,-0.4208,3.6596,4.0805
2020-12-08,-0.2947,3.8909,4.1857
2020-12-07,-0.2774,3.9819,4.2594
2020-12-04,-0.3283,4.0004,4.3287
2020-12-03,-0.1395,4.2713,4.4108
2020-12-02,-0.134,4.3116,4.4456
2020-12-01,-0.0068,4.4724,4.4792
2020-11-30,0.1113,4.5922,4.4809
2020-11-27,0.041,4.494,4.453
2020-11-25,-0.1089,4.3338,4.4428
2020-11-24,-0.1694,4.3006,4.47
2020-11-23,0.0284,4.5407,4.5124
2020-11-20,0.0968,4.602,4.5053
2020-11-19,0.0243,4.5054,4.4811
2020-11-18,-0.0669,4.4081,4.475
2020-11-17,-0.1191,4.3726,4.4917
