date,MFI
2019-05-09,55.6744
2019-05-10,50.4285
2019-05-13,43.7474
2019-05-14,43.2267
2019-05-15,39.4996
2019-05-16,39.8739
2019-05-17,24.4778
2019-05-20,30.1882
2019-05-21,32.3255
2019-05-22,34.3349
2019-05-23,36.276
2019-05-24,43.056
2019-05-28,41.9412
2019-05-29,37.2293
2019-05-30,39.8383
2019-05-31,41.1555
2019-06-03,43.4251
2019-06-04,37.7874
2019-06-05,36.3289
2019-06-06,23.6254
2019-06-07,41.6817
2019-06-10,52.2121
2019-06-11,53.9108
2019-06-12,57.9532
2019-06-13,63.8802
2019-06-14,60.4523
2019-06-17,60.6494
2019-06-18,69.9918
2019-06-19,63.9373
2019-06-20,62.1066
2019-06-21,59.5004
2019-06-24,59.5731
2019-06-25,55.4518
2019-06-26,51.1968
2019-06-27,47.4216
2019-06-28,44.199
2019-07-01,44.6195
2019-07-02,44.9775
2019-07-03,45.7444
2019-07-05,41.2924
2019-07-08,33.8311
2019-07-09,17.5693
2019-07-10,18.2032
2019-07-11,18.8374
2019-07-12,25.6734
2019-07-15,31.8252
2019-07-16,33.0722
2019-07-17,33.2262
2019-07-18,26.9253
2019-07-19,23.8447
2019-07-22,34.1797
2019-07-23,43.0839
2019-07-24,46.9486
2019-07-25,53.8861
2019-07-26,62.3357
2019-07-29,69.5946
2019-07-30,78.7718
2019-07-31,87.6848
2019-08-01,69.6261
2019-08-02,85.802
2019-08-05,76.5169
2019-08-06,72.4614
2019-08-07,70.313
2019-08-08,71.1315
2019-08-09,71.2869
2019-08-12,73.2946
2019-08-13,73.3817
2019-08-14,70.1193
2019-08-15,66.7113
2019-08-16,66.6491
2019-08-19,66.7266
2019-08-20,67.152
2019-08-21,74.3979
2019-08-22,53.8786
2019-08-23,57.5628
2019-08-26,64.5685
2019-08-27,63.5528
2019-08-28,59.2567
2019-08-29,59.1298
2019-08-30,51.2427
2019-09-03,45.7426
2019-09-04,45.9879
2019-09-05,44.6026
2019-09-06,39.1531
2019-09-09,30.6797
2019-09-10,22.7646
2019-09-11,15.0616
2019-09-12,22.5907
2019-09-13,23.7091
2019-09-16,19.0577
2019-09-17,29.085
2019-09-18,28.0226
2019-09-19,30.8169
2019-09-20,38.4893
2019-09-23,37.0636
2019-09-24,35.9624
2019-09-25,37.8244
2019-09-26,42.6027
2019-09-27,46.3592
2019-09-30,45.6423
2019-10-01,44.4808
2019-10-02,38.2232
2019-10-03,43.8034
2019-10-04,48.5159
2019-10-07,40.8997
2019-10-08,42.2462
2019-10-09,39.0504
2019-10-10,34.0713
2019-10-11,45.0893
2019-10-14,45.6351
2019-10-15,27.8674
2019-10-16,35.6882
2019-10-17,43.6776
2019-10-18,43.1546
2019-10-21,48.4014
2019-10-22,46.7005
2019-10-23,42.638
2019-10-24,39.2697
2019-10-25,43.0087
2019-10-28,46.6878
2019-10-29,42.6843
2019-10-30,39.7328
2019-10-31,32.1226
2019-11-01,24.5676
2019-11-04,36.018
2019-11-05,29.3574
2019-11-06,23.6178
2019-11-07,23.7317
2019-11-08,20.1207
2019-11-11,24.4003
2019-11-12,27.7477
2019-11-13,27.6872
2019-11-14,24.4065
2019-11-15,20.6265
2019-11-18,21.1592
2019-11-19,24.3053
2019-11-20,27.0845
2019-11-21,41.7989
2019-11-22,26.6291
2019-11-25,34.8106
2019-11-26,47.27
2019-11-27,54.1405
2019-11-29,49.2726
2019-12-02,41.7523
2019-12-03,34.8356
2019-12-04,34.5241
2019-12-05,34.7783
2019-12-06,40.2995
2019-12-09,40.4333
2019-12-10,33.6978
2019-12-11,38.8091
2019-12-12,38.0043
2019-12-13,40.553
2019-12-16,42.175
2019-12-17,37.6831
2019-12-18,39.6495
2019-12-19,46.8364
2019-12-20,56.8223
2019-12-23,56.3187
2019-12-24,59.4361
2019-12-26,60.4385
2019-12-27,60.466
2019-12-30,61.8065
2019-12-31,68.335
2020-01-02,68.5567
2020-01-03,70.5843
2020-01-06,77.3913
2020-01-07,76.4705
2020-01-08,75.7921
2020-01-09,76.7465
2020-01-10,75.963
2020-01-13,64.9537
2020-01-14,80.6963
2020-01-15,86.1446
2020-01-16,89.6824
2020-01-17,91.1533
2020-01-21,85.2718
2020-01-22,85.7456
2020-01-23,86.282
2020-01-24,88.779
2020-01-27,82.7398
2020-01-28,82.7672
2020-01-29,82.8494
2020-01-30,77.6549
2020-01-31,73.7604
2020-02-03,76.9232
2020-02-04,74.3581
2020-02-05,64.8501
2020-02-06,66.7083
2020-02-07,72.5424
2020-02-10,67.2434
2020-02-11,60.6461
2020-02-12,54.8814
2020-02-13,49.2287
2020-02-14,48.5677
2020-02-18,45.2949
2020-02-19,46.6343
2020-02-20,50.7561
2020-02-21,50.1635
2020-02-24,46.8722
2020-02-25,42.6237
2020-02-26,42.2759
2020-02-27,33.96
2020-02-28,11.1689
2020-03-02,18.1825
2020-03-03,19.1956
2020-03-04,23.9724
2020-03-05,25.3203
2020-03-06,26.4035
2020-03-09,26.5743
2020-03-10,19.0737
2020-03-11,12.0924
2020-03-12,11.9735
2020-03-13,17.1985
2020-03-16,17.6356
2020-03-17,23.7307
2020-03-18,25.2408
2020-03-19,34.2866
2020-03-20,30.7898
2020-03-23,31.5886
2020-03-24,32.464
2020-03-25,39.7476
2020-03-26,46.7544
2020-03-27,54.1694
2020-03-30,60.3903
2020-03-31,67.8428
2020-04-01,73.3207
2020-04-02,67.5885
2020-04-03,72.1373
2020-04-06,71.3142
2020-04-07,78.6976
2020-04-08,80.8381
2020-04-09,81.5697
2020-04-13,82.1091
2020-04-14,81.6475
2020-04-15,74.1945
2020-04-16,73.8531
2020-04-17,73.1909
2020-04-20,73.6237
2020-04-21,65.8703
2020-04-22,75.1381
2020-04-23,79.7987
2020-04-24,84.2981
2020-04-27,85.2507
2020-04-28,79.7097
2020-04-29,78.3704
2020-04-30,71.0633
2020-05-01,69.1588
2020-05-04,70.1473
2020-05-05,78.2709
2020-05-06,63.9152
2020-05-07,66.1664
2020-05-08,67.1459
2020-05-11,65.4329
2020-05-12,57.4155
2020-05-13,51.9841
2020-05-14,46.1178
2020-05-15,45.0575
2020-05-18,49.3411
2020-05-19,50.9508
2020-05-20,55.8823
2020-05-21,56.2558
2020-05-22,51.9892
2020-05-26,48.2166
2020-05-27,54.5221
2020-05-28,53.2012
2020-05-29,52.36
2020-06-01,59.5601
2020-06-02,68.1603
2020-06-03,76.9606
2020-06-04,83.429
2020-06-05,83.6398
2020-06-08,84.7482
2020-06-09,84.0805
2020-06-10,76.3655
2020-06-11,74.2004
2020-06-12,78.7682
2020-06-15,71.9635
2020-06-16,78.2818
2020-06-17,78.7232
2020-06-18,79.6342
2020-06-19,81.2929
2020-06-22,81.7521
2020-06-23,82.3653
2020-06-24,75.8512
2020-06-25,69.4969
2020-06-26,52.2347
2020-06-29,46.9648
2020-06-30,51.4762
2020-07-01,57.6032
2020-07-02,59.4769
2020-07-06,66.0765
2020-07-07,66.879
2020-07-08,67.3831
2020-07-09,67.21
2020-07-10,60.2181
2020-07-13,54.5017
2020-07-14,48.0991
2020-07-15,53.0629
2020-07-16,53.6439
2020-07-17,67.2592
2020-07-20,73.2764
2020-07-21,73.7956
2020-07-22,66.9498
2020-07-23,59.8754
2020-07-24,51.0992
2020-07-27,44.9396
2020-07-28,36.697
2020-07-29,34.0214
2020-07-30,44.9622
2020-07-31,76.3936
2020-08-03,84.5134
2020-08-04,72.0419
2020-08-05,75.2512
2020-08-06,75.7715
