date,MFI
2020-10-20,40.1314
2020-10-21,51.6027
2020-10-22,61.2667
2020-10-23,58.8125
2020-10-26,48.9453
2020-10-27,49.2413
2020-10-28,62.0002
2020-10-29,69.6281
2020-10-30,69.6761
2020-11-02,76.6744
2020-11-03,82.3245
2020-11-04,82.6092
2020-11-05,85.0734
2020-11-06,90.9961
2020-11-09,94.4169
2020-11-10,86.816
2020-11-11,88.0066
2020-11-12,70.0471
2020-11-13,73.3901
2020-11-16,74.7373
2020-11-17,78.814
2020-11-18,81.2991
2020-11-19,84.0809
2020-11-20,75.9772
2020-11-23,78.2706
2020-11-24,81.2133
2020-11-25,85.2827
2020-11-27,87.8234
2020-11-30,76.8401
2020-12-01,72.9347
2020-12-02,65.4318
2020-12-03,70.264
2020-12-04,66.6148
2020-12-07,68.5741
2020-12-08,69.8213
2020-12-09,64.8461
2020-12-10,61.4666
2020-12-11,64.8549
2020-12-14,64.4188
2020-12-15,59.862
2020-12-16,51.3883
2020-12-17,43.884
2020-12-18,46.8081
2020-12-21,54.5104
2020-12-22,64.6014
2020-12-23,64.0555
2020-12-24,65.6108
2020-12-28,56.7972
2020-12-29,46.2113
2020-12-30,53.5622
2020-12-31,55.2009
2021-01-04,48.7201
2021-01-05,47.2478
2021-01-06,48.6268
2021-01-07,54.1005
2021-01-08,53.035
2021-01-11,61.6118
2021-01-12,57.9007
2021-01-13,46.9078
2021-01-14,37.2562
2021-01-15,49.2986
