date,MACD,MACD_Hist,MACD_Signal
2021-01-15,6.0042,-0.4144,6.4186
2021-01-14,6.2633,-0.2589,6.5222
2021-01-13,6.2718,-0.3151,6.5869
2021-01-12,5.9022,-0.7635,6.6657
2021-01-11,6.0838,-0.7728,6.8566
2021-01-08,6.2413,-0.8084,7.0498
2021-01-07,5.8466,-1.4052,7.2519
2021-01-06,6.0133,-1.5899,7.6032
2021-01-05,6.9745,-1.0262,8.0007
2021-01-04,7.2772,-0.98,8.2572
2020-12-31,7.8621,-0.6401,8.5022
2020-12-30,8.2622,-0.4,8.6622
2020-12-29,8.9266,0.1644,8.7622
2020-12-28,9.6936,0.9724,8.7211
2020-12-24,10.053,1.575,8.478
2020-12-23,10.0693,1.985,8.0843
2020-12-22,9.8621,2.2741,7.588
2020-12-21,9.0418,2.0223,7.0195
2020-12-18,8.4509,1.937,6.5139
2020-12-17,7.703,1.6733,6.0297
2020-12-16,6.7321,1.1207,5.6113
2020-12-15,5.9356,0.6044,5.3312
2020-12-14,5.7083,0.5282,5.1801
2020-12-11,5.4176,0.3696,5.048
2020-12-10,5.653,0.6974,4.9556
2020-12-09,5.7409,0.9596,4.7813
2020-12-08,6.2318,1.6904,4.5414
2020-12-07,6.1426,2.0238,4.1188
2020-12-04,5.8386,2.2258,3.6128
2020-12-03,5.382,2.3256,3.0564
2020-12-02,5.0497,2.5748,2.475
2020-12-01,4.7538,2.9225,1.8313
2020-11-30,3.9017,2.8011,1.1006
2020-11-27,3.0038,2.6035,0.4004
2020-11-25,2.092,2.3425,-0.2505
2020-11-24,0.5852,1.4214,-0.8361
2020-11-23,-0.4851,0.7064,-1.1915
2020-11-20,-1.3168,0.0513,-1.3681
2020-11-19,-1.5293,-0.1484,-1.3809
2020-11-18,-1.5982,-0.2544,-1.3438
2020-11-17,-1.5833,-0.3031,-1.2802
2020-11-16,-1.7634,-0.5589,-1.2044
2020-11-13,-1.9308,-0.8661,-1.0647
2020-11-12,-1.7785,-0.9303,-0.8482
2020-11-11,-1.607,-0.9914,-0.6156
2020-11-10,-1.6946,-1.3269,-0.3677
2020-11-09,-0.8675,-0.8315,-0.036
2020-11-06,0.0623,-0.1096,0.1719
2020-11-05,-0.5855,-0.7848,0.1993
2020-11-04,-1.5902,-1.9857,0.3955
2020-11-03,-1.8038,-2.6957,0.8919
2020-11-02,-0.5758,-2.1416,1.5658
2020-10-30,0.1904,-1.9108,2.1012
2020-10-29,1.3317,-1.2472,2.5789
2020-10-28,1.8617,-1.029,2.8907
2020-10-27,2.7892,-0.3588,3.1479
2020-10-26,3.1056,-0.132,3.2376
2020-10-23,3.7911,0.5205,3.2706
2020-10-22,4.0184,0.8778,3.1405
2020-10-21,4.1593,1.2383,2.9211
2020-10-20,3.3482,0.7367,2.6115
2020-10-19,3.3953,0.968,2.4273
2020-10-16,3.5996,1.4143,2.1853
2020-10-15,3.3609,1.5292,1.8317
2020-10-14,3.1408,1.6914,1.4494
2020-10-13,2.7674,1.7408,1.0266
2020-10-12,1.8289,1.2375,0.5914
2020-10-09,1.2389,0.9569,0.282
2020-10-08,0.8994,0.8566,0.0428
2020-10-07,0.8817,1.0531,-0.1714
2020-10-06,0.6885,1.1232,-0.4347
2020-10-05,0.7323,1.4477,-0.7155
2020-10-02,0.249,1.3264,-1.0774
