date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,76.85,77.59,74.68,75.64,9643548.0
2020-04-30,80.27,80.87,77.28,78.67,17113450.0
2020-04-29,77.17,79.24,76.83,78.97,11950168.0
2020-04-28,77.1084,77.78,75.16,75.29,6250473.0
2020-04-27,76.59,77.8201,75.49,75.98,7219462.0
2020-04-24,73.92,76.11,73.66,76.04,6073839.0
2020-04-23,75.0,76.17,73.76,73.81,7673845.0
2020-04-22,73.79,75.34,72.75,74.68,7367881.0
2020-04-21,73.31,73.97,71.75,71.84,9273758.0
2020-04-20,74.907,76.23,74.1,74.31,7107469.0
2020-04-17,77.32,78.25,75.48,76.17,9925952.0
2020-04-16,76.86,77.69,75.38,76.85,8819658.0
2020-04-15,75.8642,76.34,74.03,75.99,9951706.0
2020-04-14,75.0,77.665,74.975,77.55,11314132.0
2020-04-13,71.71,73.51,71.44,73.3,7896541.0
2020-04-09,74.62,74.84,70.0,71.58,15465069.0
2020-04-08,73.7,74.375,72.42,73.33,10695607.0
2020-04-07,73.66,74.9,70.86,72.73,11285559.0
2020-04-06,68.5,71.37,67.65,70.95,12153091.0
2020-04-03,67.68,68.69,64.55,65.23,8600729.0
2020-04-02,65.87,68.26,65.31,68.02,15432867.0
2020-04-01,65.0,68.7,65.0,65.9,14167923.0
2020-03-31,69.3,70.36,66.66,67.65,13216270.0
2020-03-30,67.19,69.5,66.06,69.03,9880831.0
2020-03-27,66.5,69.12,65.93,66.59,9739098.0
2020-03-26,64.0,69.655,63.25,68.98,15837897.0
2020-03-25,65.9,66.96,62.46,63.08,15969793.0
2020-03-24,66.0,67.62,62.19,65.46,18966796.0
2020-03-23,61.55,64.86,59.11,62.53,14920274.0
2020-03-20,65.03,67.98,60.79,60.91,16591457.0
2020-03-19,61.12,67.55,59.04,65.0,17127375.0
2020-03-18,63.7301,65.56,58.0,61.19,18381232.0
2020-03-17,65.91,69.81,62.2,68.86,16864536.0
2020-03-16,68.28,71.17,64.46,64.48,16134663.0
2020-03-13,71.18,76.67,67.26,75.81,15971421.0
2020-03-12,69.52,72.53,67.0,67.02,19386245.0
2020-03-11,76.29,77.79,73.72,74.62,13385129.0
2020-03-10,74.8,79.04,74.16,78.89,13615617.0
2020-03-09,72.35,76.1,71.83,72.64,13898507.0
2020-03-06,76.33,78.08,75.83,77.47,11536522.0
2020-03-05,79.46,81.37,78.7,79.17,9396192.0
2020-03-04,79.12,81.91,78.05,81.8,9894894.0
2020-03-03,80.82,82.65,77.83,78.56,16356235.0
2020-03-02,79.015,80.71,77.13,80.56,15043364.0
2020-02-28,73.69,79.81,73.34,78.3,20905483.0
2020-02-27,77.13,78.19,75.33,75.94,17898302.0
2020-02-26,81.0,82.03,79.09,79.66,13137752.0
2020-02-25,83.94,84.4,79.64,80.22,14724971.0
2020-02-24,83.9,84.83,82.71,83.32,12158495.0
2020-02-21,88.56,89.03,86.33,87.03,12260942.0
2020-02-20,90.81,91.88,88.68,89.47,9754899.0
2020-02-19,88.92,90.62,88.65,90.56,7820938.0
2020-02-18,87.99,89.0,87.525,88.03,7251738.0
2020-02-14,90.55,90.8,88.79,89.6,6256463.0
2020-02-13,91.03,91.3799,89.7772,90.03,8428261.0
2020-02-12,91.65,92.44,91.29,91.72,9824153.0
2020-02-11,89.37,91.47,88.9,90.0,9452795.0
2020-02-10,86.78,88.635,86.5,88.6,7481257.0
2020-02-07,89.62,90.03,87.38,87.42,10725091.0
2020-02-06,88.06,90.775,86.19,90.61,21059033.0
2020-02-05,90.99,91.14,89.27,90.91,14220868.0
2020-02-04,88.25,88.95,87.37,88.93,9236376.0
2020-02-03,85.55,86.58,85.16,86.48,7794550.0
2020-01-31,87.05,87.1677,85.04,85.31,9503569.0
2020-01-30,87.31,87.86,86.19,87.78,8379356.0
2020-01-29,88.66,89.02,87.35,88.23,8167966.0
2020-01-28,88.15,89.54,87.3861,89.15,9186993.0
2020-01-27,87.3035,88.22,86.45,87.05,9240203.0
2020-01-24,92.68,93.25,88.83,89.65,9471659.0
2020-01-23,92.85,92.95,91.46,92.0,11282020.0
2020-01-22,95.26,95.39,92.71,92.97,8342302.0
2020-01-21,95.33,95.7199,93.4229,94.54,10429181.0
2020-01-17,93.0,96.17,92.95,95.91,23694368.0
2020-01-16,90.22,92.229,89.82,91.79,9295519.0
2020-01-15,90.75,91.18,89.25,89.67,7259093.0
2020-01-14,91.13,91.61,90.29,90.56,7801839.0
2020-01-13,91.05,92.73,90.5485,90.97,8618170.0
2020-01-10,90.51,92.39,89.87,90.26,9670161.0
2020-01-09,89.66,90.72,88.83,89.91,9182018.0
2020-01-08,88.9,89.47,87.92,88.71,7621947.0
2020-01-07,87.04,89.49,86.91,88.97,8477788.0
2020-01-06,85.91,86.55,85.54,86.51,8383247.0
2020-01-03,87.26,87.64,86.44,87.02,8340945.0
2020-01-02,89.05,89.81,88.08,88.69,8416991.0
2019-12-31,87.99,88.77,87.88,88.23,5173531.0
2019-12-30,88.71,88.78,87.31,88.43,6545516.0
2019-12-27,88.9,88.95,88.09,88.8,5809692.0
2019-12-26,88.92,88.96,87.9965,88.4,5072875.0
2019-12-24,88.62,88.81,87.98,88.77,2435244.0
2019-12-23,89.01,89.33,88.245,88.45,7277068.0
2019-12-20,89.15,89.85,88.18,88.85,17593140.0
2019-12-19,88.36,88.70100000000001,87.62,88.49,7802786.0
2019-12-18,88.54,88.65,87.59,87.98,5869644.0
2019-12-17,89.0,89.04,87.68,88.32,7487131.0
2019-12-16,89.28,90.46,88.35,88.43,8719995.0
2019-12-13,88.91,89.7,87.564,87.83,12270500.0
2019-12-12,86.84,89.229,86.37,89.05,12174233.0
2019-12-11,84.84,87.1,84.76,86.99,9577072.0
2019-12-10,85.04,85.33,83.69,84.115,8085329.0
2019-12-09,84.0,85.3,83.8401,84.92,8464304.0
2019-12-06,83.45,84.25,83.42,83.82,6861714.0
2019-12-05,82.65,83.4409,81.78,82.585,6362029.0
2019-12-04,80.92,82.44,80.45,82.08,8478868.0
2019-12-03,81.38,81.39,79.81,80.58,11241842.0
2019-12-02,83.98,84.29,82.31,82.45,7677407.0
2019-11-29,84.51,85.1,83.42,83.55,3882382.0
2019-11-27,85.16,85.31,84.4713,84.8,5217649.0
2019-11-26,85.25,85.545,84.14,84.63,11587629.0
2019-11-25,85.76,86.29,85.08,85.29,8967364.0
