date,MACD_Hist,MACD,MACD_Signal
2021-02-02,0.2438,1.0612,0.8174
2021-02-01,-0.4106,0.2849,0.6955
2021-01-29,-0.8523,2.3186,3.1709
2021-01-28,-0.6628,2.7212,3.384
2021-01-27,-0.28,3.2697,3.5497
2021-01-26,0.4939,4.1137,3.6197
2021-01-25,0.7307,4.2269,3.4962
2021-01-22,0.8081,4.1216,3.3136
2021-01-21,1.0173,4.1289,3.1116
2021-01-20,0.9836,3.8408,2.8572
2021-01-19,0.8213,3.4326,2.6113
2021-01-15,0.5401,2.9461,2.406
2021-01-14,0.6915,2.9625,2.271
2021-01-13,0.4594,2.5575,2.0981
2021-01-12,0.3693,2.3526,1.9832
2021-01-11,0.4683,2.3592,1.8909
2021-01-08,0.3905,2.1643,1.7738
2021-01-07,0.1539,1.8301,1.6762
2021-01-06,-0.1651,1.4726,1.6377
2021-01-05,-0.2248,1.4542,1.679
2021-01-04,-0.452,1.2832,1.7352
2020-12-31,-0.4017,1.4465,1.8482
2020-12-30,-0.7058,1.2428,1.9486
2020-12-29,-0.9169,1.2082,2.1251
2020-12-28,-1.0593,1.295,2.3543
2020-12-24,-1.1557,1.4634,2.6191
2020-12-23,-1.3579,1.5501,2.9081
2020-12-22,-1.4229,1.8246,3.2475
2020-12-21,-1.3917,2.2115,3.6033
2020-12-18,-1.3248,2.6264,3.9512
2020-12-17,-1.2279,3.0545,4.2824
2020-12-16,-1.2476,3.3417,4.5894
2020-12-15,-1.263,3.6383,4.9013
2020-12-14,-1.1125,4.1045,5.2170000000000005
2020-12-11,-0.6446,4.8505,5.4952
2020-12-10,0.2805,5.9368,5.6563
2020-12-09,0.483,6.0692,5.5862
2020-12-08,0.6569,6.1223,5.4654
2020-12-07,0.5168,5.818,5.3012
2020-12-04,0.2524,5.4244,5.1720000000000015
2020-12-03,-0.2251,4.8839,5.1089
2020-12-02,-0.2573,4.9079,5.1652
2020-12-01,-0.3694,4.8601,5.2295
2020-11-30,-0.6573,4.6646,5.3219
2020-11-27,-0.7245,4.7617,5.4862
2020-11-25,-0.5122,5.1551,5.6673
2020-11-24,-0.2385,5.5568,5.7954
2020-11-23,-0.0538,5.8012,5.855
2020-11-20,0.3742,6.2427,5.8684
2020-11-19,0.7164,6.4913,5.7749
2020-11-18,0.9663,6.5621,5.5958
2020-11-17,1.2515,6.6057,5.3542
2020-11-16,1.3526,6.394,5.0413
2020-11-13,1.2941,5.9972,4.7032
2020-11-12,1.5116,5.8913,4.3796
2020-11-11,1.7041,5.7058,4.0017
2020-11-10,1.4272,5.0029,3.5757
2020-11-09,1.5825,4.8014,3.2189
2020-11-06,1.3977,4.2209,2.8233
2020-11-05,0.7015,3.1754,2.4738
2020-11-04,-0.5444,1.7541,2.2985
2020-11-03,-0.8534,1.5811,2.4346
2020-11-02,-0.9537,1.6943,2.6479
2020-10-30,-0.9223,1.9641,2.8864
2020-10-29,-0.7752,2.3417,3.1169
2020-10-28,-0.8334,2.4774,3.3107
2020-10-27,-0.4118,3.1072,3.5191
2020-10-26,-0.1951,3.427,3.622
2020-10-23,0.085,3.7559,3.6708
2020-10-22,0.1997,3.8493,3.6495
2020-10-21,0.3636,3.9632,3.5996
2020-10-20,0.5251,4.0338,3.5087
2020-10-19,0.7131,4.0906,3.3774
2020-10-16,0.8922,4.0913,3.1991
2020-10-15,0.9948,3.9709,2.9761
2020-10-14,1.0778,3.8051,2.7274
2020-10-13,0.9485,3.4064,2.4579
2020-10-12,0.8724,3.0932,2.2208
2020-10-09,0.7239,2.7266,2.0027
2020-10-08,0.5818,2.4035,1.8217
2020-10-07,0.5363,2.2126,1.6763
2020-10-06,0.3246,1.8669,1.5422
2020-10-05,0.2911,1.7522,1.4611
2020-10-02,0.0928,1.481,1.3883
2020-10-01,0.2602,1.6253,1.3651
2020-09-30,0.0752,1.3753,1.3
2020-09-29,-0.0586,1.2226,1.2812
2020-09-28,-0.2554,1.0405,1.2959
2020-09-25,-0.6774,0.6823,1.3597
2020-09-24,-0.9113,0.6177,1.5291
2020-09-23,-0.9964,0.7605,1.7569
2020-09-22,-0.9102,1.0959,2.006
2020-09-21,-1.055,1.1785,2.2335
2020-09-18,-1.0378,1.4595,2.4973
2020-09-17,-0.8352,1.9215,2.7568
2020-09-16,-0.907,2.0586,2.9656
2020-09-15,-0.9563,2.236,3.1923
2020-09-14,-1.2062,2.2252,3.4314
2020-09-11,-1.2376,2.4953,3.7329
2020-09-10,-1.2345,2.8078,4.0423
2020-09-09,-1.0858,3.2652,4.351
2020-09-08,-0.9811,3.6413,4.6224
2020-09-04,-0.3684,4.4992,4.8677
2020-09-03,-0.0595,4.9003,4.9598
2020-09-02,0.3196,5.2943,4.9747
2020-09-01,0.1411,5.0359,4.8947
2020-08-31,-0.0432,4.8163,4.8595
2020-08-28,-0.1108,4.7595,4.8703
2020-08-27,-0.1895,4.7084,4.898
2020-08-26,-0.1506,4.7947,4.9453
2020-08-25,-0.15,4.833,4.9830000000000005
2020-08-24,-0.1998,4.8207,5.0205
2020-08-21,-0.3315,4.7389,5.0704
2020-08-20,-0.2943,4.859,5.1533
2020-08-19,-0.0492,5.1777,5.2269
2020-08-18,0.2315,5.4707,5.2392
2020-08-17,0.484,5.6654,5.1813
2020-08-14,0.7559,5.8163,5.0603
2020-08-13,0.8956,5.767,4.8713
2020-08-12,1.006,5.6534,4.6474
2020-08-11,0.7903,5.1862,4.3959
2020-08-10,1.018,5.2164,4.1984
2020-08-07,1.4843,5.4281,3.9439
2020-08-06,1.856,5.4288,3.5728
2020-08-05,1.9586,5.0673,3.1088
2020-08-04,1.8798,4.499,2.6191
2020-08-03,1.6033,3.7525,2.1492
2020-07-31,1.1339,2.8822,1.7484
2020-07-30,0.6661,2.131,1.4649
2020-07-29,-0.3166,0.9817,1.2984
2020-07-28,-0.449,0.9286,1.3775
2020-07-27,-0.4832,1.0066,1.4898
2020-07-24,-0.6451,0.9654,1.6106
2020-07-23,-0.4888,1.2831,1.7719
2020-07-22,-0.3028,1.5912,1.894
2020-07-21,-0.3039,1.6659,1.9698
2020-07-20,-0.2795,1.7662,2.0457
2020-07-17,-0.3338,1.7818,2.1156
2020-07-16,-0.3284,1.8706,2.199
2020-07-15,-0.2205,2.0606,2.2812
2020-07-14,-0.1992,2.1371,2.3363
2020-07-13,-0.1655,2.2206,2.3861
2020-07-10,-0.0265,2.4009,2.4275
2020-07-09,0.043,2.4771,2.4341
2020-07-08,0.0404,2.4637,2.4233
2020-07-07,-0.0307,2.3825,2.4132
2020-07-06,-0.0365,2.3844,2.4209
2020-07-02,-0.1566,2.2735,2.4301
2020-07-01,-0.2645,2.2047,2.4692
2020-06-30,-0.2398,2.2956,2.5354
2020-06-29,-0.3612,2.2341,2.5953
2020-06-26,-0.3407,2.3449,2.6856
2020-06-25,-0.2188,2.552,2.7708
2020-06-24,-0.141,2.6845,2.8255
2020-06-23,-0.0643,2.7964,2.8607
2020-06-22,0.0006,2.8774,2.8768
2020-06-19,0.0845,2.9611,2.8766
2020-06-18,0.2016,3.0571,2.8555
2020-06-17,0.2182,3.0233,2.8051
2020-06-16,0.1836,2.9341,2.7506
2020-06-15,0.1153,2.82,2.7047
2020-06-12,0.2731,2.9489,2.6759
2020-06-11,0.579,3.1866,2.6076
2020-06-10,1.1038,3.5666,2.4628
2020-06-09,1.108,3.2949,2.1869
2020-06-08,1.1172,3.0271,1.9099
2020-06-05,0.8475,2.478,1.6306
2020-06-04,0.6068,2.0255,1.4187
2020-06-03,0.4046,1.6716,1.267
2020-06-02,0.2244,1.3902,1.1659
2020-06-01,-0.0859,1.0239,1.1098
2020-05-29,-0.0995,1.0317,1.1313
2020-05-28,-0.2445,0.9116,1.1561
2020-05-27,-0.195,1.0223,1.2173
2020-05-26,-0.2354,1.0306,1.266
2020-05-22,-0.1715,1.1533,1.3249
2020-05-21,-0.1426,1.2251,1.3677
2020-05-20,-0.0344,1.369,1.4034
2020-05-19,-0.1424,1.2695,1.412
2020-05-18,-0.0693,1.3783,1.4476
2020-05-15,-0.153,1.3119,1.4649
2020-05-14,0.1223,1.6254,1.5032
2020-05-13,0.119,1.5916,1.4726
2020-05-12,0.2697,1.7125,1.4428
2020-05-11,0.4244,1.7998,1.3754
2020-05-08,0.4096,1.6789,1.2693
2020-05-07,0.3253,1.4922,1.1669
2020-05-06,0.3197,1.4053,1.0856
2020-05-05,0.2643,1.27,1.0056
2020-05-04,0.2633,1.2028,0.9396
2020-05-01,0.421,1.2948,0.8738
2020-04-30,0.6288,1.3973,0.7685
2020-04-29,0.5933,1.2046,0.6113
2020-04-28,0.4482,0.9111,0.463
2020-04-27,0.5406,0.8916,0.3509
2020-04-24,0.5688,0.7846,0.2158
2020-04-23,0.557,0.6306,0.0736
2020-04-22,0.7138,0.6481,-0.0657
2020-04-21,0.818,0.5739,-0.2441
2020-04-20,1.2036,0.755,-0.4486
2020-04-17,1.4776,0.7281,-0.7495
2020-04-16,1.6159,0.4969,-1.1189
2020-04-15,1.6496,0.1267,-1.5229
2020-04-14,1.6736,-0.2617,-1.9353
2020-04-13,1.4439,-0.9098,-2.3537
2020-04-09,1.4163,-1.2983,-2.7147
2020-04-08,1.4655,-1.6033,-3.0687
2020-04-07,1.2908,-2.1443,-3.4351
2020-04-06,1.0142,-2.7436,-3.7578
2020-04-03,0.7208,-3.2906,-4.0114
2020-04-02,0.8232,-3.3684,-4.1916
2020-04-01,0.6995,-3.6979,-4.3974
2020-03-31,0.7198,-3.8525,-4.5722
2020-03-30,0.5833,-4.1689,-4.7522
2020-03-27,0.2477,-4.6503,-4.898
2020-03-26,0.0071,-4.9528,-4.9599
2020-03-25,-0.5444,-5.5061,-4.9617
2020-03-24,-0.7162,-5.5418,-4.8256
2020-03-23,-1.0984,-5.745,-4.6465
2020-03-20,-1.2555,-5.6275,-4.3719
2020-03-19,-1.1755,-5.2335,-4.0581
2020-03-18,-1.2997,-5.0639,-3.7642
2020-03-17,-0.9532,-4.3925,-3.4393
2020-03-16,-1.0381,-4.2391,-3.201
2020-03-13,-0.602,-3.5434,-2.9414
2020-03-12,-0.9468,-3.7377,-2.7909
2020-03-11,-0.4975,-3.0517,-2.5542
2020-03-10,-0.4624,-2.8923,-2.4299
2020-03-09,-0.7598,-3.0741,-2.3142
2020-03-06,-0.5116,-2.6359,-2.1243
2020-03-05,-0.5253,-2.5217,-1.9964
2020-03-04,-0.6443,-2.5093,-1.865
2020-03-03,-1.0163,-2.7202,-1.704
2020-03-02,-1.1166,-2.5665,-1.4499
2020-02-28,-1.3608,-2.5316,-1.1708
2020-02-27,-1.3951,-2.2257,-0.8306
2020-02-26,-1.0868,-1.5686,-0.4818
2020-02-25,-0.8664,-1.0765,-0.2101
2020-02-24,-0.4948,-0.4883,0.0065
2020-02-21,-0.1686,-0.0384,0.1302
2020-02-20,-0.0044,0.1679,0.1724
2020-02-19,0.013,0.1865,0.1735
2020-02-18,-0.071,0.0992,0.1702
2020-02-14,0.0496,0.2376,0.188
2020-02-13,0.0793,0.2549,0.1756
2020-02-12,0.0748,0.2306,0.1557
2020-02-11,-0.1087,0.0283,0.13699999999999998
2020-02-10,-0.2237,-0.0595,0.1642
2020-02-07,-0.2517,-0.0316,0.2201
2020-02-06,-0.1613,0.1217,0.28300000000000003
2020-02-05,-0.3247,-0.0013,0.3234
2020-02-04,-0.5926,-0.188,0.4045
2020-02-03,-0.7797,-0.227,0.5527
2020-01-31,-0.7777,-0.0301,0.7476
2020-01-30,-0.6041,0.3379,0.942
2020-01-29,-0.5357,0.5573,1.093
2020-01-28,-0.4423,0.7846,1.2269
2020-01-27,-0.3656,0.9719,1.3375
2020-01-24,-0.0235,1.4054,1.4289
2020-01-23,0.2452,1.68,1.4348
2020-01-22,0.3992,1.7727,1.3735
2020-01-21,0.4951,1.7688,1.2737
2020-01-17,0.4323,1.5823,1.1499
2020-01-16,0.1432,1.1851,1.0419
2020-01-15,0.064,1.0701,1.0061
2020-01-14,0.1282,1.1182,0.9901
2020-01-13,0.1171,1.0751,0.958
2020-01-10,0.0349,0.9637,0.9287
2020-01-09,-0.0421,0.8779,0.92
2020-01-08,-0.14,0.7905,0.9305
2020-01-07,-0.179,0.7866,0.9655
2020-01-06,-0.2659,0.7443,1.0103
