date,MFI
1999-11-19,79.2779
1999-11-22,79.0292
1999-11-23,74.1744
1999-11-24,74.0774
1999-11-26,72.5225
1999-11-29,68.7543
1999-11-30,64.6973
1999-12-01,59.947
1999-12-02,57.9366
1999-12-03,50.8206
1999-12-06,43.1677
1999-12-07,52.3834
1999-12-08,60.6682
1999-12-09,52.1446
1999-12-10,50.7517
1999-12-13,59.4102
1999-12-14,68.6956
1999-12-15,60.3025
1999-12-16,61.3868
1999-12-17,68.8448
1999-12-20,76.4532
1999-12-21,82.5126
1999-12-22,83.8958
1999-12-23,75.9721
1999-12-27,76.8806
1999-12-28,77.4937
1999-12-29,85.6431
1999-12-30,90.8272
1999-12-31,90.8781
2000-01-03,91.8571
2000-01-04,83.2589
2000-01-05,76.4888
2000-01-06,71.0507
2000-01-07,65.0396
2000-01-10,65.1152
2000-01-11,61.3923
2000-01-12,57.1604
2000-01-13,60.4939
2000-01-14,59.7457
2000-01-18,56.3862
2000-01-19,51.074
2000-01-20,43.3505
2000-01-21,44.6036
2000-01-24,31.9255
2000-01-25,40.4957
2000-01-26,39.226
2000-01-27,39.6398
2000-01-28,39.7361
2000-01-31,42.6176
2000-02-01,50.2593
2000-02-02,56.753
2000-02-03,51.2201
2000-02-04,47.4085
2000-02-07,47.9501
2000-02-08,47.196
2000-02-09,42.6405
2000-02-10,40.5814
2000-02-11,41.926
2000-02-14,36.7102
2000-02-15,43.2538
2000-02-16,50.8655
2000-02-17,61.6048
2000-02-18,59.0257
2000-02-22,48.6775
2000-02-23,48.0477
2000-02-24,48.1857
2000-02-25,49.0413
2000-02-28,56.1605
2000-02-29,57.3196
2000-03-01,57.1506
2000-03-02,52.9695
2000-03-03,50.5691
2000-03-06,55.5218
2000-03-07,56.3979
2000-03-08,50.9007
2000-03-09,45.1456
2000-03-10,49.8124
2000-03-13,48.7274
2000-03-14,39.8844
2000-03-15,49.1836
2000-03-16,54.7185
2000-03-17,53.9242
2000-03-20,47.7022
2000-03-21,52.6862
2000-03-22,57.7241
2000-03-23,67.0157
2000-03-24,69.385
2000-03-27,75.3369
2000-03-28,81.1219
2000-03-29,85.761
2000-03-30,75.4055
2000-03-31,82.5439
2000-04-03,81.5975
2000-04-04,73.4678
2000-04-05,73.5502
2000-04-06,69.4218
2000-04-07,73.8524
2000-04-10,69.8679
2000-04-11,65.6104
2000-04-12,58.6837
2000-04-13,50.543
2000-04-14,40.7316
2000-04-17,30.9337
2000-04-18,27.9012
2000-04-19,38.1672
2000-04-20,30.7659
2000-04-24,29.6478
2000-04-25,37.5731
2000-04-26,32.7096
2000-04-27,37.9152
2000-04-28,36.7159
2000-05-01,40.6609
2000-05-02,47.6934
2000-05-03,48.1051
2000-05-04,49.3222
2000-05-05,56.7157
2000-05-08,62.2712
2000-05-09,60.4181
2000-05-10,50.671
2000-05-11,51.8773
2000-05-12,61.1819
2000-05-15,58.5365
2000-05-16,65.5357
2000-05-17,58.5336
2000-05-18,50.6461
2000-05-19,41.6707
2000-05-22,27.5766
2000-05-23,27.9404
2000-05-24,25.276
2000-05-25,19.8339
2000-05-26,18.4358
2000-05-30,27.128
2000-05-31,25.2101
2000-06-01,32.3012
2000-06-02,36.3467
2000-06-05,31.9128
2000-06-06,32.794
2000-06-07,37.0676
2000-06-08,41.6893
2000-06-09,46.7777
2000-06-12,52.1782
2000-06-13,52.1598
2000-06-14,52.1279
2000-06-15,49.6907
2000-06-16,56.3739
2000-06-19,48.6642
2000-06-20,53.8724
2000-06-21,52.0172
2000-06-22,52.3764
2000-06-23,60.244
2000-06-26,54.9028
2000-06-27,49.6553
2000-06-28,41.5232
2000-06-29,37.4926
2000-06-30,32.596
2000-07-03,35.52
2000-07-05,39.7764
2000-07-06,50.7668
2000-07-07,40.9545
2000-07-10,40.6661
2000-07-11,40.5715
2000-07-12,41.1999
2000-07-13,34.1413
2000-07-14,28.2408
2000-07-17,38.4352
2000-07-18,38.5512
2000-07-19,43.1106
2000-07-20,40.9119
2000-07-21,46.8037
2000-07-24,48.443
2000-07-25,55.8371
2000-07-26,56.8801
2000-07-27,59.7788
2000-07-28,61.5077
2000-07-31,67.6787
2000-08-01,62.2617
2000-08-02,57.6184
2000-08-03,50.7681
2000-08-04,46.6406
2000-08-07,48.497
2000-08-08,49.7166
2000-08-09,59.1343
2000-08-10,58.0613
2000-08-11,52.143
2000-08-14,44.9041
2000-08-15,34.9281
2000-08-16,37.6515
2000-08-17,38.8462
2000-08-18,29.2195
2000-08-21,28.9179
2000-08-22,27.6153
