date,MACD,MACD_Hist,MACD_Signal
2021-02-11,3.4605,0.1854,3.2752
2021-02-10,3.4483,0.2658,3.1825
2021-02-09,3.6255,0.5759,3.0496
2021-02-08,3.4959,0.7343,2.7616
2021-02-05,3.0347,0.6403,2.3945
2021-02-04,2.5973,0.5229,2.0743
2021-02-03,1.9709,0.158,1.8129
2021-02-02,1.7171,-0.0168,1.7339
2021-02-01,0.8847,-0.8576,1.7423
2021-01-29,3.8765,-0.6701,4.5466
2021-01-28,4.7327,0.0186,4.7141
2021-01-27,5.0685,0.359,4.7095
2021-01-26,5.6158,0.9961,4.6197
2021-01-25,5.3,0.9293,4.3707
2021-01-22,4.8687,0.7303,4.1384
2021-01-21,4.5212,0.5654,3.9558
2021-01-20,3.9163,0.1018,3.8145
2021-01-19,3.3509,-0.4381,3.7889999999999997
2021-01-15,3.33,-0.5686,3.8985
2021-01-14,3.7181,-0.3226,4.0407
2021-01-13,3.9058,-0.2156,4.1213
2021-01-12,3.9165,-0.2587,4.1752
2021-01-11,4.0891,-0.1508,4.2399
2021-01-08,4.199,-0.0786,4.2776
2021-01-07,3.8088,-0.4885,4.2973
2021-01-06,3.6677,-0.7517,4.4194
2021-01-05,4.1918,-0.4155,4.6073
2021-01-04,4.3599,-0.3513,4.7112
2020-12-31,4.7707,-0.0283,4.7989999999999995
2020-12-30,4.7746,-0.0315,4.8061
2020-12-29,4.7885,-0.0255,4.814
2020-12-28,4.7377,-0.0827,4.8204
2020-12-24,4.6323,-0.2087,4.841
2020-12-23,4.7482,-0.145,4.8932
2020-12-22,4.9655,0.0361,4.9294
2020-12-21,5.0118,0.0913,4.9204
2020-12-18,5.0835,0.1859,4.8976
2020-12-17,5.0422,0.1911,4.8511
2020-12-16,4.8207,0.0173,4.8034
2020-12-15,4.6731,-0.1259,4.7989999999999995
2020-12-14,4.5886,-0.2419,4.8305
2020-12-11,4.7442,-0.1468,4.891
2020-12-10,5.0964,0.1687,4.9277
2020-12-09,5.4037,0.5183,4.8855
2020-12-08,5.8404,1.0845,4.7559
2020-12-07,5.6034,1.1185,4.4848
2020-12-04,5.325,1.1198,4.2052
2020-12-03,5.0681,1.1429,3.9252
2020-12-02,4.7925,1.153,3.6395
2020-12-01,4.4148,1.0635,3.3512
2020-11-30,3.908,0.8227,3.0853
2020-11-27,3.5947,0.715,2.8797
2020-11-25,3.2045,0.5036,2.7009
2020-11-24,2.9373,0.3622,2.575
2020-11-23,2.7374,0.2529,2.4845
2020-11-20,2.8572,0.4359,2.4212
2020-11-19,2.9695,0.6573,2.3122
2020-11-18,2.8664,0.7185,2.1479
2020-11-17,2.9239,0.9556,1.9683
2020-11-16,2.7351,1.0057,1.7294
2020-11-13,2.3599,0.8819,1.4780000000000002
2020-11-12,2.0774,0.8199,1.2575
2020-11-11,1.9437,0.8912,1.0525
2020-11-10,1.6066,0.7769,0.8297
2020-11-09,1.7973,1.1618,0.6355
2020-11-06,1.4891,1.1441,0.345
2020-11-05,0.4623,0.4033,0.059000000000000004
2020-11-04,-0.8327,-0.7909,-0.0418
2020-11-03,-1.7132,-1.8691,0.1559
2020-11-02,-1.5662,-2.1893,0.6232
2020-10-30,-0.8811,-2.0516,1.1705
2020-10-29,0.0672,-1.6162,1.6834
2020-10-28,0.5641,-1.5234,2.0875
2020-10-27,1.6728,-0.7955,2.4683
2020-10-26,1.9436,-0.7236,2.6672
2020-10-23,2.4836,-0.3645,2.8481
2020-10-22,2.7027,-0.2365,2.9393
2020-10-21,3.0,0.0016,2.9984
2020-10-20,3.3347,0.3367,2.998
2020-10-19,3.6911,0.7773,2.9138
2020-10-16,4.1544,1.4349,2.7195
2020-10-15,4.2065,1.8457,2.3607
2020-10-14,4.0502,2.1509,1.8993
2020-10-13,3.5927,2.2311,1.3616
2020-10-12,2.7064,1.9026,0.8038
2020-10-09,1.5348,1.2066,0.3282
2020-10-08,0.9135,0.887,0.0265
2020-10-07,0.5442,0.7394,-0.1952
2020-10-06,0.2164,0.5965,-0.3801
2020-10-05,0.2786,0.8078,-0.5292
2020-10-02,-0.1542,0.5770000000000001,-0.7312
2020-10-01,-0.1098,0.7656,-0.8754
2020-09-30,-0.8586,0.2082,-1.0668
2020-09-29,-1.3535,-0.2347,-1.1189
2020-09-28,-1.7735,-0.7133,-1.0602
2020-09-25,-2.4108,-1.5289,-0.8819
2020-09-24,-2.616,-2.1163,-0.4996
2020-09-23,-2.2127,-2.2421,0.0294
2020-09-22,-1.5407,-2.1307,0.59
2020-09-21,-1.5062,-2.6289,1.1226
2020-09-18,-0.9352,-2.7151,1.7799
2020-09-17,-0.0884,-2.5471,2.4586
2020-09-16,0.6435,-2.4519,3.0954
2020-09-15,1.1331,-2.5753,3.7084
2020-09-14,1.2898,-3.0624,4.3522
2020-09-11,1.8668,-3.2510000000000003,5.1178
2020-09-10,3.0542,-2.8763,5.9305
2020-09-09,4.3335,-2.3161,6.6496
2020-09-08,5.3411,-1.8876,7.2287
2020-09-04,7.3542,-0.3463,7.7005
2020-09-03,8.4335,0.6464,7.7871
2020-09-02,9.2997,1.6741,7.6255
2020-09-01,8.7121,1.5051,7.2070000000000025
2020-08-31,8.1237,1.2930000000000001,6.8307
2020-08-28,7.766,1.2586,6.5075
2020-08-27,7.435,1.2422,6.1928
2020-08-26,7.0546,1.1723,5.8823
2020-08-25,6.3741,0.7849,5.5892
2020-08-24,6.0318,0.6388,5.393
2020-08-21,5.7336,0.5003,5.2333
