date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,44.88,45.38,43.835,44.08,2906367.0
2020-04-17,44.83,46.05,44.17,45.98,5181742.0
2020-04-16,41.68,42.83,41.01,42.53,3218274.0
2020-04-15,40.49,41.99,40.18,41.67,4634688.0
2020-04-14,42.99,43.91,42.09,42.64,3787565.0
2020-04-13,43.69,43.74,41.1,41.92,4817309.0
2020-04-09,43.42,45.8,42.75,43.9,7411282.0
2020-04-08,39.54,42.685,38.91,41.92,6925382.0
2020-04-07,41.55,42.96,38.66,39.31,7515091.0
2020-04-06,36.0,38.15,35.15,37.79,8109903.0
2020-04-03,33.94,34.51,33.0,33.27,7345600.0
2020-04-02,36.24,37.125,34.51,34.81,5640351.0
2020-04-01,38.13,39.3,36.39,36.49,4070883.0
2020-03-31,40.27,40.74,39.0,40.03,3792160.0
2020-03-30,39.97,40.75,38.54,40.27,2716138.0
2020-03-27,41.04,41.9,39.21,40.53,3391767.0
2020-03-26,44.14,47.11,42.175,43.63,6506542.0
2020-03-25,39.72,45.69,38.21,43.87,10248552.0
2020-03-24,35.18,38.91,34.7,38.63,6081698.0
2020-03-23,31.98,34.85,31.0,32.44,6951464.0
2020-03-20,31.13,34.32,30.19,32.02,6129351.0
2020-03-19,27.84,32.87,26.66,29.95,8080880.0
2020-03-18,30.62,31.08,25.08,28.25,7211253.0
2020-03-17,36.13,36.2,31.485,32.74,7101959.0
2020-03-16,40.29,40.38,34.83,35.56,5987534.0
2020-03-13,44.59,45.78,41.31,45.63,4713859.0
2020-03-12,43.16,44.58,42.06,42.73,4174741.0
2020-03-11,51.51,51.51,47.33,47.8,4211518.0
2020-03-10,53.34,53.99,51.22,52.57,2587760.0
2020-03-09,51.97,53.63,51.5,52.25,4230348.0
2020-03-06,52.44,55.22,52.08,55.03,3452949.0
2020-03-05,56.38,56.38,53.52,53.76,4167106.0
2020-03-04,57.6,58.11,56.75,57.38,2017767.0
2020-03-03,59.4,59.87,56.61,57.11,3305835.0
2020-03-02,58.69,59.47,57.445,59.41,2859308.0
2020-02-28,58.67,59.45,57.05,58.5,6118148.0
2020-02-27,60.51,61.04,59.08,60.09,3447986.0
2020-02-26,62.82,63.62,61.19,61.65,3659259.0
2020-02-25,64.51,65.23,62.4,62.94,3034239.0
2020-02-24,64.42,65.26,64.18,64.31,2634913.0
2020-02-21,66.11,66.2012,65.4,65.87,1519311.0
2020-02-20,65.92,66.53,65.75,66.31,1347158.0
2020-02-19,66.15,66.5,65.89,65.92,1470192.0
2020-02-18,67.24,67.3154,65.98,66.15,1395325.0
2020-02-14,66.35,67.33,66.35,67.24,1442997.0
2020-02-13,66.08,66.705,66.0,66.4,2478169.0
2020-02-12,66.61,66.66,65.93,66.22,1832273.0
2020-02-11,65.8,66.5,65.46,66.41,2133949.0
2020-02-10,65.26,66.17,63.5198,65.61,5801421.0
2020-02-07,62.98,63.94,62.7,63.86,2886696.0
2020-02-06,63.12,63.5,62.46,63.15,2545527.0
2020-02-05,62.0,63.1,61.57,63.1,2498100.0
2020-02-04,61.04,61.8,60.84,61.69,2581813.0
2020-02-03,61.13,61.385,60.58,60.76,2408906.0
2020-01-31,61.9,62.25,60.78,61.01,2245739.0
2020-01-30,62.61,62.67,61.9,62.02,1348838.0
2020-01-29,62.85,63.78,62.61,62.82,2610558.0
2020-01-28,63.65,64.0,62.69,62.79,2331106.0
2020-01-27,63.22,63.85,63.13,63.57,1596399.0
2020-01-24,65.38,65.44,64.03,64.24,2417439.0
2020-01-23,64.95,65.33,64.76,65.28,1410836.0
2020-01-22,65.63,65.74,65.05,65.13,2026306.0
2020-01-21,65.13,65.83,64.75,65.3,2329029.0
2020-01-17,63.27,64.28,63.03,64.13,2418106.0
