date,MACD_Signal,MACD_Hist,MACD
2021-01-22,0.7248,-0.3495,0.3752
2021-01-21,0.8122,-0.2467,0.5655
2021-01-20,0.8738,-0.1257,0.7482
2021-01-19,0.9053,-0.0041,0.9012
2021-01-15,0.9063,0.1262,1.0325
2021-01-14,0.8747,0.1943,1.069
2021-01-13,0.8261,0.1385,0.9647
2021-01-12,0.7915,0.1339,0.9253
2021-01-11,0.758,0.1576,0.9157
2021-01-08,0.7186,0.1093,0.8279
2021-01-07,0.6913,-0.0771,0.6142
2021-01-06,0.7106,-0.3118,0.3987
2021-01-05,0.7885,-0.354,0.4345
2021-01-04,0.877,-0.2534,0.6236
2020-12-31,0.9404,-0.1334,0.807
2020-12-30,0.9737,-0.1195,0.8542
2020-12-29,1.0036,-0.1749,0.8287
2020-12-28,1.0473,-0.1584,0.889
2020-12-24,1.0869,-0.1095,0.9774
2020-12-23,1.1143,-0.0535,1.0608
2020-12-22,1.1277,0.015,1.1426
2020-12-21,1.124,0.1259,1.2498
2020-12-18,1.0925,0.1793,1.2717
2020-12-17,1.0477,0.1938,1.2415
2020-12-16,0.9992,0.22,1.2192
2020-12-15,0.9442,0.2418,1.186
2020-12-14,0.8838,0.1711,1.0548
2020-12-11,0.841,0.1744,1.0154
2020-12-10,0.7974,0.2266,1.024
2020-12-09,0.7407,0.1713,0.9121
2020-12-08,0.6979,0.0893,0.7872
2020-12-07,0.6756,0.0742,0.7497
2020-12-04,0.657,0.0359,0.6929
2020-12-03,0.648,-0.0902,0.5579
2020-12-02,0.6706,-0.1235,0.547
2020-12-01,0.7015,-0.1126,0.5888
2020-11-30,0.7296,-0.0132,0.7164
2020-11-27,0.7329,0.1773,0.9102
2020-11-25,0.6886,0.3033,0.9919
2020-11-24,0.6128,0.3872,1.0
2020-11-23,0.516,0.3979,0.9139
2020-11-20,0.4165,0.4692,0.8857
2020-11-19,0.2992,0.5547,0.8539
2020-11-18,0.1605,0.5869,0.7474
2020-11-17,0.0138,0.6384,0.6522
2020-11-16,-0.1458,0.6194,0.4736
2020-11-13,-0.3006,0.4941,0.1934
2020-11-12,-0.4242,0.4399,0.0157
2020-11-11,-0.5341,0.4551,-0.0791
2020-11-10,-0.6479,0.3874,-0.2605
2020-11-09,-0.7447,0.1536,-0.5912
2020-11-06,-0.7831,-0.1863,-0.9694
2020-11-05,-0.7366,-0.2713,-1.0079
2020-11-04,-0.6687,-0.3968,-1.0656
2020-11-03,-0.5695,-0.54,-1.1096
2020-11-02,-0.4345,-0.7242,-1.1587
2020-10-30,-0.2535,-0.7249,-0.9783
2020-10-29,-0.0723,-0.6859,-0.7581
2020-10-28,0.0992,-0.6683,-0.5691
2020-10-27,0.2663,-0.5534,-0.2871
2020-10-26,0.4046,-0.3994,0.0052
2020-10-23,0.5045,-0.3282,0.1763
2020-10-22,0.5865,-0.3328,0.2538
2020-10-21,0.6697,-0.35100000000000003,0.3187
2020-10-20,0.7575,-0.297,0.4605
2020-10-19,0.8317,-0.2211,0.6106
2020-10-16,0.887,-0.0482,0.8388
2020-10-15,0.8991,0.0935,0.9926
2020-10-14,0.8757,0.1766,1.0523
2020-10-13,0.8315,0.2038,1.0354
2020-10-12,0.7806,0.2596,1.0402
2020-10-09,0.7157,0.2751,0.9908
2020-10-08,0.6469,0.2512,0.8981
2020-10-07,0.5841,0.1464,0.7305
2020-10-06,0.5475,0.1462,0.6938
2020-10-05,0.511,0.1803,0.6913
2020-10-02,0.4659,0.1909,0.6568
2020-10-01,0.4182,0.2265,0.6447
2020-09-30,0.3616,0.2189,0.5805
2020-09-29,0.3069,0.2074,0.5143
2020-09-28,0.255,0.1815,0.4365
2020-09-25,0.2096,0.0666,0.2763
2020-09-24,0.193,0.003,0.196
2020-09-23,0.1922,-0.0348,0.1574
2020-09-22,0.2009,-0.0073,0.1936
2020-09-21,0.2028,0.0282,0.231
2020-09-18,0.1957,0.1362,0.3319
2020-09-17,0.1617,0.1639,0.3256
2020-09-16,0.1207,0.2001,0.3208
2020-09-15,0.0707,0.2395,0.3102
2020-09-14,0.0108,0.0941,0.1049
2020-09-11,-0.0127,0.0273,0.0145
2020-09-10,-0.0195,0.1155,0.096
2020-09-09,-0.0484,0.19399999999999998,0.1456
2020-09-08,-0.0969,0.2266,0.1297
2020-09-04,-0.1536,0.2622,0.1086
2020-09-03,-0.2191,0.2722,0.053
2020-09-02,-0.2872,0.2135,-0.0737
2020-09-01,-0.3405,0.0482,-0.2924
2020-08-31,-0.3526,0.0134,-0.3392
2020-08-28,-0.3559,0.04,-0.3159
2020-08-27,-0.366,-0.0427,-0.4087
2020-08-26,-0.3553,-0.0758,-0.4311
2020-08-25,-0.3363,-0.1161,-0.4525
2020-08-24,-0.3073,-0.1438,-0.4511
2020-08-21,-0.2713,-0.1885,-0.4599
2020-08-20,-0.2242,-0.1751,-0.3993
2020-08-19,-0.1804,-0.2099,-0.3903
2020-08-18,-0.1279,-0.2361,-0.364
2020-08-17,-0.0689,-0.3023,-0.3713
2020-08-14,0.0067,-0.3297,-0.3231
2020-08-13,0.0891,-0.3489,-0.2598
2020-08-12,0.1763,-0.3447,-0.1684
2020-08-11,0.2625,-0.3117,-0.0492
2020-08-10,0.3404,-0.3508,-0.0104
2020-08-07,0.4281,-0.3168,0.1113
2020-08-06,0.5073,-0.1382,0.3691
2020-08-05,0.5419,0.0038,0.5457
2020-08-04,0.541,-0.0319,0.509
2020-08-03,0.5489,-0.1081,0.4408
2020-07-31,0.5760000000000001,-0.0786,0.4974
2020-07-30,0.5956,-0.0472,0.5484
2020-07-29,0.6074,-0.0849,0.5225
2020-07-28,0.6286,-0.0998,0.5288
2020-07-27,0.6536,0.0067,0.6603
2020-07-24,0.6519,0.0746,0.7264
2020-07-23,0.6333,0.131,0.7643
2020-07-22,0.6005,0.187,0.7875
2020-07-21,0.5538,0.1768,0.7306
2020-07-20,0.5096,0.2168,0.7263
2020-07-17,0.4554,0.252,0.7074
2020-07-16,0.3923,0.2165,0.6089
2020-07-15,0.3382,0.1111,0.4493
2020-07-14,0.3105,-0.1004,0.21
2020-07-13,0.3356,-0.1778,0.1577
2020-07-10,0.38,-0.1533,0.2267
2020-07-09,0.4184,-0.19,0.2284
2020-07-08,0.4658,-0.1756,0.2903
2020-07-07,0.5097,-0.1957,0.314
2020-07-06,0.5587,-0.1859,0.3727
2020-07-02,0.6052,-0.3559,0.2492
2020-07-01,0.6941,-0.3941,0.3
2020-06-30,0.7927,-0.4572,0.3355
2020-06-29,0.907,-0.5281,0.3789
2020-06-26,1.0390000000000001,-0.6722,0.3667
2020-06-25,1.207,-0.599,0.608
2020-06-24,1.3568,-0.5667,0.7901
2020-06-23,1.4985,-0.5496,0.9489
2020-06-22,1.6358,-0.563,1.0728
2020-06-19,1.7766,-0.5642,1.2124
2020-06-18,1.9177,-0.4518,1.4659
2020-06-17,2.0306,-0.4465,1.5841
2020-06-16,2.1422,-0.4493,1.6929
2020-06-15,2.2546,-0.4084,1.8462
2020-06-12,2.3567,-0.3308,2.0259
2020-06-11,2.4394,-0.168,2.2713
2020-06-10,2.4814,0.1238,2.6051
2020-06-09,2.4504,0.305,2.7554
2020-06-08,2.3742,0.3505,2.7247
2020-06-05,2.2865,0.3327,2.6192
2020-06-04,2.2034,0.2758,2.4791
2020-06-03,2.1344,0.2894,2.4239
2020-06-02,2.0621,0.1807,2.2427
2020-06-01,2.0169,0.1067,2.1236
2020-05-29,1.9902,0.0764,2.0666
2020-05-28,1.9711,0.1175,2.0887
2020-05-27,1.9417,0.1754,2.1172
2020-05-26,1.8979,0.1009,1.9988
2020-05-22,1.8727,0.061,1.9337
2020-05-21,1.8574,0.0958,1.9532
2020-05-20,1.8335,0.0846,1.9181
2020-05-19,1.8123,0.1093,1.9216
2020-05-18,1.785,0.1351,1.92
2020-05-15,1.7512,0.1388,1.89
2020-05-14,1.7165,0.2,1.9164
2020-05-13,1.6665,0.2964,1.9629
2020-05-12,1.5924,0.5054,2.0977
2020-05-11,1.466,0.5513,2.0173
2020-05-08,1.3282,0.5184,1.8466
2020-05-07,1.1986,0.4945,1.6931
2020-05-06,1.075,0.5264,1.6014
2020-05-05,0.9434,0.6614,1.6048
2020-05-04,0.7781,0.8017,1.5798
2020-05-01,0.5776,0.9463,1.5239
2020-04-30,0.3411,1.1558,1.4969
2020-04-29,0.0521,1.2913,1.3434
2020-04-28,-0.2707,1.2193,0.9486
2020-04-27,-0.5755,1.167,0.5915
2020-04-24,-0.8673,1.1579,0.2906
2020-04-23,-1.1568,1.1632,0.0064
2020-04-22,-1.4476,1.1516,-0.29600000000000004
2020-04-21,-1.7355,1.15,-0.5855
2020-04-20,-2.023,1.3621,-0.6609
2020-04-17,-2.3635,1.4463,-0.9172
2020-04-16,-2.7251,1.3059,-1.4192
2020-04-15,-3.0516,1.3542,-1.6974
2020-04-14,-3.3901,1.4476,-1.9425
2020-04-13,-3.752,1.4287,-2.3233
2020-04-09,-4.1092,1.405,-2.7041
2020-04-08,-4.4604,1.1133,-3.3471
2020-04-07,-4.7388,0.8159,-3.9229
