date,MFI
2021-01-19,46.9287
2021-01-15,51.8322
2021-01-14,54.4014
2021-01-13,53.1964
2021-01-12,47.1423
2021-01-11,47.5658
2021-01-08,57.0945
2021-01-07,48.4287
2021-01-06,49.9009
2021-01-05,46.4313
2021-01-04,56.773999999999994
2020-12-31,61.3318
2020-12-30,65.7998
2020-12-29,66.4071
2020-12-28,67.3722
2020-12-24,67.9838
2020-12-23,71.0854
2020-12-22,71.6038
2020-12-21,76.8127
2020-12-18,74.5914
2020-12-17,63.8146
2020-12-16,68.5619
2020-12-15,59.4095
2020-12-14,59.7255
2020-12-11,50.8733
2020-12-10,57.4817
2020-12-09,58.3065
2020-12-08,51.747
2020-12-07,47.4472
2020-12-04,49.7995
2020-12-03,48.7363
2020-12-02,42.2307
2020-12-01,35.8155
2020-11-30,36.078
2020-11-27,49.5861
2020-11-25,48.4146
2020-11-24,53.5169
2020-11-23,53.6865
2020-11-20,59.9951
2020-11-19,52.9686
2020-11-18,46.7302
2020-11-17,52.4291
2020-11-16,52.5742
2020-11-13,42.89
2020-11-12,37.3876
2020-11-11,37.9871
2020-11-10,43.0621
2020-11-09,44.0848
2020-11-06,32.6968
2020-11-05,32.7596
2020-11-04,26.0959
2020-11-03,18.8801
2020-11-02,21.6192
2020-10-30,22.4737
2020-10-29,23.6871
2020-10-28,19.6877
2020-10-27,27.1666
2020-10-26,34.7986
2020-10-23,43.4578
2020-10-22,49.9824
2020-10-21,41.6496
2020-10-20,52.6713
2020-10-19,61.8283
2020-10-16,59.9336
2020-10-15,67.5721
2020-10-14,75.1729
2020-10-13,75.0091
2020-10-12,80.2207
2020-10-09,83.3952
2020-10-08,76.3495
2020-10-07,76.9568
2020-10-06,72.6025
2020-10-05,66.6628
2020-10-02,68.0661
2020-10-01,74.6747
2020-09-30,66.5699
2020-09-29,58.2814
2020-09-28,58.1267
2020-09-25,51.376999999999995
2020-09-24,43.9176
2020-09-23,44.4702
2020-09-22,45.3038
2020-09-21,40.9657
2020-09-18,42.0278
2020-09-17,40.7689
2020-09-16,44.9302
2020-09-15,45.3465
2020-09-14,44.6987
2020-09-11,44.247
2020-09-10,43.6733
2020-09-09,51.446999999999996
2020-09-08,53.1817
2020-09-04,59.6731
2020-09-03,68.3157
2020-09-02,61.2803
2020-09-01,52.5168
2020-08-31,52.8261
2020-08-28,59.5406
2020-08-27,60.4652
2020-08-26,52.042
2020-08-25,48.9534
2020-08-24,48.2514
2020-08-21,47.6447
2020-08-20,50.1214
2020-08-19,43.8297
2020-08-18,50.0004
2020-08-17,50.3152
2020-08-14,41.0274
2020-08-13,39.9105
2020-08-12,41.1864
2020-08-11,41.1519
2020-08-10,39.4076
2020-08-07,37.2157
2020-08-06,40.0618
2020-08-05,44.0723
2020-08-04,42.7502
2020-08-03,44.6081
2020-07-31,50.7554
2020-07-30,57.06399999999999
2020-07-29,55.5457
2020-07-28,48.691
2020-07-27,52.9767
2020-07-24,54.8877
2020-07-23,62.92
2020-07-22,69.5174
2020-07-21,62.8269
2020-07-20,64.3473
2020-07-17,72.4054
2020-07-16,71.2411
2020-07-15,65.3093
2020-07-14,56.301
2020-07-13,56.2154
2020-07-10,50.0507
2020-07-09,43.4861
2020-07-08,43.6368
2020-07-07,42.5265
2020-07-06,49.0655
2020-07-02,39.9907
2020-07-01,40.2141
2020-06-30,38.6937
2020-06-29,29.6549
2020-06-26,18.4065
2020-06-25,28.2832
2020-06-24,36.5293
2020-06-23,31.5573
2020-06-22,40.122
2020-06-19,49.1915
2020-06-18,59.0551
2020-06-17,58.1486
2020-06-16,56.3632
2020-06-15,57.2337
2020-06-12,61.9675
2020-06-11,62.1581
2020-06-10,66.1986
2020-06-09,71.3636
2020-06-08,71.9674
2020-06-05,71.6441
2020-06-04,71.5706
2020-06-03,78.4761
2020-06-02,68.6998
2020-06-01,66.7172
2020-05-29,62.3481
2020-05-28,67.9624
2020-05-27,76.5115
2020-05-26,68.4779
2020-05-22,68.1356
2020-05-21,71.3591
2020-05-20,60.6244
2020-05-19,52.4772
2020-05-18,59.6053
2020-05-15,60.4578
2020-05-14,62.3131
2020-05-13,67.1405
2020-05-12,75.1154
2020-05-11,75.4847
2020-05-08,71.3048
2020-05-07,66.7707
2020-05-06,67.334
2020-05-05,72.2979
2020-05-04,66.5102
2020-05-01,64.7221
2020-04-30,67.6211
2020-04-29,77.0324
2020-04-28,77.5805
2020-04-27,78.4383
2020-04-24,78.6243
2020-04-23,71.2441
2020-04-22,63.6727
2020-04-21,57.9556
2020-04-20,62.4452
2020-04-17,63.2888
2020-04-16,57.3191
2020-04-15,59.4509
2020-04-14,68.2541
2020-04-13,68.868
2020-04-09,75.0911
2020-04-08,74.0985
2020-04-07,73.7435
2020-04-06,66.3932
2020-04-03,57.9236
2020-04-02,58.4146
2020-04-01,65.1174
2020-03-31,64.5696
2020-03-30,58.6301
2020-03-27,62.4216
2020-03-26,60.836000000000006
2020-03-25,53.6166
2020-03-24,42.5135
2020-03-23,36.0933
2020-03-20,28.3386
2020-03-19,27.5221
2020-03-18,17.9447
2020-03-17,17.9327
2020-03-16,18.0144
2020-03-13,18.2109
2020-03-12,10.9109
2020-03-11,11.2333
2020-03-10,15.1811
2020-03-09,10.0796
2020-03-06,10.617
2020-03-05,15.1705
2020-03-04,22.8367
2020-03-03,28.1172
2020-03-02,35.0925
2020-02-28,40.6805
2020-02-27,51.9098
2020-02-26,60.2493
2020-02-25,69.5416
2020-02-24,78.1866
2020-02-21,79.0656
2020-02-20,77.6597
2020-02-19,73.6437
2020-02-18,71.3709
2020-02-14,69.6356
2020-02-13,65.1835
2020-02-12,58.0744
2020-02-11,53.3504
2020-02-10,53.1643
