date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,36.03,36.8,35.8,36.16,120731.0
2020-04-17,36.17,36.4,35.994,36.4,178806.0
2020-04-16,35.53,35.65,34.91,35.4,126206.0
2020-04-15,35.4,35.491,35.0002,35.19,153994.0
2020-04-14,35.87,36.475,35.8494,36.3,187745.0
2020-04-13,35.42,35.7378,34.8047,35.19,104166.0
2020-04-09,35.25,35.91,35.195,35.51,98723.0
2020-04-08,34.37,35.09,34.249,35.0,114343.0
2020-04-07,35.17,35.49,34.17,34.17,171967.0
2020-04-06,32.9,34.17,32.85,34.17,153447.0
2020-04-03,32.01,32.385,31.3338,31.52,88386.0
2020-04-02,31.82,32.579,31.76,32.33,60658.0
2020-04-01,32.27,32.4999,31.65,31.89,125155.0
2020-03-31,33.56,34.025,33.252,33.59,143698.0
2020-03-30,33.14,33.87,32.82,33.86,137827.0
2020-03-27,32.99,33.71,32.736,33.09,252148.0
2020-03-26,32.78,34.22,32.5601,34.15,139676.0
2020-03-25,32.44,33.4399,31.55,32.42,274985.0
2020-03-24,30.88,31.99,30.88,31.87,222524.0
2020-03-23,29.11,29.49,28.43,28.96,276340.0
2020-03-20,29.83,30.98,29.19,29.36,290773.0
2020-03-19,28.9,30.1815,28.51,29.8,282842.0
2020-03-18,29.25,30.0,28.27,29.27,460620.0
2020-03-17,30.06,31.41,29.676,31.21,248774.0
2020-03-16,29.23,30.8768,28.35,29.07,409904.0
2020-03-13,32.6,32.95,30.9,32.72,286855.0
2020-03-12,31.81,32.28,30.6001,30.68,427965.0
2020-03-11,35.36,35.58,34.1,34.38,209067.0
2020-03-10,36.05,36.35,34.93,36.3,306851.0
2020-03-09,35.08,35.91,34.66,34.81,394144.0
2020-03-06,37.54,38.0289,37.135,37.75,165580.0
2020-03-05,38.62,38.9854,38.1844,38.39,129366.0
2020-03-04,39.12,39.75,38.9,39.72,138367.0
2020-03-03,39.59,40.19,38.4955,38.76,206102.0
2020-03-02,38.7,39.49,38.09,39.4,144339.0
2020-02-28,37.65,38.63,37.3842,38.42,352859.0
2020-02-27,39.12,39.7,38.5,38.5,399078.0
2020-02-26,40.19,40.69,39.8734,39.92,377666.0
2020-02-25,41.1,41.22,39.7179,39.8,706143.0
2020-02-24,41.0,41.14,40.58,40.7,472293.0
2020-02-21,42.83,42.85,42.47,42.66,156513.0
2020-02-20,43.12,43.4,42.75,43.28,170930.0
2020-02-19,43.1,43.4,43.1,43.37,125516.0
2020-02-18,43.18,43.239,42.84,43.1,193921.0
2020-02-14,43.75,43.75,43.51,43.64,196418.0
2020-02-13,43.61,43.9,43.45,43.77,138574.0
2020-02-12,43.68,44.0,43.53,44.0,125689.0
2020-02-11,43.19,43.63,43.13,43.44,146676.0
2020-02-10,42.51,42.88,42.49,42.86,94899.0
2020-02-07,42.87,42.9061,42.46,42.46,133025.0
2020-02-06,43.31,43.45,43.19,43.36,119604.0
2020-02-05,43.17,44.69,42.88,43.17,143771.0
2020-02-04,42.26,42.78,42.26,42.72,144069.0
2020-02-03,41.4,41.83,41.26,41.69,139546.0
2020-01-31,41.92,41.92,41.14,41.26,210958.0
2020-01-30,42.03,42.2674,41.74,42.24,171501.0
2020-01-29,42.84,42.99,42.49,42.49,112766.0
2020-01-28,42.44,42.825,42.35,42.72,125829.0
2020-01-27,42.39,42.57,42.08,42.29,169616.0
2020-01-24,43.94,44.0619,43.33,43.46,154641.0
2020-01-23,43.63,43.8,43.35,43.8,88682.0
2020-01-22,43.57,43.71,43.4473,43.51,165863.0
2020-01-21,43.53,43.59,43.34,43.44,144056.0
2020-01-17,43.64,43.73,43.58,43.73,198766.0
2020-01-16,43.09,43.58,43.052,43.58,141154.0
2020-01-15,43.17,43.2956,42.98,43.05,184793.0
2020-01-14,43.17,43.49,43.07,43.37,124752.0
2020-01-13,42.88,43.35,42.87,43.35,137849.0
2020-01-10,42.98,43.118,42.77,42.87,202580.0
2020-01-09,42.62,42.76,42.53,42.73,183328.0
2020-01-08,42.08,42.5575,42.0,42.45,134776.0
2020-01-07,42.04,42.27,41.9335,42.21,218671.0
2020-01-06,41.86,42.17,41.76,42.17,137341.0
2020-01-03,42.04,42.295,41.9929,42.1,123463.0
2020-01-02,42.37,42.61,42.255,42.61,199674.0
2019-12-31,41.85,42.1,41.71,42.0,78793.0
2019-12-30,42.2,42.202,41.85,41.85,146469.0
2019-12-27,42.41,42.45,42.28,42.31,73358.0
2019-12-26,42.19,42.37,42.19,42.37,65511.0
2019-12-24,42.24,42.2965,42.14,42.24,39341.0
2019-12-23,42.29,42.41,42.1523,42.41,121793.0
2019-12-20,42.29,42.3054,42.132,42.14,116473.0
2019-12-19,42.25,42.3,42.1253,42.3,80150.0
2019-12-18,42.21,42.2899,42.11,42.27,67264.0
2019-12-17,42.38,42.55,42.3184,42.41,124174.0
2019-12-16,42.49,42.75,42.48,42.59,192438.0
2019-12-13,42.19,42.57,42.1,42.27,211795.0
2019-12-12,41.5,42.19,41.4889,42.19,197647.0
2019-12-11,41.24,41.55,41.21,41.55,86671.0
2019-12-10,41.1,41.39,41.01,41.21,128032.0
2019-12-09,41.37,41.45,41.19,41.19,98415.0
2019-12-06,41.27,41.535,41.27,41.51,98899.0
2019-12-05,41.0,41.22,40.85,40.96,58703.0
2019-12-04,40.83,41.0699,40.83,40.97,93455.0
2019-12-03,40.43,40.61,40.141,40.61,134527.0
2019-12-02,41.19,41.28,40.71,40.74,188821.0
2019-11-29,41.29,41.32,41.14,41.18,41772.0
2019-11-27,41.42,41.55,41.35,41.55,73800.0
2019-11-26,41.42,41.42,41.3,41.39,63181.0
2019-11-25,40.9,41.35,40.82,41.35,138746.0
