date,MACD,MACD_Hist,MACD_Signal
2021-01-29,1.7348,-0.3955,2.1303
2021-01-28,2.0288,-0.2004,2.2292
2021-01-27,2.1923,-0.087,2.2793
2021-01-26,2.3264,0.0254,2.301
2021-01-25,2.3832,0.0885,2.2947
2021-01-22,2.3915,0.119,2.2725
2021-01-21,2.4061,0.1633,2.2428
2021-01-20,2.3723,0.1703,2.202
2021-01-19,2.3294,0.17,2.1594
2021-01-15,2.3201,0.2032,2.1169
2021-01-14,2.3905,0.3244,2.0661
2021-01-13,2.2706,0.2856,1.985
2021-01-12,2.227,0.3134,1.9136
2021-01-11,2.1471,0.3118,1.8353
2021-01-08,2.0241,0.2668,1.7573
2021-01-07,1.8488,0.1582,1.6906
2021-01-06,1.6492,-0.0019,1.6511
2021-01-05,1.5933,-0.0582,1.6516
2021-01-04,1.561,-0.1052,1.6661
2020-12-31,1.6201,-0.0723,1.6924
2020-12-30,1.663,-0.0475,1.7105
2020-12-29,1.6812,-0.0411,1.7224
2020-12-28,1.7259,-0.0068,1.7326
2020-12-24,1.7466,0.0123,1.7343
2020-12-23,1.7617,0.0305,1.7313
2020-12-22,1.7453,0.0217,1.7236
2020-12-21,1.7426,0.0244,1.7182
2020-12-18,1.7617,0.0495,1.7121
2020-12-17,1.7308,0.0311,1.6997
2020-12-16,1.6968,0.0048,1.692
2020-12-15,1.6967,0.006,1.6908
2020-12-14,1.674,-0.0152,1.6893
2020-12-11,1.7122,0.0191,1.6931
2020-12-10,1.7766,0.0882,1.6883
2020-12-09,1.8014,0.1352,1.6663
2020-12-08,1.8171,0.1846,1.6325
2020-12-07,1.7904,0.2041,1.5863
2020-12-04,1.781,0.2458,1.5353
2020-12-03,1.6985,0.2246,1.4738
2020-12-02,1.667,0.2493,1.4177
2020-12-01,1.6097,0.2543,1.3554
2020-11-30,1.5232,0.2315,1.2918
2020-11-27,1.4944,0.2605,1.2339
2020-11-25,1.4024,0.2336,1.1688
2020-11-24,1.3498,0.2395,1.1104
2020-11-23,1.2591,0.2086,1.0505
2020-11-20,1.2134,0.215,0.9984
2020-11-19,1.1658,0.2212,0.9446
2020-11-18,1.1237,0.2344,0.8893
2020-11-17,1.1156,0.2849,0.8307
2020-11-16,1.0555,0.296,0.7595
2020-11-13,0.9503,0.2648,0.6855
2020-11-12,0.8844,0.2651,0.6193
2020-11-11,0.8637,0.3107,0.553
2020-11-10,0.7505,0.2751,0.4753
2020-11-09,0.6642,0.2576,0.4066
2020-11-06,0.4844,0.1423,0.3422
2020-11-05,0.3547,0.0481,0.3066
2020-11-04,0.1829,-0.1117,0.2946
2020-11-03,0.095,-0.2274,0.3225
2020-11-02,0.0405,-0.3388,0.3793
2020-10-30,0.1055,-0.3586,0.464
2020-10-29,0.2387,-0.315,0.5537
2020-10-28,0.3422,-0.2902,0.6324
2020-10-27,0.5396,-0.1654,0.705
2020-10-26,0.6474,-0.099,0.7463
2020-10-23,0.7756,0.0045,0.7711
2020-10-22,0.7978,0.0279,0.77
2020-10-21,0.8177,0.0547,0.763
2020-10-20,0.8546,0.1053,0.7493
2020-10-19,0.8729,0.1499,0.723
2020-10-16,0.8958,0.2103,0.6855
2020-10-15,0.8815,0.2486,0.6329
2020-10-14,0.8627,0.2919,0.5708
2020-10-13,0.818,0.3201,0.4978
2020-10-12,0.7479,0.3301,0.4178
2020-10-09,0.6274,0.2921,0.3353
2020-10-08,0.5009,0.2387,0.2622
2020-10-07,0.3983,0.1958,0.2025
2020-10-06,0.2961,0.1425,0.1536
2020-10-05,0.2538,0.1358,0.118
2020-10-02,0.1687,0.0847,0.084
2020-10-01,0.1349,0.072,0.0629
2020-09-30,0.0439,-0.0009,0.0449
2020-09-29,-0.0148,-0.0599,0.0451
2020-09-28,-0.0763,-0.1364,0.06
2020-09-25,-0.1253,-0.2195,0.0941
2020-09-24,-0.0966,-0.2456,0.149
2020-09-23,0.0004,-0.21,0.2104
2020-09-22,0.112,-0.1509,0.2629
2020-09-21,0.1959,-0.1048,0.3007
2020-09-18,0.2971,-0.0298,0.3269
2020-09-17,0.301,-0.0333,0.3343
2020-09-16,0.2996,-0.043,0.3426
2020-09-15,0.2701,-0.0833,0.3534
2020-09-14,0.2132,-0.161,0.3742
2020-09-11,0.1904,-0.2241,0.4144
2020-09-10,0.2347,-0.2358,0.4705
2020-09-09,0.3173,-0.2121,0.5294
2020-09-08,0.3693,-0.2131,0.5824
2020-09-04,0.5208,-0.1149,0.6357
2020-09-03,0.6365,-0.028,0.6644
2020-09-02,0.7311,0.0597,0.6714
2020-09-01,0.6432,-0.0133,0.6565
2020-08-31,0.611,-0.0488,0.6598
2020-08-28,0.6118,-0.0602,0.672
2020-08-27,0.5989,-0.0882,0.6871
2020-08-26,0.6286,-0.0805,0.7091
2020-08-25,0.6075,-0.1217,0.7292
2020-08-24,0.6185,-0.1411,0.7597
2020-08-21,0.6541,-0.1408,0.7949
2020-08-20,0.7398,-0.0904,0.8301
2020-08-19,0.8241,-0.0286,0.8527
2020-08-18,0.8741,0.0142,0.8599
2020-08-17,0.8794,0.023,0.8564
2020-08-14,0.8622,0.0116,0.8506
2020-08-13,0.8806,0.0329,0.8477
2020-08-12,0.8678,0.0283,0.8395
2020-08-11,0.8298,-0.0026,0.8324
2020-08-10,0.8545,0.0215,0.8331
2020-08-07,0.8676,0.0399,0.8277
2020-08-06,0.8788,0.0611,0.8177
2020-08-05,0.8538,0.0514,0.8024
2020-08-04,0.8045,0.0149,0.7896
2020-08-03,0.7816,-0.0042,0.7859
2020-07-31,0.7512,-0.0357,0.7869
2020-07-30,0.8133,0.0175,0.7958
2020-07-29,0.8197,0.0283,0.7915
2020-07-28,0.7916,0.0072,0.7844
2020-07-27,0.8184,0.0358,0.7826
2020-07-24,0.799,0.0254,0.7736
2020-07-23,0.8612,0.0939,0.7673
2020-07-22,0.8621,0.1182,0.7438
2020-07-21,0.8333,0.119,0.7143
2020-07-20,0.7936,0.1091,0.6845
2020-07-17,0.7375,0.0803,0.6572
2020-07-16,0.6979,0.0608,0.6371
2020-07-15,0.6839,0.0619,0.6219
2020-07-14,0.6073,0.0008,0.6065
2020-07-13,0.5921,-0.0141,0.6062
2020-07-10,0.6292,0.0195,0.6098
2020-07-09,0.6217,0.0168,0.6049
2020-07-08,0.6162,0.0155,0.6007
2020-07-07,0.58,-0.0168,0.5968
2020-07-06,0.568,-0.0331,0.601
2020-07-02,0.4753,-0.134,0.6093
2020-07-01,0.475,-0.1678,0.6428
2020-06-30,0.484,-0.2007,0.6848
2020-06-29,0.4814,-0.2535,0.735
2020-06-26,0.5148,-0.2836,0.7983
2020-06-25,0.6088,-0.2605,0.8692
2020-06-24,0.6457,-0.2886,0.9344
2020-06-23,0.7516,-0.255,1.0065
2020-06-22,0.7772,-0.2931,1.0703
2020-06-19,0.8107,-0.3328,1.1435
2020-06-18,0.8906,-0.3362,1.2267
2020-06-17,0.9765,-0.3343,1.3108
2020-06-16,1.0404,-0.354,1.3943
2020-06-15,1.1139,-0.3689,1.4828
2020-06-12,1.2668,-0.3082,1.5751
2020-06-11,1.472,-0.1801,1.6521
2020-06-10,1.7582,0.0611,1.6971
2020-06-09,1.8185,0.1366,1.6819
2020-06-08,1.8568,0.209,1.6477
2020-06-05,1.8258,0.2303,1.5955
2020-06-04,1.7546,0.2167,1.5379
2020-06-03,1.7337,0.25,1.4837
2020-06-02,1.6341,0.2129,1.4212
2020-06-01,1.5675,0.1996,1.368
2020-05-29,1.5116,0.1935,1.3181
2020-05-28,1.4944,0.2247,1.2697
2020-05-27,1.4345,0.221,1.2135
2020-05-26,1.3433,0.185,1.1583
2020-05-22,1.2327,0.1207,1.112
2020-05-21,1.2088,0.127,1.0818
2020-05-20,1.1688,0.1187,1.0501
2020-05-19,1.0733,0.0529,1.0204
2020-05-18,1.0304,0.0232,1.0072
2020-05-15,0.9473,-0.054,1.0014
2020-05-14,1.0115,-0.0034,1.0149
2020-05-13,1.0959,0.0802,1.0157
2020-05-12,1.1614,0.1657,0.9957
2020-05-11,1.1853,0.2311,0.9543
2020-05-08,1.1164,0.2199,0.8965
2020-05-07,1.0232,0.1817,0.8415
2020-05-06,0.9678,0.1717,0.7961
2020-05-05,0.9601,0.2069,0.7532
2020-05-04,0.9536,0.2522,0.7014
2020-05-01,1.0006,0.3623,0.6384
2020-04-30,1.0379,0.4901,0.5478
2020-04-29,0.9515,0.5262,0.4253
2020-04-28,0.7308,0.4371,0.2937
2020-04-27,0.5828,0.3984,0.1844
2020-04-24,0.4363,0.3514,0.0848
2020-04-23,0.3679,0.3709,-0.003
2020-04-22,0.3138,0.4096,-0.0957
2020-04-21,0.2515,0.4496,-0.1981
2020-04-20,0.2505,0.5611,-0.3105
2020-04-17,0.1552,0.606,-0.4508
2020-04-16,0.0069,0.6093,-0.6023
2020-04-15,-0.0808,0.6738,-0.7546
2020-04-14,-0.1703,0.7528,-0.9231
2020-04-13,-0.3948,0.7165,-1.1113
2020-04-09,-0.5628,0.7276,-1.2904
2020-04-08,-0.8017,0.6707,-1.4723
2020-04-07,-1.043,0.597,-1.64
2020-04-06,-1.2515,0.5378,-1.7892
2020-04-03,-1.4994,0.4243,-1.9237
2020-04-02,-1.5247,0.505,-2.0297
2020-04-01,-1.6172,0.5388,-2.156
2020-03-31,-1.667,0.6237,-2.2907
2020-03-30,-1.8791,0.5676,-2.4466
2020-03-27,-2.1498,0.4387,-2.5885
2020-03-26,-2.3859,0.3123,-2.6982
2020-03-25,-2.7602,0.016,-2.7763
2020-03-24,-3.0221,-0.2418,-2.7803
2020-03-23,-3.2564,-0.5366,-2.7198
2020-03-20,-3.2125,-0.6268,-2.5857
2020-03-19,-3.1503,-0.7213,-2.429
2020-03-18,-3.0698,-0.8212,-2.2487
2020-03-17,-2.8686,-0.8253,-2.0434
2020-03-16,-2.7672,-0.9301,-1.837
2020-03-13,-2.38,-0.7755,-1.6045
2020-03-12,-2.2222,-0.8115,-1.4106
2020-03-11,-1.781,-0.5733,-1.2077
2020-03-10,-1.5681,-0.5037,-1.0644
2020-03-09,-1.4686,-0.5301,-0.9385
2020-03-06,-1.1688,-0.3628,-0.806
2020-03-05,-1.068,-0.3527,-0.7153
2020-03-04,-0.9887,-0.3616,-0.6271
2020-03-03,-1.0084,-0.4717,-0.5367
2020-03-02,-0.9212,-0.5024,-0.4188
2020-02-28,-0.8616,-0.5684,-0.2932
2020-02-27,-0.6734,-0.5223,-0.1511
2020-02-26,-0.4315,-0.411,-0.0205
2020-02-25,-0.2608,-0.3431,0.0823
2020-02-24,-0.027,-0.195,0.168
2020-02-21,0.1804,-0.0364,0.2168
2020-02-20,0.2434,0.0175,0.2259
2020-02-19,0.2572,0.0357,0.2215
2020-02-18,0.2619,0.0493,0.2126
2020-02-14,0.2916,0.0913,0.2003
2020-02-13,0.2703,0.0929,0.1774
2020-02-12,0.226,0.0718,0.1542
2020-02-11,0.1429,0.0066,0.1363
2020-02-10,0.0916,-0.043,0.1346
2020-02-07,0.0837,-0.0617,0.1454
2020-02-06,0.113,-0.0478,0.1608
2020-02-05,0.0573,-0.1154,0.1727
2020-02-04,0.0048,-0.1968,0.2016
2020-02-03,-0.0166,-0.2674,0.2508
2020-01-31,0.0609,-0.2567,0.3176
2020-01-30,0.2028,-0.1791,0.3818
2020-01-29,0.2812,-0.1454,0.4266
2020-01-28,0.3519,-0.111,0.4629
2020-01-27,0.4136,-0.0771,0.4907
2020-01-24,0.53,0.0201,0.51
2020-01-23,0.5521,0.0471,0.5049
2020-01-22,0.5376,0.0444,0.4932
2020-01-21,0.5407,0.0587,0.4821
2020-01-17,0.544,0.0767,0.4674
2020-01-16,0.5109,0.0626,0.4482
2020-01-15,0.4763,0.0438,0.4326
2020-01-14,0.4792,0.0575,0.4216
2020-01-13,0.4433,0.0361,0.4072
2020-01-10,0.3931,-0.0051,0.3982
2020-01-09,0.3721,-0.0274,0.3995
2020-01-08,0.3541,-0.0522,0.4064
2020-01-07,0.3545,-0.0649,0.4194
2020-01-06,0.3742,-0.0615,0.4356
2020-01-03,0.3979,-0.0531,0.451
2020-01-02,0.4295,-0.0347,0.4643
2019-12-31,0.4118,-0.0611,0.473
2019-12-30,0.4452,-0.043,0.4882
2019-12-27,0.4966,-0.0024,0.499
2019-12-26,0.5082,0.0086,0.4996
2019-12-24,0.5096,0.0122,0.4974
2019-12-23,0.5171,0.0227,0.4944
2019-12-20,0.5178,0.0291,0.4887
2019-12-19,0.5384,0.057,0.4815
2019-12-18,0.5408,0.0735,0.4672
2019-12-17,0.5389,0.0901,0.4488
2019-12-16,0.5145,0.0882,0.4263
2019-12-13,0.4577,0.0534,0.4043
2019-12-12,0.4109,0.02,0.3909
2019-12-11,0.3533,-0.0326,0.3859
2019-12-10,0.3394,-0.0546,0.3941
2019-12-09,0.3512,-0.0565,0.4077
