date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,99.05,102.48,98.78299999999999,101.65,6825625.0
2021-02-01,96.99,99.62,96.92,98.58,7036766.0
2021-01-29,97.385,97.79,95.92,96.81,8203032.0
2021-01-28,98.935,100.53,98.1,98.15,8868207.0
2021-01-27,101.48,101.78,96.73,97.87,18139471.0
2021-01-26,103.4,105.21,103.24,104.69,7195251.0
2021-01-25,103.745,103.95,102.1694,103.45,5008991.0
2021-01-22,104.1587,104.47,103.062,103.91,5231584.0
2021-01-21,105.46,105.49,104.45,104.58,5732873.0
2021-01-20,102.41,105.85,102.2,105.46,5844257.0
2021-01-19,102.7969,103.6,101.34,102.54,6519615.0
2021-01-15,101.38,102.69,101.21,102.33,5523156.0
2021-01-14,103.8,104.19,101.7127,101.82,4528313.0
2021-01-13,102.32,103.38,101.49,102.89,4804483.0
2021-01-12,104.01,104.32,102.306,102.82,4296006.0
2021-01-11,105.1,105.64,104.27,104.6,4258027.0
2021-01-08,103.86,105.76,103.42,105.67,5869677.0
2021-01-07,104.49,104.64,102.95,103.35,5057016.0
2021-01-06,102.99,105.21,102.905,104.19,5017464.0
2021-01-05,102.92,104.26,102.8,103.44,5721905.0
2021-01-04,107.66,107.75,102.1401,103.1,8041533.0
2020-12-31,106.0,107.14,105.615,106.98,3566295.0
2020-12-30,105.99,106.62,105.7801,105.97,3654380.0
2020-12-29,104.8873,105.78,104.47,105.63,4780921.0
2020-12-28,102.92,104.38,102.31,104.34,5010116.0
2020-12-24,102.3,102.36,101.68,102.01,1949183.0
2020-12-23,102.29,102.685,101.965,102.06,3817267.0
2020-12-22,102.12,103.17,101.892,102.41,4305282.0
2020-12-21,101.22,103.15,100.02,102.94,7175930.0
2020-12-18,103.33,104.11,102.95,103.28,10214981.0
2020-12-17,103.55,104.04,102.61,103.21,4535689.0
2020-12-16,104.1,104.8,102.72,103.27,6409253.0
2020-12-15,104.24,104.8586,103.78,104.18,5196689.0
2020-12-14,103.83,104.71,103.25,103.32,5156155.0
2020-12-11,104.405,104.78,102.33,103.0,6262636.0
2020-12-10,103.5077,106.09,102.75,105.39,12939175.0
2020-12-09,101.94,102.21,100.1,100.4,6629890.0
2020-12-08,100.37,101.57,100.01,101.21,3911250.0
