date,MACD_Signal,MACD,MACD_Hist
2021-01-19,1.1322,0.5819,-0.5503
2021-01-15,1.2698,0.6951,-0.5747
2021-01-14,1.4135,0.8509,-0.5626
2021-01-13,1.5541,1.0892,-0.4649
2021-01-12,1.6703,1.2686,-0.4017
2021-01-11,1.7708,1.4863,-0.2844
2021-01-08,1.8419,1.5613,-0.2805
2021-01-07,1.912,1.5254,-0.3866
2021-01-06,2.0087,1.6936,-0.3151
2021-01-05,2.0874,1.7981,-0.2894
2021-01-04,2.1598,1.9816,-0.1781
2020-12-31,2.2043,2.2217,0.0174
2020-12-30,2.2,2.1008,-0.0991
2020-12-29,2.2247,2.0188,-0.20600000000000002
2020-12-28,2.2762,1.9193,-0.3569
2020-12-24,2.3655,1.8958,-0.4697
2020-12-23,2.4829,2.0754,-0.4075
2020-12-22,2.5848,2.2694,-0.3154
2020-12-21,2.6636,2.4483,-0.2153
2020-12-18,2.7174,2.5872,-0.1302
2020-12-17,2.75,2.6921,-0.0578
2020-12-16,2.7644,2.7941,0.0296
2020-12-15,2.7569999999999997,2.8774,0.1204
2020-12-14,2.7269,2.8493,0.1224
2020-12-11,2.6963,2.8595,0.1632
2020-12-10,2.6555,2.8636,0.20800000000000002
2020-12-09,2.6035,2.5837,-0.0198
2020-12-08,2.6085,2.697,0.0885
2020-12-07,2.5863,2.7199,0.1336
2020-12-04,2.5529,2.6893,0.1363
2020-12-03,2.5189,2.5224,0.0036
2020-12-02,2.5180000000000002,2.4937,-0.0242
2020-12-01,2.524,2.543,0.019
2020-11-30,2.5193,2.5781,0.0588
2020-11-27,2.5046,2.6668,0.1623
2020-11-25,2.464,2.6761,0.2121
2020-11-24,2.411,2.6959,0.2849
2020-11-23,2.3397,2.6717,0.332
2020-11-20,2.2567,2.7466,0.4899
2020-11-19,2.1343,2.7889999999999997,0.6548
2020-11-18,1.9706,2.7262,0.7556
2020-11-17,1.7817,2.5911,0.8094
2020-11-16,1.5793,2.3107,0.7314
2020-11-13,1.3964,2.0027,0.6063
2020-11-12,1.2449,1.8065,0.5617
2020-11-11,1.1045,1.7365,0.6321
2020-11-10,0.9464,1.4681,0.5217
2020-11-09,0.816,1.2183,0.4023
2020-11-06,0.7154,0.7287,0.0132
2020-11-05,0.7121,0.6231,-0.0891
2020-11-04,0.7344,0.4823,-0.2521
2020-11-03,0.7974,0.3797,-0.4178
2020-11-02,0.9019,0.3851,-0.5168
2020-10-30,1.0311,0.6316,-0.3995
2020-10-29,1.131,0.8367,-0.2943
2020-10-28,1.2045,0.9505,-0.254
2020-10-27,1.2681,1.1965,-0.0716
2020-10-26,1.2859,1.2012,-0.0847
2020-10-23,1.3071,1.2293,-0.0778
2020-10-22,1.3266,1.1317,-0.1948
2020-10-21,1.3753,1.1367,-0.2386
2020-10-20,1.4349,1.2369,-0.198
2020-10-19,1.4844,1.3225,-0.162
2020-10-16,1.5249,1.5047,-0.0202
2020-10-15,1.53,1.6222,0.0922
2020-10-14,1.5069,1.7171,0.2102
2020-10-13,1.4544,1.7647,0.3103
2020-10-12,1.3768,1.7136,0.3368
2020-10-09,1.2926,1.5606,0.268
2020-10-08,1.2256,1.4207,0.1951
2020-10-07,1.1768,1.2701,0.0933
2020-10-06,1.1535,1.1688,0.0153
2020-10-05,1.1497,1.1685,0.0188
2020-10-02,1.145,1.0031,-0.1419
2020-10-01,1.1805,0.97,-0.2105
2020-09-30,1.2331,0.8963,-0.3368
2020-09-29,1.3173,0.8724,-0.4449
2020-09-28,1.4285,0.9427,-0.4858
2020-09-25,1.55,0.8899,-0.66
2020-09-24,1.715,0.9890000000000001,-0.7259
2020-09-23,1.8964,1.2289,-0.6676
2020-09-22,2.0633,1.5221,-0.5412
2020-09-21,2.1986,1.777,-0.4216
2020-09-18,2.3041,2.0826,-0.2215
2020-09-17,2.3594,2.3349,-0.0245
2020-09-16,2.3655,2.4406,0.075
2020-09-15,2.3468,2.3748,0.027999999999999997
2020-09-14,2.3398,2.3242,-0.0156
2020-09-11,2.3437,2.3353,-0.0084
2020-09-10,2.3458,2.4532,0.1074
2020-09-09,2.3189,2.6076,0.2887
2020-09-08,2.2467,2.6674,0.4206
2020-09-04,2.1416,2.7505,0.6089
2020-09-03,1.9894,2.7295,0.7401
2020-09-02,1.8043,2.6416,0.8373
2020-09-01,1.595,2.3016,0.7066
2020-08-31,1.4184,2.0672,0.6488
2020-08-28,1.2562,1.8980000000000001,0.6418
2020-08-27,1.0957,1.6007,0.505
2020-08-26,0.9695,1.3592,0.3897
2020-08-25,0.872,1.1324,0.2604
2020-08-24,0.8069,0.7951,-0.0118
2020-08-21,0.8099,0.7624,-0.0474
2020-08-20,0.8217,0.8728,0.051
2020-08-19,0.809,0.9857,0.1767
2020-08-18,0.7648,1.0739,0.3091
2020-08-17,0.6876,1.0331,0.3456
2020-08-14,0.6012,0.9701,0.3689
2020-08-13,0.5089,0.9342,0.4253
2020-08-12,0.4026,0.8091,0.4065
2020-08-11,0.301,0.6102,0.3092
2020-08-10,0.2237,0.39,0.1663
2020-08-07,0.1821,0.2452,0.063
2020-08-06,0.1664,0.22699999999999998,0.0606
2020-08-05,0.1512,0.2136,0.0624
2020-08-04,0.1356,0.2227,0.0871
2020-08-03,0.1138,0.2966,0.1828
2020-07-31,0.0681,0.3493,0.2812
2020-07-30,-0.0022,0.3077,0.3099
2020-07-29,-0.0797,0.239,0.3186
2020-07-28,-0.1593,0.0692,0.2285
2020-07-27,-0.2164,0.1316,0.3481
2020-07-24,-0.3034,0.026000000000000002,0.3295
2020-07-23,-0.3858,-0.0406,0.3452
2020-07-22,-0.4721,-0.0827,0.3894
2020-07-21,-0.5694,-0.3248,0.2446
2020-07-20,-0.6306,-0.4476,0.183
2020-07-17,-0.6763,-0.5495,0.1269
2020-07-16,-0.7081,-0.5909,0.1172
2020-07-15,-0.7374,-0.6583,0.0791
2020-07-14,-0.7571,-0.8577,-0.1006
2020-07-13,-0.732,-0.8095,-0.0776
2020-07-10,-0.7126,-0.7282,-0.0156
2020-07-09,-0.7087,-0.7791,-0.0704
2020-07-08,-0.6911,-0.7601,-0.0691
2020-07-07,-0.6738,-0.7823,-0.1085
2020-07-06,-0.6467,-0.8104,-0.1637
2020-07-02,-0.6058,-0.9543,-0.3485
2020-07-01,-0.5186,-0.9568,-0.4382
2020-06-30,-0.4091,-0.9713,-0.5622
2020-06-29,-0.2685,-0.9313,-0.6628
2020-06-26,-0.1028,-0.8557,-0.7529
2020-06-25,0.0854,-0.5542,-0.6396
2020-06-24,0.2453,-0.3911,-0.6363
2020-06-23,0.4044,-0.156,-0.5604
