date,MFI
2021-01-22,28.3421
2021-01-21,27.2658
2021-01-20,32.3809
2021-01-19,33.9495
2021-01-15,31.6893
2021-01-14,32.5493
2021-01-13,35.0762
2021-01-12,45.6004
2021-01-11,54.6308
2021-01-08,60.2281
2021-01-07,58.1849
2021-01-06,54.166000000000004
2021-01-05,60.7641
2021-01-04,61.2224
2020-12-31,54.9918
2020-12-30,64.2533
2020-12-29,65.0428
2020-12-28,71.4482
2020-12-24,75.635
2020-12-23,74.3584
2020-12-22,69.5802
2020-12-21,62.4885
2020-12-18,45.536
2020-12-17,49.1389
2020-12-16,48.7731
2020-12-15,54.7899
2020-12-14,43.9042
2020-12-11,53.4449
2020-12-10,52.2652
2020-12-09,53.5689
2020-12-08,58.3667
2020-12-07,62.4034
2020-12-04,69.0399
2020-12-03,72.8183
2020-12-02,73.3706
2020-12-01,73.1838
2020-11-30,73.9242
2020-11-27,73.0613
2020-11-25,73.3059
2020-11-24,73.021
2020-11-23,82.9819
2020-11-20,81.8813
2020-11-19,87.3478
2020-11-18,80.5022
2020-11-17,73.79899999999998
2020-11-16,63.541000000000004
2020-11-13,50.9191
2020-11-12,39.9919
2020-11-11,38.0022
2020-11-10,54.0843
2020-11-09,54.3782
2020-11-06,48.8165
2020-11-05,43.5487
2020-11-04,38.9821
2020-11-03,40.5991
2020-11-02,35.5195
2020-10-30,30.2625
2020-10-29,35.4234
2020-10-28,35.6515
2020-10-27,41.6274
2020-10-26,51.4854
2020-10-23,60.1343
2020-10-22,67.3501
2020-10-21,52.0728
2020-10-20,57.5496
2020-10-19,55.8235
2020-10-16,63.3316
2020-10-15,68.5802
2020-10-14,67.4155
2020-10-13,66.5151
2020-10-12,66.8448
2020-10-09,67.4143
2020-10-08,64.2117
2020-10-07,64.4447
2020-10-06,53.4958
2020-10-05,44.9379
2020-10-02,46.5384
2020-10-01,54.9493
2020-09-30,47.0498
2020-09-29,57.3779
2020-09-28,61.238
2020-09-25,64.3724
2020-09-24,58.6576
2020-09-23,68.1592
2020-09-22,77.8033
2020-09-21,75.3032
2020-09-18,80.1585
2020-09-17,78.4486
2020-09-16,82.1232
2020-09-15,85.6953
