date,1. open,2. high,3. low,4. close,5. volume
2021-01-19,232.45,234.5,226.05,231.64,2515838.0
2021-01-15,230.88,233.48,222.08,226.05,2346791.0
2021-01-14,230.88,237.27,227.647,229.66,3890519.0
2021-01-13,223.61,229.98,220.88,226.78,5065769.0
2021-01-12,214.38,218.57,212.4,218.48,4855409.0
2021-01-11,209.0,213.35,206.89,209.06,2553898.0
2021-01-08,205.94,213.6,202.43,210.16,4604433.0
2021-01-07,198.02,205.34,197.89,203.94,3392005.0
2021-01-06,201.58,204.12,193.91,194.37,3224764.0
2021-01-05,198.1,204.09,195.09,202.93,3297520.0
2021-01-04,200.75,203.11,191.87,196.06,4332655.0
2020-12-31,196.74,199.12,194.5286,199.05,3775330.0
2020-12-30,190.0,197.5933,186.6796,196.75,2526256.0
2020-12-29,185.09,190.87,183.31,188.35,3111946.0
2020-12-28,193.25,194.5,178.8,180.28,5813487.0
2020-12-24,194.54,197.3,191.8,193.18,1132200.0
2020-12-23,199.74,200.335,194.36,195.07,1878640.0
2020-12-22,198.5,202.4123,196.5125,200.65,2245840.0
2020-12-21,197.0,201.5,192.85,196.9,3157735.0
2020-12-18,198.96,200.85,196.6,200.35,2633185.0
2020-12-17,195.46,198.445,194.03,198.05,2842472.0
2020-12-16,189.67,196.44,188.375,192.99,3706806.0
2020-12-15,191.5,191.7499,186.0,188.09,3005247.0
2020-12-14,195.0,195.68,189.06,190.26,2889620.0
2020-12-11,194.3,195.9,190.25,193.38,6945671.0
2020-12-10,194.92,201.7,194.04,198.95,3969018.0
2020-12-09,208.55,212.33,200.4,202.68,3627568.0
2020-12-08,199.0,207.515,197.6,205.87,5915515.0
2020-12-07,200.0,200.0,195.4,198.57,2951569.0
2020-12-04,190.97,203.4225,186.1,198.78,11898786.0
2020-12-03,185.06,192.36,182.5803,183.53,5083966.0
2020-12-02,174.99,184.93,174.5,183.88,4206607.0
2020-12-01,183.1,183.5,176.59,177.38,2295484.0
2020-11-30,183.0,183.8,173.91,180.37,2289641.0
2020-11-27,180.5,182.75,178.22,182.55,1895778.0
2020-11-25,176.35,178.72,173.7,177.7,2155827.0
2020-11-24,179.23,181.25,174.3019,176.92,3294272.0
2020-11-23,183.0,185.0,178.1528,182.92,3122376.0
