date,MFI
2017-11-09,18.6916
2017-11-10,26.1336
2017-11-13,30.0723
2017-11-14,42.884
2017-11-15,45.8416
2017-11-16,56.557
2017-11-17,56.9266
2017-11-20,54.0972
2017-11-21,43.6021
2017-11-22,36.725
2017-11-24,33.3935
2017-11-27,29.9526
2017-11-28,21.4452
2017-11-29,19.533
2017-11-30,26.4087
2017-12-01,27.982
2017-12-04,27.7406
2017-12-05,29.4027
2017-12-06,28.5218
2017-12-07,30.5677
2017-12-08,29.3908
2017-12-11,30.0753
2017-12-12,30.6012
2017-12-13,34.8196
2017-12-14,36.5881
2017-12-15,39.0048
2017-12-18,51.4049
2017-12-19,58.4934
2017-12-20,55.0658
2017-12-21,52.9796
2017-12-22,59.8229
2017-12-26,52.7973
2017-12-27,61.3815
2017-12-28,57.5547
2017-12-29,51.3818
2018-01-02,42.4324
2018-01-03,50.7355
2018-01-04,49.5736
2018-01-05,58.1667
2018-01-08,71.2718
2018-01-09,59.9573
2018-01-10,58.6319
2018-01-11,59.6397
2018-01-12,50.752
2018-01-16,40.3777
2018-01-17,39.0585
2018-01-18,34.6201
2018-01-19,29.7848
2018-01-22,36.5849
2018-01-23,48.1692
2018-01-24,41.2995
2018-01-25,40.1196
2018-01-26,43.4266
2018-01-29,36.2306
2018-01-30,36.7552
2018-01-31,41.998
2018-02-01,36.9701
2018-02-02,37.8066
2018-02-05,41.0976
2018-02-06,41.4961
2018-02-07,42.7677
2018-02-08,43.0212
2018-02-09,40.8601
2018-02-12,33.1926
2018-02-13,43.4073
2018-02-14,52.0314
2018-02-15,51.1928
2018-02-16,59.3526
2018-02-20,58.8624
2018-02-21,59.0557
2018-02-22,61.0169
2018-02-23,65.6325
2018-02-26,71.3753
2018-02-27,69.9104
2018-02-28,49.7874
2018-03-01,43.0531
2018-03-02,38.8013
2018-03-05,34.3048
2018-03-06,32.4805
2018-03-07,32.1833
2018-03-08,28.3164
2018-03-09,23.8998
2018-03-12,28.4079
2018-03-13,23.1897
2018-03-14,21.3664
2018-03-15,24.2803
2018-03-16,26.2811
2018-03-19,26.0118
2018-03-20,33.3827
2018-03-21,47.7123
2018-03-22,48.0121
2018-03-23,47.089
2018-03-26,46.5774
2018-03-27,40.0889
2018-03-28,33.1691
2018-03-29,37.6218
2018-04-02,38.429
2018-04-03,36.9731
2018-04-04,40.8177
2018-04-05,40.1401
2018-04-06,31.1462
2018-04-09,37.0248
2018-04-10,39.3675
2018-04-11,28.3458
2018-04-12,29.1049
2018-04-13,29.7208
2018-04-16,30.4016
2018-04-17,40.531
2018-04-18,52.5715
2018-04-19,53.6362
2018-04-20,46.3301
2018-04-23,46.0044
2018-04-24,43.1801
2018-04-25,38.1996
2018-04-26,37.7457
2018-04-27,38.2348
2018-04-30,38.5327
2018-05-01,40.8549
2018-05-02,46.8879
2018-05-03,52.2061
2018-05-04,46.6238
2018-05-07,37.065
2018-05-08,25.7322
2018-05-09,15.7369
2018-05-10,21.6096
2018-05-11,22.7179
2018-05-14,24.8259
2018-05-15,32.4947
2018-05-16,61.4175
2018-05-17,65.658
2018-05-18,73.3675
2018-05-21,78.9574
2018-05-22,79.6352
2018-05-23,82.7542
2018-05-24,87.2164
2018-05-25,80.4342
2018-05-29,75.8919
2018-05-30,79.9665
2018-05-31,80.7084
2018-06-01,84.7659
2018-06-04,80.3118
2018-06-05,82.678
2018-06-06,81.3144
2018-06-07,77.9425
2018-06-08,76.6593
2018-06-11,72.5901
2018-06-12,74.7911
2018-06-13,54.7284
2018-06-14,63.2131
2018-06-15,69.1986
2018-06-18,68.5086
2018-06-19,63.6101
2018-06-20,63.8354
2018-06-21,57.2308
2018-06-22,62.3685
2018-06-25,56.5612
2018-06-26,57.8076
2018-06-27,56.1065
2018-06-28,53.2936
2018-06-29,55.462
2018-07-02,50.738
2018-07-03,62.8539
2018-07-05,53.5293
2018-07-06,57.4204
2018-07-09,63.3659
2018-07-10,65.2398
2018-07-11,59.8635
2018-07-12,68.1096
2018-07-13,65.6622
2018-07-16,65.9635
2018-07-17,60.7283
2018-07-18,67.3388
2018-07-19,74.7378
2018-07-20,67.0252
2018-07-23,65.5719
2018-07-24,57.0385
2018-07-25,50.0657
2018-07-26,37.47
2018-07-27,29.941
2018-07-30,30.8565
2018-07-31,36.9633
2018-08-01,34.1233
2018-08-02,37.3771
2018-08-03,37.7076
2018-08-06,41.292
2018-08-07,37.5596
2018-08-08,28.4511
2018-08-09,31.5004
2018-08-10,33.413
2018-08-13,45.626
2018-08-14,45.8867
2018-08-15,41.3714
2018-08-16,51.2848
2018-08-17,56.5572
2018-08-20,55.5766
2018-08-21,54.4188
2018-08-22,38.92
2018-08-23,46.7293
2018-08-24,49.1141
2018-08-27,55.9822
2018-08-28,62.3327
2018-08-29,60.6043
2018-08-30,57.907
2018-08-31,53.984
2018-09-04,53.7163
2018-09-05,54.5754
2018-09-06,54.5702
2018-09-07,50.9904
2018-09-10,45.0751
2018-09-11,37.14
2018-09-12,48.6602
2018-09-13,52.2388
2018-09-14,46.2941
2018-09-17,39.8926
2018-09-18,32.1458
2018-09-19,32.7801
2018-09-20,40.9917
2018-09-21,48.4397
2018-09-24,49.4286
2018-09-25,56.2944
2018-09-26,51.5495
2018-09-27,51.5137
2018-09-28,52.3831
2018-10-01,61.7776
2018-10-02,53.018
2018-10-03,40.0589
2018-10-04,37.9804
2018-10-05,36.4306
2018-10-08,37.6477
2018-10-09,42.39
2018-10-10,32.8321
2018-10-11,18.4946
2018-10-12,24.5735
2018-10-15,26.3427
2018-10-16,33.7634
2018-10-17,39.0629
2018-10-18,37.7601
2018-10-19,28.2899
2018-10-22,28.7816
2018-10-23,28.5882
2018-10-24,30.7982
2018-10-25,32.3122
2018-10-26,33.1694
2018-10-29,28.5697
2018-10-30,37.4876
2018-10-31,51.665
2018-11-01,51.5142
2018-11-02,45.4741
2018-11-05,35.7467
2018-11-06,42.1902
2018-11-07,58.3401
2018-11-08,62.1545
2018-11-09,61.2163
2018-11-12,67.166
2018-11-13,65.301
2018-11-14,65.3318
2018-11-15,68.6755
2018-11-16,72.2618
2018-11-19,73.0039
2018-11-20,61.7074
2018-11-21,65.5985
2018-11-23,69.3737
2018-11-26,67.2074
2018-11-27,70.2811
2018-11-28,57.8293
2018-11-29,56.4209
2018-11-30,63.3394
2018-12-03,57.3863
2018-12-04,56.9611
2018-12-06,54.7024
2018-12-07,51.0938
2018-12-10,47.008
2018-12-11,44.7663
2018-12-12,51.4773
2018-12-13,44.3278
2018-12-14,41.3012
2018-12-17,43.4665
2018-12-18,30.7131
