date,1. open,2. high,3. low,4. close,5. volume
2020-09-22,40.41,40.77,40.06,40.58,373083.0
2020-09-23,40.75,40.99,39.675,39.68,559797.0
2020-09-24,39.49,40.01,39.27,39.75,492839.0
2020-09-25,39.64,40.3,39.46,40.28,319060.0
2020-09-28,40.78,41.28,40.78,41.12,345647.0
2020-09-29,41.07,41.07,40.32,40.63,263387.0
2020-09-30,40.88,41.3,40.61,40.73,431016.0
2020-10-01,40.94,41.21,40.74,40.92,373175.0
2020-10-02,40.29,41.32,40.29,41.21,271434.0
2020-10-05,41.5,42.0,41.49,41.91,243747.0
2020-10-06,42.16,42.27,41.48,41.75,420228.0
2020-10-07,42.11,42.49,42.0,42.36,347452.0
2020-10-08,42.56,42.89,42.22,42.31,448487.0
2020-10-09,42.49,42.77,42.19,42.34,389594.0
2020-10-12,42.45,42.73,42.4324,42.66,126331.0
2020-10-13,42.35,42.45,41.53,41.64,203888.0
2020-10-14,41.61,41.99,41.475,41.55,292516.0
2020-10-15,41.03,41.48,40.84,41.35,266064.0
2020-10-16,41.4,41.72,41.38,41.4,248237.0
2020-10-19,41.62,41.68,41.07,41.24,240772.0
2020-10-20,41.66,41.98,41.28,41.31,558779.0
2020-10-21,41.23,41.73,41.1,41.62,534615.0
2020-10-22,41.72,42.3,41.68,42.08,378021.0
2020-10-23,42.43,42.68,42.13,42.4,327588.0
2020-10-26,41.97,41.98,40.84,41.15,517166.0
2020-10-27,41.15,41.15,40.36,40.55,516848.0
2020-10-28,39.77,39.9,38.92,38.96,677396.0
2020-10-29,38.79,39.89,38.53,39.67,566955.0
2020-10-30,39.6,39.83,39.13,39.82,531832.0
2020-11-02,40.45,40.53,39.91,40.3,447477.0
2020-11-03,41.0,42.01,40.945,41.74,602899.0
2020-11-04,41.77,42.43,41.15,41.88,572087.0
2020-11-05,42.8,43.97,42.43,43.19,538618.0
2020-11-06,43.48,43.66,43.085,43.26,345402.0
2020-11-09,44.97,46.23,44.9,45.25,1081433.0
2020-11-10,45.45,46.05,45.14,45.63,613582.0
2020-11-11,45.9,46.22,45.53,45.72,540125.0
2020-11-12,45.38,45.62,44.505,44.87,511294.0
2020-11-13,45.04,45.21,44.25,44.45,648390.0
2020-11-16,45.06,45.38,44.69,45.34,491674.0
2020-11-17,45.18,45.56,44.99,45.15,590112.0
2020-11-18,45.08,45.59,44.7701,45.31,427991.0
2020-11-19,45.23,45.23,44.54,45.09,486459.0
2020-11-20,45.13,45.45,44.36,45.43,427625.0
2020-11-23,45.75,45.79,45.07,45.3,3242240.0
2020-11-24,45.11,46.02,44.79,45.81,3216200.0
2020-11-25,45.69,45.69,45.08,45.35,498255.0
2020-11-27,45.36,45.66,45.19,45.65,260747.0
2020-11-30,45.41,45.55,44.16,44.49,944228.0
2020-12-01,44.88,45.09,43.97,44.15,691317.0
2020-12-02,43.95,44.53,43.8,44.29,487650.0
2020-12-03,44.31,44.72,43.89,43.96,383983.0
2020-12-04,44.37,44.89,44.25,44.76,397899.0
2020-12-07,44.61,44.72,44.11,44.64,429826.0
2020-12-08,44.46,44.75,44.19,44.61,343057.0
2020-12-09,44.66,45.01,44.56,44.77,488908.0
2020-12-10,44.66,44.89,44.41,44.8,280150.0
2020-12-11,44.33,44.61,44.25,44.52,231257.0
2020-12-14,45.06,45.06,44.27,44.28,669146.0
2020-12-15,44.67,45.38,44.49,44.84,368982.0
2020-12-16,44.89,45.23,44.6,44.93,600578.0
2020-12-17,45.24,45.24,44.39,44.55,353583.0
2020-12-18,44.7,44.7,43.54,43.66,451438.0
2020-12-21,42.91,43.32,42.504,43.31,539879.0
2020-12-22,43.31,43.31,42.79,42.87,299209.0
2020-12-23,43.1,43.75,43.1,43.55,250142.0
2020-12-24,43.69,43.82,43.36,43.8,111974.0
2020-12-28,44.15,44.39,43.8,43.9,139506.0
2020-12-29,44.03,44.29,43.73,43.91,313675.0
2020-12-30,43.98,44.34,43.98,44.09,185961.0
2020-12-31,44.19,44.855,44.18,44.46,461101.0
2021-01-04,44.85,44.89,43.735,44.19,723051.0
2021-01-05,44.06,44.95,44.06,44.74,336369.0
2021-01-06,44.9,47.53,44.74,47.16,953308.0
2021-01-07,47.32,48.2,46.99,47.85,709145.0
2021-01-08,47.86,48.46,47.37,47.8,327251.0
2021-01-11,47.21,47.49,47.04,47.19,286148.0
2021-01-12,47.33,47.975,47.18,47.69,294893.0
2021-01-13,47.57,47.92,47.29,47.7,322044.0
2021-01-14,47.37,47.69,47.045,47.17,447921.0
2021-01-15,46.74,47.05,46.451,46.73,313824.0
2021-01-19,47.4,48.79,47.4,48.09,563368.0
2021-01-20,48.49,48.7394,48.07,48.71,345546.0
2021-01-21,48.86,49.05,48.29,48.45,310292.0
2021-01-22,48.06,48.16,47.63,47.73,309767.0
2021-01-25,47.59,47.59,47.04,47.43,462182.0
2021-01-26,47.55,47.77,47.1,47.37,332875.0
2021-01-27,46.53,46.67,45.92,46.07,824162.0
2021-01-28,46.4,47.12,45.95,46.68,561968.0
2021-01-29,46.86,47.03,45.84,46.26,653869.0
2021-02-01,46.64,46.94,46.25,46.72,357600.0
2021-02-02,47.27,48.0,47.14,47.76,371694.0
2021-02-03,47.72,47.72,47.21,47.49,331711.0
2021-02-04,47.44,47.95,47.33,47.57,726522.0
2021-02-05,48.0,48.0,47.42,47.72,311931.0
2021-02-08,47.88,48.05,47.6954,48.02,255421.0
