date,MACD_Signal,MACD_Hist,MACD
2021-02-02,0.0476,-0.0068,0.0408
2021-02-01,0.051,-0.1647,-0.1137
2021-01-29,0.7633,-0.2421,0.5213
2021-01-28,0.8239,-0.19,0.6339
2021-01-27,0.8714,-0.1458,0.7256
2021-01-26,0.9078,-0.0136,0.8942
2021-01-25,0.9112,0.0529,0.9641
2021-01-22,0.898,0.1352,1.0332
2021-01-21,0.8642,0.2116,1.0758
2021-01-20,0.8113,0.2299,1.0411
2021-01-19,0.7538,0.2015,0.9553
2021-01-15,0.7034,0.1916,0.8951
2021-01-14,0.6555,0.2881,0.9436
2021-01-13,0.5835,0.3635,0.947
2021-01-12,0.4926,0.3909,0.8835
2021-01-11,0.3949,0.3959,0.7908
2021-01-08,0.2959,0.4159,0.7118
2021-01-07,0.1919,0.3466,0.5385
2021-01-06,0.1053,0.1991,0.3044
2021-01-05,0.0555,0.0159,0.0714
2021-01-04,0.0515,-0.0321,0.0194
2020-12-31,0.0596,-0.0508,0.0088
2020-12-30,0.0723,-0.1047,-0.0324
2020-12-29,0.0984,-0.1453,-0.0468
2020-12-28,0.1347,-0.181,-0.0463
2020-12-24,0.18,-0.2239,-0.0439
2020-12-23,0.236,-0.2659,-0.03
2020-12-22,0.3024,-0.2888,0.0137
2020-12-21,0.3746,-0.2362,0.1384
2020-12-18,0.4337,-0.1829,0.2508
2020-12-17,0.4794,-0.1244,0.355
2020-12-16,0.5105,-0.1184,0.3922
2020-12-15,0.5401,-0.1449,0.3952
2020-12-14,0.5763,-0.1738,0.4025
2020-12-11,0.6198,-0.1568,0.463
2020-12-10,0.659,-0.1499,0.5091
2020-12-09,0.6965,-0.1645,0.532
2020-12-08,0.7376,-0.1811,0.5565
2020-12-07,0.7829,-0.1869,0.5959
2020-12-04,0.8296,-0.195,0.6346
2020-12-03,0.8783,-0.2158,0.6625
2020-12-02,0.9323,-0.1624,0.7699
2020-12-01,0.9729,-0.1107,0.8622
2020-11-30,1.0006,-0.0188,0.9818
2020-11-27,1.0053,0.0802,1.0855
2020-11-25,0.9852,0.0987,1.0839
2020-11-24,0.9605,0.1361,1.0967
2020-11-23,0.9265,0.1237,1.0502
2020-11-20,0.8956,0.1738,1.0694
2020-11-19,0.8522,0.2131,1.0653
2020-11-18,0.7989,0.2799,1.0788
2020-11-17,0.7289,0.3293,1.0582
2020-11-16,0.6466,0.3861,1.0327
2020-11-13,0.55,0.4158,0.9659
2020-11-12,0.4461,0.5102,0.9563
2020-11-11,0.3185,0.5694,0.8879
2020-11-10,0.1762,0.5257,0.7019
2020-11-09,0.0448,0.4185,0.4633
2020-11-06,-0.0599,0.2503,0.1904
2020-11-05,-0.1224,0.1625,0.0401
2020-11-04,-0.1631,0.0178,-0.1452
2020-11-03,-0.1675,-0.08,-0.2475
2020-11-02,-0.1475,-0.2129,-0.3604
2020-10-30,-0.0943,-0.2596,-0.3539
2020-10-29,-0.0294,-0.2627,-0.2921
2020-10-28,0.0363,-0.23,-0.1937
2020-10-27,0.0938,-0.0876,0.0062
2020-10-26,0.1157,-0.0148,0.101
2020-10-23,0.1194,0.0404,0.1598
2020-10-22,0.1093,-0.0027,0.1066
2020-10-21,0.11,-0.0407,0.0693
2020-10-20,0.1202,-0.0531,0.0671
2020-10-19,0.1334,-0.0388,0.0946
2020-10-16,0.1431,-0.0077,0.1355
2020-10-15,0.145,0.0244,0.1695
2020-10-14,0.1389,0.0765,0.2154
2020-10-13,0.1198,0.131,0.2508
2020-10-12,0.0871,0.1961,0.2832
2020-10-09,0.038,0.1795,0.2175
2020-10-08,-0.0069,0.1697,0.1628
2020-10-07,-0.0493,0.14300000000000002,0.0937
2020-10-06,-0.085,0.084,-0.001
2020-10-05,-0.106,0.0458,-0.0603
2020-10-02,-0.1175,-0.0337,-0.1512
2020-10-01,-0.109,-0.0854,-0.1944
2020-09-30,-0.0877,-0.1298,-0.2175
2020-09-29,-0.0552,-0.1694,-0.2247
2020-09-28,-0.0129,-0.2076,-0.2204
2020-09-25,0.039,-0.3003,-0.2612
2020-09-24,0.1141,-0.3389,-0.2248
2020-09-23,0.1988,-0.3203,-0.1215
2020-09-22,0.2789,-0.2597,0.0192
2020-09-21,0.3438,-0.2362,0.1076
2020-09-18,0.4029,-0.1608,0.2421
2020-09-17,0.4431,-0.1468,0.2963
2020-09-16,0.4798,-0.159,0.3207
2020-09-15,0.5195,-0.1682,0.3513
2020-09-14,0.5616,-0.2187,0.3429
2020-09-11,0.6162,-0.2639,0.3524
2020-09-10,0.6822,-0.2946,0.3876
2020-09-09,0.7559,-0.2715,0.4844
2020-09-08,0.8237,-0.3086,0.5151
2020-09-04,0.9009,-0.249,0.6518
2020-09-03,0.9632,-0.2139,0.7492
2020-09-02,1.0166,-0.157,0.8596
2020-09-01,1.0559,-0.1738,0.8821
2020-08-31,1.0993,-0.1288,0.9706
2020-08-28,1.1315,-0.0389,1.0926
2020-08-27,1.1412,-0.0057,1.1356
