date,MFI
2021-01-19,67.0847
2021-01-15,64.5135
2021-01-14,68.8468
2021-01-13,76.0909
2021-01-12,70.6132
2021-01-11,62.5547
2021-01-08,61.0384
2021-01-07,55.0084
2021-01-06,53.8001
2021-01-05,48.1484
2021-01-04,51.3265
2020-12-31,56.4001
2020-12-30,48.8425
2020-12-29,51.9471
2020-12-28,58.3371
2020-12-24,52.6217
2020-12-23,55.0335
2020-12-22,49.5389
2020-12-21,47.9296
2020-12-18,46.6302
2020-12-17,43.1204
2020-12-16,47.7427
2020-12-15,39.1343
2020-12-14,58.0014
2020-12-11,67.1078
2020-12-10,69.5316
2020-12-09,68.3816
2020-12-08,64.7406
2020-12-07,65.4425
2020-12-04,69.0065
2020-12-03,64.6096
2020-12-02,63.9614
2020-12-01,67.8354
2020-11-30,72.9535
2020-11-27,80.44
2020-11-25,80.5383
2020-11-24,84.3783
2020-11-23,80.2828
2020-11-20,73.4134
2020-11-19,73.3169
2020-11-18,79.532
2020-11-17,85.2136
2020-11-16,77.6378
2020-11-13,71.5564
2020-11-12,73.1382
2020-11-11,79.3048
2020-11-10,78.7394
2020-11-09,71.3936
2020-11-06,68.8569
2020-11-05,64.8555
2020-11-04,63.1972
2020-11-03,57.1867
2020-11-02,50.0768
2020-10-30,44.537
2020-10-29,40.6525
2020-10-28,31.4946
2020-10-27,41.6745
2020-10-26,50.1655
2020-10-23,59.8899
2020-10-22,59.1347
2020-10-21,52.3264
2020-10-20,62.5395
2020-10-19,61.3738
2020-10-16,61.1143
2020-10-15,61.9363
2020-10-14,68.2066
2020-10-13,65.6067
2020-10-12,61.1978
2020-10-09,62.9365
2020-10-08,61.9564
2020-10-07,53.7742
2020-10-06,46.8631
2020-10-05,38.4308
2020-10-02,40.5694
2020-10-01,46.0079
2020-09-30,44.8919
2020-09-29,37.4351
2020-09-28,42.9648
2020-09-25,36.3255
2020-09-24,29.349
2020-09-23,29.4636
2020-09-22,36.5768
2020-09-21,29.7609
2020-09-18,29.2837
2020-09-17,29.3275
2020-09-16,41.496
2020-09-15,41.492
2020-09-14,52.6762
2020-09-11,65.1661
2020-09-10,65.3753
2020-09-09,65.9024
2020-09-08,65.601
2020-09-04,66.5693
2020-09-03,68.3625
2020-09-02,69.2399
2020-09-01,66.0251
