date,MACD_Hist,MACD,MACD_Signal
2021-01-29,0.0479,0.1649,0.117
2021-01-28,-0.0232,0.0818,0.105
2021-01-27,-0.1087,0.0021,0.1108
2021-01-26,-0.1053,0.0326,0.138
2021-01-25,-0.1165,0.0478,0.1643
2021-01-22,-0.1169,0.0765,0.1934
2021-01-21,-0.1217,0.1009,0.2227
2021-01-20,-0.1724,0.0807,0.2531
2021-01-19,-0.2282,0.068,0.2962
2021-01-15,-0.2383,0.1149,0.3532
2021-01-14,-0.1958,0.217,0.4128
2021-01-13,-0.1951,0.2666,0.4617
2021-01-12,-0.1569,0.3536,0.5105
2021-01-11,-0.1187,0.431,0.5497
2021-01-08,-0.0039,0.5755,0.5794
2021-01-07,0.1405,0.7209,0.5804
2021-01-06,0.1726,0.7179,0.5453
2021-01-05,0.1934,0.6955,0.5021
2021-01-04,0.1693,0.6231,0.4538
2020-12-31,0.1428,0.5543,0.4114
2020-12-30,0.162,0.5377,0.3757
2020-12-29,0.1543,0.4895,0.3352
2020-12-28,0.1618,0.4585,0.2967
2020-12-24,0.152,0.4082,0.2562
2020-12-23,0.1676,0.3858,0.2182
2020-12-22,0.1917,0.368,0.1763
2020-12-21,0.2492,0.3776,0.1284
2020-12-18,0.2215,0.2876,0.0661
2020-12-17,0.2007,0.2113,0.0107
2020-12-16,0.131,0.0915,-0.0395
2020-12-15,0.0635,-0.0087,-0.0723
2020-12-14,0.0351,-0.0531,-0.0881
2020-12-11,0.0532,-0.0437,-0.0969
2020-12-10,0.0688,-0.0414,-0.1102
2020-12-09,0.0836,-0.0438,-0.1274
2020-12-08,0.1111,-0.0372,-0.1483
2020-12-07,0.0878,-0.0883,-0.1761
2020-12-04,0.0458,-0.1522,-0.198
2020-12-03,0.0126,-0.1969,-0.2095
2020-12-02,-0.0334,-0.246,-0.2126
2020-12-01,-0.0907,-0.295,-0.2042
2020-11-30,-0.1686,-0.3501,-0.1816
2020-11-27,-0.1487,-0.2881,-0.1394
2020-11-25,-0.1026,-0.2048,-0.1022
2020-11-24,-0.0871,-0.1637,-0.0766
2020-11-23,-0.0448,-0.0997,-0.0548
2020-11-20,-0.0034,-0.047,-0.0436
2020-11-19,0.0065,-0.0362,-0.0428
2020-11-18,0.0296,-0.0147,-0.0444
2020-11-17,0.0514,-0.0004,-0.0518
2020-11-16,0.0633,-0.0013,-0.0647
2020-11-13,0.0494,-0.0311,-0.0805
2020-11-12,0.0365,-0.0564,-0.0928
2020-11-11,0.0498,-0.0522,-0.102
2020-11-10,0.0713,-0.0431,-0.1144
2020-11-09,0.1106,-0.0216,-0.1322
2020-11-06,0.1589,-0.001,-0.1599
2020-11-05,0.0935,-0.1061,-0.1996
2020-11-04,0.0027,-0.2203,-0.223
2020-11-03,0.0002,-0.2234,-0.2237
2020-11-02,-0.0208,-0.2445,-0.2237
2020-10-30,-0.0463,-0.2648,-0.2185
2020-10-29,-0.0371,-0.2441,-0.207
2020-10-28,0.0121,-0.1856,-0.1977
2020-10-27,0.0854,-0.1154,-0.2007
2020-10-26,0.1013,-0.1208,-0.2221
2020-10-23,0.1337,-0.1137,-0.2474
2020-10-22,0.1442,-0.1366,-0.2808
2020-10-21,0.1509,-0.1659,-0.3169
2020-10-20,0.1201,-0.2345,-0.3546
2020-10-19,0.0935,-0.2911,-0.3846
2020-10-16,0.0936,-0.3144,-0.408
2020-10-15,0.1082,-0.3232,-0.4314
2020-10-14,0.1113,-0.3471,-0.4584
2020-10-13,0.1188,-0.3674,-0.4862
2020-10-12,0.133,-0.3829,-0.516
2020-10-09,0.0666,-0.4827,-0.5492
2020-10-08,-0.0452,-0.6111,-0.5659
2020-10-07,-0.0864,-0.6409,-0.5545
2020-10-06,-0.1275,-0.6605,-0.533
2020-10-05,-0.1381,-0.6392,-0.5011
2020-10-02,-0.2267,-0.6933,-0.4666
2020-10-01,-0.2925,-0.7024,-0.4099
2020-09-30,-0.363,-0.6998,-0.3367
2020-09-29,-0.3944,-0.6404,-0.246
2020-09-28,-0.4955,-0.6429,-0.1474
2020-09-25,-0.5643,-0.5878,-0.0235
2020-09-24,-0.5532,-0.4356,0.1175
2020-09-23,-0.5174,-0.2615,0.2558
2020-09-22,-0.381,0.0042,0.3852
2020-09-21,-0.3021,0.1783,0.4804
2020-09-18,-0.1825,0.3735,0.556
2020-09-17,-0.1778,0.4238,0.6016
2020-09-16,-0.1948,0.4512,0.646
2020-09-15,-0.215,0.4797,0.6947
2020-09-14,-0.2394,0.5091,0.7485
2020-09-11,-0.2753,0.5331,0.8084
2020-09-10,-0.2816,0.5956,0.8772
2020-09-09,-0.2767,0.6709,0.9476
2020-09-08,-0.2922,0.7246,1.0168
2020-09-04,-0.2634,0.8264,1.0898
2020-09-03,-0.2429,0.9128,1.1556
2020-09-02,-0.1741,1.0423,1.2164
2020-09-01,-0.1499,1.11,1.2599
2020-08-31,-0.1771,1.1202,1.2973
2020-08-28,-0.2339,1.1077,1.3416
2020-08-27,-0.2612,1.1389,1.4001
2020-08-26,-0.2576,1.2079,1.4654
2020-08-25,-0.2932,1.2366,1.5298
2020-08-24,-0.2654,1.3377,1.6031
2020-08-21,-0.2058,1.4637,1.6694
2020-08-20,-0.1483,1.5726,1.7209
2020-08-19,-0.1415,1.6164,1.758
2020-08-18,-0.0701,1.7232,1.7933
2020-08-17,-0.0783,1.7326,1.8109
2020-08-14,-0.0845,1.7459,1.8304
2020-08-13,-0.0082,1.8433,1.8516
2020-08-12,-0.0013,1.8523,1.8536
2020-08-11,0.1896,2.0435,1.854
2020-08-10,0.4604,2.267,1.8066
2020-08-07,0.4542,2.1456,1.6915
2020-08-06,0.464,2.0419,1.5779
2020-08-05,0.3478,1.8097,1.4619
2020-08-04,0.2982,1.6732,1.375
2020-08-03,0.2557,1.5561,1.3004
2020-07-31,0.3013,1.5378,1.2365
2020-07-30,0.34,1.5012,1.1612
2020-07-29,0.4471,1.5233,1.0762
2020-07-28,0.4825,1.4468,0.9644
2020-07-27,0.4641,1.3079,0.8438
2020-07-24,0.3776,1.1053,0.7277
2020-07-23,0.3624,0.9957,0.6333
2020-07-22,0.3169,0.8596,0.5427
2020-07-21,0.1682,0.6317,0.4635
2020-07-20,0.0904,0.5118,0.4215
2020-07-17,0.0686,0.4674,0.3989
2020-07-16,0.0752,0.4569,0.3817
2020-07-15,0.0973,0.4603,0.3629
