date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,46.95,48.741,46.91,48.28,2998844.0
2020-04-17,47.02,47.88,46.63,47.75,2466530.0
2020-04-16,46.32,46.45,43.17,46.13,2083384.0
2020-04-15,44.94,45.6,44.86,45.15,1355534.0
2020-04-14,46.12,46.48,45.2,45.97,2520732.0
2020-04-13,45.14,45.24,43.99,44.38,1490508.0
2020-04-09,44.92,45.5,42.8,45.46,4459369.0
2020-04-08,44.63,45.46,42.87,45.18,1773331.0
2020-04-07,45.73,45.83,44.4527,44.6,3119706.0
2020-04-06,45.45,46.36,45.17,46.12,1707853.0
2020-04-03,43.46,45.2,43.34,44.83,4352104.0
2020-04-02,42.42,43.66,42.08,43.51,2740855.0
2020-04-01,42.5,43.46,42.32,42.91,2294912.0
2020-03-31,44.14,44.5,43.1,43.72,3159115.0
2020-03-30,43.53,45.37,43.52,44.69,5088124.0
2020-03-27,42.31,43.36,41.655,42.44,3852853.0
2020-03-26,41.61,43.0,41.61,42.95,5019470.0
2020-03-25,40.68,42.37,40.05,41.37,5104632.0
2020-03-24,40.69,40.69,39.27,40.19,4766169.0
2020-03-23,38.53,39.65,37.62,38.57,2652450.0
2020-03-20,39.79,40.6,38.02,38.02,5369936.0
2020-03-19,40.0,44.49,39.6,40.61,8156089.0
2020-03-18,40.07,42.4399,39.62,41.65,2427426.0
2020-03-17,41.68,43.88,41.1,43.61,2770425.0
2020-03-16,38.35,43.21,37.75,41.52,2933972.0
2020-03-13,42.4,43.72,39.72,43.72,3319181.0
2020-03-12,41.55,42.5,40.05,40.87,4060068.0
2020-03-11,45.21,45.81,44.51,44.79,2943297.0
2020-03-10,46.01,46.26,44.32,46.16,4715888.0
2020-03-09,45.56,46.53,44.97,45.22,3296098.0
2020-03-06,48.56,48.64,47.03,48.44,2835310.0
2020-03-05,49.68,50.33,49.51,49.94,1558840.0
2020-03-04,49.26,50.56,48.93,50.54,1552544.0
2020-03-03,48.49,49.24,47.37,47.71,2582937.0
2020-03-02,47.43,48.75,47.115,48.74,3404537.0
2020-02-28,46.21,46.55,45.32,46.25,4549978.0
2020-02-27,48.43,49.14,48.09,48.16,4529428.0
2020-02-26,48.82,49.6,48.81,49.45,2363025.0
2020-02-25,49.89,49.9,48.93,49.01,2475750.0
2020-02-24,49.01,50.02,49.0,49.84,2526361.0
2020-02-21,50.29,50.88,50.11,50.85,1722682.0
2020-02-20,50.8,51.095,50.4,50.75,2074120.0
2020-02-19,50.87,50.96,50.62,50.71,2436009.0
2020-02-18,50.35,51.14,50.33,51.14,3314530.0
2020-02-14,50.04,50.1231,49.825,49.93,1498914.0
2020-02-13,49.93,50.195,49.71,50.0,914038.0
2020-02-12,50.88,50.88,50.49,50.62,3608663.0
2020-02-11,51.0,51.305,50.9727,51.23,1371384.0
2020-02-10,50.79,51.225,50.68,51.22,889574.0
2020-02-07,51.44,51.5141,50.92,51.03,1404205.0
2020-02-06,51.03,51.72,50.84,51.66,2816315.0
2020-02-05,49.39,49.6,49.125,49.32,1736230.0
2020-02-04,48.64,48.88,48.535,48.64,776196.0
2020-02-03,48.63,48.88,48.31,48.38,860249.0
2020-01-31,48.55,48.59,48.04,48.27,1205539.0
2020-01-30,48.44,48.65,48.3,48.61,890349.0
2020-01-29,48.75,48.99,48.55,48.81,1067854.0
2020-01-28,48.27,48.47,48.11,48.27,868582.0
2020-01-27,47.98,48.16,47.72,47.77,1493593.0
2020-01-24,49.54,49.6378,48.7233,48.73,2324079.0
2020-01-23,49.49,49.71,49.21,49.6,1754888.0
2020-01-22,49.78,49.81,49.22,49.4,1578504.0
2020-01-21,50.64,50.86,50.2,50.21,2338493.0
2020-01-17,51.28,51.43,51.03,51.24,1015585.0
2020-01-16,51.11,51.19,50.88,51.19,650544.0
2020-01-15,51.05,51.33,51.03,51.25,1816848.0
2020-01-14,50.57,51.1,50.435,50.98,1472090.0
2020-01-13,51.14,51.5,51.04,51.41,1312132.0
2020-01-10,51.52,51.84,51.51,51.62,1583010.0
2020-01-09,51.2,51.3264,50.94,51.16,1807732.0
2020-01-08,50.61,51.21,50.585,50.98,1122988.0
2020-01-07,50.77,50.95,50.68,50.74,884541.0
2020-01-06,50.87,51.26,50.85,51.25,1510450.0
2020-01-03,50.3,50.88,50.3,50.76,1104144.0
2020-01-02,50.58,50.76,50.38,50.68,1271795.0
2019-12-31,50.22,50.36,49.97,50.2,499272.0
2019-12-30,50.62,50.67,50.15,50.19,947937.0
2019-12-27,50.75,50.9,50.6,50.86,1016798.0
2019-12-26,50.51,50.51,50.25,50.3,967887.0
2019-12-24,50.4,50.42,50.13,50.41,452964.0
2019-12-23,50.35,50.43,50.14,50.31,1442988.0
2019-12-20,50.28,50.79,50.18,50.55,4263140.0
2019-12-19,49.98,50.57,49.98,50.43,2787228.0
2019-12-18,50.0,50.43,49.97,50.37,3663323.0
2019-12-17,50.34,50.4117,49.95,50.19,3872510.0
2019-12-16,50.34,50.53,50.21,50.47,2771996.0
2019-12-13,49.5,49.89,49.48,49.79,3171273.0
2019-12-12,49.09,49.58,49.01,49.51,4666624.0
2019-12-11,48.37,49.06,48.35,49.01,2357974.0
2019-12-10,47.81,48.41,47.39,48.09,10369331.0
2019-12-09,45.84,45.85,45.23,45.3,2134010.0
