date,MACD_Signal,MACD_Hist,MACD
2021-02-02,-0.292,-0.1654,-0.4574
2021-02-01,-0.2093,-0.2078,-0.4171
2021-01-29,0.0459,-0.1897,-0.1437
2021-01-28,0.0934,-0.1178,-0.0244
2021-01-27,0.1228,-0.0313,0.0915
2021-01-26,0.1306,0.132,0.2626
2021-01-25,0.0976,0.1942,0.2919
2021-01-22,0.0491,0.227,0.2761
2021-01-21,-0.0077,0.2535,0.2458
2021-01-20,-0.071,0.2797,0.2087
2021-01-19,-0.141,0.2717,0.1308
2021-01-15,-0.2089,0.1772,-0.0317
2021-01-14,-0.2532,0.1287,-0.1245
2021-01-13,-0.2854,0.0809,-0.2045
2021-01-12,-0.3056,0.1028,-0.2029
2021-01-11,-0.3313,0.1019,-0.2294
2021-01-08,-0.3568,0.1275,-0.2293
2021-01-07,-0.3887,0.122,-0.2667
2021-01-06,-0.4192,0.1454,-0.2738
2021-01-05,-0.4555,0.1847,-0.2708
2021-01-04,-0.5017,0.1644,-0.3373
2020-12-31,-0.5428,0.1245,-0.4183
2020-12-30,-0.5739,0.0746,-0.4993
2020-12-29,-0.5926,0.0205,-0.5720000000000001
2020-12-28,-0.5977,-0.0487,-0.6464
2020-12-24,-0.5855,-0.1127,-0.6983
2020-12-23,-0.5573,-0.1481,-0.7054
2020-12-22,-0.5203,-0.1973,-0.7176
2020-12-21,-0.471,-0.2751,-0.7461
2020-12-18,-0.4022,-0.2889,-0.6911
2020-12-17,-0.33,-0.393,-0.7229
2020-12-16,-0.2317,-0.4561,-0.6879
2020-12-15,-0.1177,-0.4777,-0.5954
2020-12-14,0.0017,-0.3865,-0.3848
2020-12-11,0.0984,-0.25,-0.1516
2020-12-10,0.1609,-0.1287,0.0322
2020-12-09,0.193,-0.1212,0.0718
2020-12-08,0.2233,-0.0887,0.1346
2020-12-07,0.2455,-0.0347,0.2108
2020-12-04,0.2542,0.0232,0.2774
2020-12-03,0.2484,-0.005,0.2434
2020-12-02,0.2497,0.0404,0.29
2020-12-01,0.2396,0.0539,0.2935
2020-11-30,0.2261,0.036000000000000004,0.262
2020-11-27,0.2171,0.0753,0.2924
2020-11-25,0.1982,0.034,0.2323
2020-11-24,0.1897,0.0571,0.2468
2020-11-23,0.1755,0.1148,0.2903
2020-11-20,0.1468,0.2019,0.3486
2020-11-19,0.0963,0.2535,0.3499
2020-11-18,0.0329,0.2767,0.3097
2020-11-17,-0.0362,0.3288,0.2926
2020-11-16,-0.1184,0.4083,0.2899
2020-11-13,-0.2205,0.4621,0.2415
2020-11-12,-0.3361,0.4778,0.1417
2020-11-11,-0.4555,0.4647,0.0092
2020-11-10,-0.5717,0.3524,-0.2192
2020-11-09,-0.6598,0.2999,-0.3599
2020-11-06,-0.7347,0.2556,-0.4792
2020-11-05,-0.7986,0.2128,-0.5858
2020-11-04,-0.8518,0.0285,-0.8234
2020-11-03,-0.8590000000000001,-0.2821,-1.1411
2020-11-02,-0.7884,-0.4320000000000001,-1.2204
2020-10-30,-0.6804,-0.5075,-1.1879
2020-10-29,-0.5536,-0.4625,-1.0161
2020-10-28,-0.4379,-0.3654,-0.8034
2020-10-27,-0.3466,-0.2378,-0.5843
2020-10-26,-0.2871,-0.1374,-0.4246
2020-10-23,-0.2528,-0.1379,-0.3906
2020-10-22,-0.2183,-0.1437,-0.362
2020-10-21,-0.1824,-0.097,-0.2794
2020-10-20,-0.1581,-0.0363,-0.1944
2020-10-19,-0.1491,-0.0063,-0.1554
2020-10-16,-0.1475,0.0177,-0.1298
2020-10-15,-0.1519,0.0434,-0.1085
2020-10-14,-0.1627,0.1146,-0.0482
