date,MFI
2021-01-19,61.2965
2021-01-15,59.3786
2021-01-14,56.0048
2021-01-13,52.3525
2021-01-12,61.0582
2021-01-11,49.7618
2021-01-08,59.2052
2021-01-07,55.0204
2021-01-06,66.3427
2021-01-05,72.0019
2021-01-04,65.2237
2020-12-31,55.1541
2020-12-30,52.0194
2020-12-29,45.2397
2020-12-28,39.8392
2020-12-24,35.2002
2020-12-23,38.2842
2020-12-22,38.0132
2020-12-21,33.6469
2020-12-18,41.7188
2020-12-17,30.9901
2020-12-16,27.119
2020-12-15,24.3871
2020-12-14,26.0414
2020-12-11,25.0049
2020-12-10,26.7982
2020-12-09,21.4455
2020-12-08,29.0421
2020-12-07,30.329
2020-12-04,31.6571
2020-12-03,33.4299
2020-12-02,29.3018
2020-12-01,35.7688
2020-11-30,35.6471
2020-11-27,41.9422
2020-11-25,35.6392
2020-11-24,29.4423
2020-11-23,37.5027
2020-11-20,47.0865
2020-11-19,54.8783
2020-11-18,53.0024
2020-11-17,45.5044
2020-11-16,42.7223
2020-11-13,41.5805
2020-11-12,36.466
2020-11-11,44.2743
2020-11-10,38.5323
2020-11-09,32.7092
2020-11-06,28.2576
2020-11-05,35.1544
2020-11-04,40.7056
2020-11-03,29.9314
2020-11-02,19.6168
2020-10-30,17.4261
2020-10-29,21.4908
2020-10-28,28.2148
2020-10-27,36.6677
2020-10-26,38.3045
2020-10-23,33.7392
2020-10-22,33.4483
2020-10-21,37.6507
2020-10-20,38.2124
2020-10-19,43.3065
2020-10-16,38.6776
2020-10-15,38.1948
2020-10-14,39.8376
2020-10-13,45.8598
2020-10-12,48.8188
2020-10-09,43.2534
2020-10-08,38.0837
2020-10-07,37.3332
2020-10-06,38.1983
2020-10-05,45.4414
2020-10-02,44.956
2020-10-01,38.4452
2020-09-30,48.2578
2020-09-29,39.977
2020-09-28,48.7334
2020-09-25,52.3407
2020-09-24,50.8923
2020-09-23,50.8492
2020-09-22,47.9336
2020-09-21,46.6472
2020-09-18,51.7619
2020-09-17,43.2533
2020-09-16,40.8567
2020-09-15,39.9451
2020-09-14,40.5708
2020-09-11,47.61
2020-09-10,40.9971
2020-09-09,41.93
2020-09-08,34.5084
2020-09-04,31.7614
2020-09-03,41.0994
2020-09-02,40.5298
2020-09-01,35.5136
2020-08-31,43.5794
2020-08-28,44.8661
2020-08-27,47.7247
2020-08-26,58.6917
2020-08-25,56.4017
2020-08-24,48.721000000000004
2020-08-21,40.4257
2020-08-20,47.9527
2020-08-19,58.1139
2020-08-18,57.6516
2020-08-17,58.4606
2020-08-14,59.0372
2020-08-13,64.3504
2020-08-12,61.3289
2020-08-11,56.8818
2020-08-10,52.2544
2020-08-07,52.8996
2020-08-06,50.4682
2020-08-05,52.6017
2020-08-04,54.4556
2020-08-03,62.9309
2020-07-31,63.4165
2020-07-30,57.4896
2020-07-29,59.125
2020-07-28,51.135
2020-07-27,42.2577
2020-07-24,36.5864
2020-07-23,45.2271
2020-07-22,52.223
2020-07-21,57.9388
2020-07-20,53.9109
2020-07-17,59.6261
2020-07-16,58.8087
2020-07-15,65.8489
2020-07-14,55.838
2020-07-13,54.873999999999995
2020-07-10,56.2019
2020-07-09,62.4089
2020-07-08,61.7702
2020-07-07,69.2853
2020-07-06,77.6123
2020-07-02,79.0602
