date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,17.01,18.1,15.55,17.92,15370377.0
2020-04-30,18.0,18.17,17.22,17.62,6543788.0
2020-04-29,17.89,18.86,17.8,18.23,9353985.0
2020-04-28,18.41,18.83,17.33,17.56,10166795.0
2020-04-27,17.26,18.461,16.57,17.89,14092240.0
2020-04-24,16.67,17.2262,16.0,17.02,7950903.0
2020-04-23,17.33,17.67,16.38,16.66,7780851.0
2020-04-22,17.71,17.79,16.81,17.27,8645571.0
2020-04-21,18.2,18.9,16.56,16.87,11480510.0
2020-04-20,18.27,19.85,17.91,19.0,11481544.0
2020-04-17,19.21,19.6,18.5,18.9,9004143.0
2020-04-16,20.36,20.8,17.7105,18.3,20735545.0
2020-04-15,18.11,21.07,17.62,19.98,31578421.0
2020-04-14,16.03,20.29,15.96,19.03,38117758.0
2020-04-13,15.59,15.78,14.81,15.46,6548279.0
2020-04-09,16.0,16.4,14.92,15.27,10510587.0
2020-04-08,14.45,15.66,14.11,15.36,12171281.0
2020-04-07,15.73,16.07,13.82,14.07,13926200.0
2020-04-06,13.46,14.49,13.04,14.3,11476730.0
2020-04-03,12.97,13.5,12.1,12.19,7617376.0
2020-04-02,12.94,13.8,12.4,12.96,8578672.0
2020-04-01,13.92,14.4299,12.88,13.3,9386417.0
2020-03-31,14.87,15.96,14.55,14.78,9249352.0
2020-03-30,15.41,15.7499,14.42,14.76,9342938.0
2020-03-27,16.4,16.4,15.11,15.38,10899538.0
2020-03-26,16.44,18.18,15.73,17.06,17995116.0
2020-03-25,17.79,18.39,15.4,16.0,22950807.0
2020-03-24,15.59,17.44,14.630999999999998,16.32,31309312.0
2020-03-23,11.73,13.34,11.01,12.97,16640284.0
2020-03-20,11.46,14.74,10.985999999999999,11.23,21361343.0
2020-03-19,10.08,11.4,9.4,10.49,10841341.0
2020-03-18,11.53,11.77,9.06,10.56,14278028.0
2020-03-17,12.36,13.43,11.19,12.66,12083252.0
2020-03-16,12.19,13.6,11.72,11.91,10840766.0
2020-03-13,15.52,15.78,13.48,14.69,12011719.0
2020-03-12,13.28,16.09,13.13,13.81,15193869.0
2020-03-11,17.92,18.26,15.5,16.41,13698852.0
2020-03-10,20.81,21.12,18.0,18.44,12361061.0
2020-03-09,18.3903,20.3699,17.0,19.44,13251762.0
2020-03-06,22.46,23.28,21.0,21.67,12849955.0
2020-03-05,22.68,24.3399,22.03,24.09,14100336.0
2020-03-04,25.52,25.75,22.86,23.76,15438911.0
2020-03-03,26.9,27.45,23.76,24.71,20040778.0
2020-03-02,27.44,28.0,25.05,25.98,23532235.0
2020-02-28,19.96,25.79,19.25,24.6,35446517.0
2020-02-27,23.69,25.0,19.11,21.97,47860848.0
2020-02-26,31.8,34.69,27.6,28.75,39895339.0
2020-02-25,37.18,37.3,33.0,34.04,43738334.0
