date,MACD,MACD_Signal,MACD_Hist
2021-02-12,3.759,4.5109,-0.7519
2021-02-11,4.5072,4.8869,-0.3797
2021-02-10,4.2901,5.0767,-0.7866
2021-02-09,5.2875,5.47,-0.1825
2021-02-08,5.5537,5.5613,-0.0076
2021-02-05,5.728,5.5651,0.1629
2021-02-04,6.0765,5.4836,0.5929
2021-02-03,6.1519,5.1872,0.9647
2021-02-02,5.3049,4.7048,0.6
2021-02-01,5.5605,4.4048,1.1557
2021-01-29,4.6024,2.94,1.6624
2021-01-28,4.261,2.5244,1.7367
2021-01-27,3.8836,2.0902,1.7934
2021-01-26,3.0154,1.6419,1.3735
2021-01-25,2.3012,1.2985,1.0027
2021-01-22,1.9722,1.0478,0.9244
2021-01-21,1.6987,0.8167,0.882
2021-01-20,1.4278,0.5962,0.8316
2021-01-19,1.1874,0.3883,0.7991
2021-01-15,0.9021,0.1885,0.7136
2021-01-14,0.649,0.0101,0.6389
2021-01-13,0.0518,-0.1496,0.2014
2021-01-12,-0.1543,-0.1999,0.0456
2021-01-11,-0.3234,-0.2113,-0.1121
2021-01-08,-0.3575,-0.1833,-0.1742
2021-01-07,-0.4262,-0.1397,-0.2865
2021-01-06,-0.4986,-0.0681,-0.4305
2021-01-05,-0.486,0.0395,-0.5255
2021-01-04,-0.4578,0.1709,-0.6287
2020-12-31,-0.3225,0.328,-0.6505
2020-12-30,-0.198,0.4907,-0.6887
2020-12-29,-0.0647,0.6629,-0.7276
2020-12-28,0.1328,0.8447,-0.7120000000000001
2020-12-24,0.3636,1.0227,-0.6592
2020-12-23,0.4584,1.1875,-0.7292
2020-12-22,0.474,1.3698,-0.8958
2020-12-21,0.6245,1.5938,-0.9693
2020-12-18,0.8757,1.8361,-0.9605
2020-12-17,1.2813,2.0762,-0.7949
2020-12-16,1.6114,2.275,-0.6636
2020-12-15,1.9726,2.4409,-0.4683
2020-12-14,2.5423,2.5580000000000003,-0.0156
2020-12-11,3.0331,2.5619,0.4712
2020-12-10,3.0481,2.4441,0.6041
2020-12-09,3.0088,2.293,0.7158
2020-12-08,2.9199,2.1141,0.8058
2020-12-07,2.6357,1.9126,0.723
2020-12-04,2.1928,1.7319,0.4609
2020-12-03,2.1109,1.6167,0.4942
2020-12-02,2.0428,1.4931,0.5497
2020-12-01,1.9822,1.3557,0.6265
2020-11-30,1.7925,1.199,0.5935
2020-11-27,1.7015,1.0507,0.6508
2020-11-25,1.5035,0.888,0.6156
2020-11-24,1.2362,0.7341,0.5021
2020-11-23,1.0948,0.6086,0.4862
2020-11-20,0.9035,0.487,0.4165
2020-11-19,0.8092,0.3829,0.4263
2020-11-18,0.6016,0.2763,0.3253
2020-11-17,0.4766,0.195,0.2816
2020-11-16,0.4363,0.1246,0.3117
2020-11-13,0.4254,0.0467,0.3788
2020-11-12,0.2649,-0.048,0.3129
2020-11-11,0.1222,-0.1262,0.2484
2020-11-10,-0.0942,-0.1883,0.0941
2020-11-09,-0.2194,-0.2119,-0.0075
2020-11-06,-0.3739,-0.21,-0.1639
2020-11-05,-0.4212,-0.16899999999999998,-0.2522
2020-11-04,-0.4896,-0.106,-0.3836
2020-11-03,-0.4537,-0.0101,-0.4437
2020-11-02,-0.4441,0.1008,-0.545
2020-10-30,-0.345,0.2371,-0.5821
2020-10-29,-0.189,0.3826,-0.5716
2020-10-28,-0.0645,0.5255,-0.59
2020-10-27,0.1666,0.6729999999999999,-0.5063
2020-10-26,0.3767,0.7996,-0.4228
2020-10-23,0.6363,0.9053,-0.2689
2020-10-22,0.875,0.9725,-0.0976
2020-10-21,1.0049,0.9969,0.008
2020-10-20,1.1856,0.9949,0.1907
2020-10-19,1.1354,0.9472,0.1882
2020-10-16,1.0761,0.9002,0.17600000000000002
2020-10-15,1.0235,0.8562,0.1674
2020-10-14,1.023,0.8143,0.2086
2020-10-13,1.0389,0.7622,0.2767
2020-10-12,0.9953,0.693,0.3023
2020-10-09,1.0514,0.6174,0.4339
2020-10-08,1.0232,0.509,0.5142
2020-10-07,0.9021,0.3804,0.5217
