date,MFI
2017-10-19,46.1067
2017-10-20,48.5567
2017-10-23,50.8546
2017-10-24,52.1238
2017-10-25,57.7099
2017-10-26,54.1811
2017-10-27,55.1205
2017-10-30,60.1896
2017-10-31,83.1028
2017-11-01,82.1918
2017-11-02,79.134
2017-11-03,68.6759
2017-11-06,66.6263
2017-11-07,56.9017
2017-11-08,57.8246
2017-11-09,48.9858
2017-11-10,39.9547
2017-11-13,29.9356
2017-11-14,23.8738
2017-11-15,19.5594
2017-11-16,11.6677
2017-11-17,7.7905
2017-11-20,7.8999
2017-11-21,8.1262
2017-11-22,3.8054
2017-11-24,8.3306
2017-11-27,18.2312
2017-11-28,14.4174
2017-11-29,12.8316
2017-11-30,15.8634
2017-12-01,16.1103
2017-12-04,15.7503
2017-12-05,21.3774
2017-12-06,21.1037
2017-12-07,19.647
2017-12-08,24.4227
2017-12-11,29.8716
2017-12-12,36.4543
2017-12-13,34.3544
2017-12-14,37.3951
2017-12-15,37.9853
2017-12-18,45.8675
2017-12-19,70.0925
2017-12-20,62.9469
2017-12-21,60.931
2017-12-22,69.4265
2017-12-26,68.8238
2017-12-27,70.9351
2017-12-28,74.3313
2017-12-29,77.663
2018-01-02,77.1024
2018-01-03,63.7557
2018-01-04,65.0549
2018-01-05,68.7868
2018-01-08,66.8242
2018-01-09,65.565
2018-01-10,74.8532
2018-01-11,76.4453
2018-01-12,71.6272
2018-01-16,70.1348
2018-01-17,68.0792
2018-01-18,69.9409
2018-01-19,72.7987
2018-01-22,73.4417
2018-01-23,65.4631
2018-01-24,71.6934
2018-01-25,68.674
2018-01-26,66.4818
2018-01-29,67.0249
2018-01-30,66.6099
2018-01-31,46.0776
2018-02-01,49.601
2018-02-02,55.8818
2018-02-05,44.8267
2018-02-06,43.7085
2018-02-07,43.751
2018-02-08,33.8369
2018-02-09,27.3523
2018-02-12,37.8611
2018-02-13,37.3011
2018-02-14,41.8262
2018-02-15,37.3873
2018-02-16,33.4123
2018-02-20,43.3261
2018-02-21,39.4239
2018-02-22,40.3985
2018-02-23,39.7234
2018-02-26,52.129
2018-02-27,58.9562
2018-02-28,53.4178
2018-03-01,59.3411
2018-03-02,68.7045
2018-03-05,63.4849
2018-03-06,53.7725
2018-03-07,62.0607
2018-03-08,56.6474
2018-03-09,60.0618
2018-03-12,68.7727
2018-03-13,70.1215
2018-03-14,78.0283
2018-03-15,83.7031
2018-03-16,82.9806
2018-03-19,78.8741
2018-03-20,78.6242
2018-03-21,78.8744
2018-03-22,74.1268
2018-03-23,79.385
2018-03-26,84.5971
2018-03-27,84.2117
2018-03-28,84.7368
2018-03-29,81.8987
2018-04-02,72.6223
2018-04-03,63.4025
2018-04-04,53.2439
2018-04-05,59.0301
2018-04-06,57.2299
2018-04-09,61.4071
2018-04-10,61.3919
2018-04-11,59.3249
2018-04-12,62.6464
2018-04-13,59.8869
2018-04-16,28.2646
2018-04-17,24.6549
2018-04-18,24.8923
2018-04-19,25.0542
2018-04-20,29.341
2018-04-23,20.6058
2018-04-24,25.3482
2018-04-25,16.943
2018-04-26,21.8595
2018-04-27,22.4954
2018-04-30,23.5122
2018-05-01,23.3856
2018-05-02,18.9309
2018-05-03,16.0084
2018-05-04,21.2472
2018-05-07,22.942
2018-05-08,22.966
2018-05-09,22.9221
2018-05-10,20.8987
2018-05-11,30.9465
2018-05-14,22.4199
2018-05-15,30.654
2018-05-16,14.7613
2018-05-17,12.6458
2018-05-18,10.6885
2018-05-21,25.866
2018-05-22,46.1029
2018-05-23,33.5192
2018-05-24,31.4585
2018-05-25,33.4009
2018-05-29,34.4565
2018-05-30,35.2695
2018-05-31,35.7208
2018-06-01,35.8565
2018-06-04,34.0756
2018-06-05,36.2608
2018-06-06,52.2416
2018-06-07,52.2231
2018-06-08,49.3086
2018-06-11,31.5239
2018-06-12,31.9919
2018-06-13,77.5951
2018-06-14,78.2537
2018-06-15,55.8633
2018-06-18,60.7036
2018-06-19,55.958
2018-06-20,65.8575
2018-06-21,60.6811
2018-06-22,62.6742
2018-06-25,37.6292
2018-06-26,38.8404
2018-06-27,39.0808
2018-06-28,35.9953
2018-06-29,35.0986
2018-07-02,35.726
2018-07-03,35.6255
2018-07-05,29.7591
2018-07-06,36.3647
2018-07-09,28.9487
2018-07-10,32.7378
2018-07-11,22.9882
2018-07-12,37.8075
2018-07-13,37.0637
2018-07-16,48.8578
2018-07-17,29.6423
2018-07-18,43.4886
2018-07-19,47.8917
2018-07-20,46.0194
2018-07-23,44.9331
2018-07-24,41.7039
2018-07-25,44.2054
2018-07-26,47.3134
2018-07-27,50.9701
2018-07-30,47.3988
2018-07-31,49.2885
2018-08-01,40.4523
2018-08-02,40.4442
2018-08-03,45.1044
2018-08-06,64.9706
2018-08-07,45.0442
2018-08-08,35.9866
2018-08-09,44.2534
2018-08-10,46.5888
2018-08-13,54.1354
2018-08-14,59.5
2018-08-15,46.9936
2018-08-16,53.5187
2018-08-17,58.1367
2018-08-20,32.2019
2018-08-21,31.7672
2018-08-22,32.1219
