date,MFI
2020-05-29,63.7647
2020-05-28,66.7074
2020-05-27,76.2816
2020-05-26,70.441
2020-05-22,31.8292
2020-05-21,32.1006
2020-05-20,33.0368
2020-05-19,29.447
2020-05-18,35.735
2020-05-15,33.5577
2020-05-14,33.9191
2020-05-13,39.1657
2020-05-12,44.9939
2020-05-11,53.4991
2020-05-08,58.3335
2020-05-07,48.5486
2020-05-06,51.3226
2020-05-05,50.6625
2020-05-04,43.8298
2020-05-01,50.6075
2020-04-30,48.6954
2020-04-29,60.0076
2020-04-28,60.0766
2020-04-27,68.3673
2020-04-24,67.8539
2020-04-23,64.7094
2020-04-22,64.0738
2020-04-21,60.6056
2020-04-20,58.6126
2020-04-17,67.5212
2020-04-16,54.631
2020-04-15,68.1172
2020-04-14,73.3792
2020-04-13,75.0757
2020-04-09,73.5605
2020-04-08,64.4907
2020-04-07,66.7359
2020-04-06,55.5285
2020-04-03,51.7789
2020-04-02,45.5841
2020-04-01,48.9054
2020-03-31,45.4749
2020-03-30,45.7275
2020-03-27,45.5608
2020-03-26,47.9099
2020-03-25,39.8138
2020-03-24,32.1771
2020-03-23,26.3914
2020-03-20,27.219
2020-03-19,40.5184
2020-03-18,31.3139
2020-03-17,33.5284
2020-03-16,34.6167
2020-03-13,40.1327
2020-03-12,31.276999999999997
2020-03-11,36.7166
2020-03-10,38.9858
2020-03-09,34.4176
2020-03-06,36.7912
2020-03-05,39.1232
2020-03-04,36.4516
2020-03-03,35.9246
2020-03-02,40.6987
2020-02-28,12.6483
2020-02-27,16.2508
2020-02-26,25.2715
2020-02-25,29.873
2020-02-24,36.9548
2020-02-21,57.4665
2020-02-20,55.7372
2020-02-19,54.8689
2020-02-18,49.1063
2020-02-14,52.9084
2020-02-13,52.1055
2020-02-12,56.1235
2020-02-11,50.8155
2020-02-10,47.0837
2020-02-07,42.1694
2020-02-06,50.1824
2020-02-05,49.2212
2020-02-04,45.6634
2020-02-03,48.3551
2020-01-31,39.8769
2020-01-30,31.6767
2020-01-29,37.6591
2020-01-28,46.1774
2020-01-27,49.1105
2020-01-24,46.305
2020-01-23,44.1514
2020-01-22,48.9972
2020-01-21,53.7205
2020-01-17,52.0345
2020-01-16,46.0724
2020-01-15,48.4213
2020-01-14,49.1021
2020-01-13,54.5025
2020-01-10,54.5869
2020-01-09,68.7492
2020-01-08,68.865
2020-01-07,62.8568
2020-01-06,62.3812
2020-01-03,69.2803
2020-01-02,76.8923
2019-12-31,75.8638
2019-12-30,70.8736
2019-12-27,74.5144
2019-12-26,81.3845
2019-12-24,80.6591
2019-12-23,82.5657
2019-12-20,70.5596
2019-12-19,65.5762
2019-12-18,60.0571
2019-12-17,59.3207
2019-12-16,56.3128
2019-12-13,53.8494
2019-12-12,54.2007
2019-12-11,45.0988
2019-12-10,34.6422
2019-12-09,39.7683
2019-12-06,43.1808
2019-12-05,35.0195
2019-12-04,25.25
2019-12-03,23.1342
2019-12-02,30.9148
2019-11-29,30.2708
2019-11-27,30.081999999999997
2019-11-26,43.5543
2019-11-25,49.2375
2019-11-22,48.3965
2019-11-21,48.2169
2019-11-20,50.343999999999994
2019-11-19,63.1502
2019-11-18,49.3126
2019-11-15,51.2684
2019-11-14,51.2251
2019-11-13,60.3911
2019-11-12,63.6928
2019-11-11,60.6825
2019-11-08,66.2631
2019-11-07,68.4802
2019-11-06,45.3547
2019-11-05,71.7653
2019-11-04,70.6881
2019-11-01,77.6897
2019-10-31,76.4333
2019-10-30,86.9225
2019-10-29,98.553
2019-10-28,98.5596
