date,MACD,MACD_Signal,MACD_Hist
2021-01-15,0.7158,0.5804,0.1354
2021-01-14,0.6958,0.5466,0.1492
2021-01-13,0.6276,0.5093,0.1184
2021-01-12,0.5844,0.4797,0.1047
2021-01-11,0.5269,0.4535,0.0734
2021-01-08,0.4936,0.4352,0.0584
2021-01-07,0.4521,0.4205,0.0316
2021-01-06,0.3793,0.4127,-0.0333
2021-01-05,0.2942,0.421,-0.1268
2021-01-04,0.3095,0.4527,-0.1432
2020-12-31,0.3561,0.4885,-0.1324
2020-12-30,0.3554,0.5216,-0.1662
2020-12-29,0.3728,0.5631,-0.1903
2020-12-28,0.4211,0.6107,-0.1896
2020-12-24,0.4492,0.6581,-0.2089
2020-12-23,0.4866,0.7103,-0.2237
2020-12-22,0.5304,0.7663,-0.2358
2020-12-21,0.6203,0.8252,-0.2049
2020-12-18,0.7087,0.8764,-0.1677
2020-12-17,0.7797,0.9184,-0.1387
2020-12-16,0.8246,0.953,-0.1285
2020-12-15,0.8709,0.9852,-0.1143
2020-12-14,0.9054,1.0137,-0.1083
2020-12-11,0.9972,1.0408,-0.0436
2020-12-10,1.0479,1.0517,-0.0038
2020-12-09,1.0723,1.0527,0.0197
2020-12-08,1.088,1.0478,0.0402
2020-12-07,1.0951,1.0377,0.0574
2020-12-04,1.0952,1.0234,0.0719
2020-12-03,1.0455,1.0054,0.0401
2020-12-02,1.0338,0.9954,0.0384
2020-12-01,1.0339,0.9858,0.0481
2020-11-30,1.0658,0.9738,0.0921
2020-11-27,1.1381,0.9507,0.1874
2020-11-25,1.1379,0.9039,0.234
2020-11-24,1.095,0.8454,0.2496
2020-11-23,0.9834,0.783,0.2004
2020-11-20,0.9376,0.7329,0.2047
2020-11-19,0.9435,0.6817,0.2618
2020-11-18,0.9252,0.6163,0.309
2020-11-17,0.8985,0.539,0.3595
2020-11-16,0.8013,0.4492,0.3521
2020-11-13,0.6626,0.3611,0.3015
2020-11-12,0.5749,0.2857,0.2892
2020-11-11,0.5526,0.2135,0.3391
2020-11-10,0.4261,0.1287,0.2974
2020-11-09,0.2234,0.0543,0.1691
2020-11-06,0.0105,0.0121,-0.0016
2020-11-05,0.0254,0.0125,0.013
2020-11-04,-0.0168,0.0092,-0.0261
2020-11-03,-0.0116,0.0157,-0.0273
2020-11-02,-0.0856,0.0225,-0.1082
2020-10-30,-0.1179,0.0496,-0.1675
2020-10-29,-0.0765,0.0915,-0.1679
2020-10-28,-0.0115,0.1334,-0.1449
2020-10-27,0.1207,0.1697,-0.049
2020-10-26,0.1976,0.1819,0.0157
2020-10-23,0.2269,0.178,0.0489
2020-10-22,0.1931,0.1658,0.0273
2020-10-21,0.1591,0.1589,0.0001
2020-10-20,0.1834,0.1589,0.0245
2020-10-19,0.1977,0.1528,0.0449
2020-10-16,0.2351,0.1416,0.0935
