date,MFI
2015-11-11,27.5302
2015-11-12,29.9626
2015-11-13,40.8914
2015-11-16,58.6516
2015-11-17,67.8929
2015-11-18,68.3367
2015-11-19,67.1703
2015-11-20,70.8
2015-11-23,66.2584
2015-11-24,66.3825
2015-11-25,78.6376
2015-11-27,80.5008
2015-11-30,90.5445
2015-12-01,86.8868
2015-12-02,73.4033
2015-12-03,74.3743
2015-12-04,76.3168
2015-12-07,75.255
2015-12-08,73.1199
2015-12-09,80.7161
2015-12-10,79.5998
2015-12-11,75.5655
2015-12-14,76.0126
2015-12-15,75.4605
2015-12-16,75.5387
2015-12-17,76.4256
2015-12-18,59.5936
2015-12-21,53.3513
2015-12-22,65.625
2015-12-23,79.7517
2015-12-24,80.2284
2015-12-28,71.9404
2015-12-29,72.9649
2015-12-30,55.3255
2015-12-31,52.7622
2016-01-04,47.8587
2016-01-05,51.088
2016-01-06,42.1534
2016-01-07,36.2295
2016-01-08,34.5572
2016-01-11,34.1419
2016-01-12,37.1122
2016-01-13,34.5861
2016-01-14,9.4708
2016-01-15,25.4403
2016-01-19,25.8062
2016-01-20,22.0275
2016-01-21,25.9374
2016-01-22,32.3112
2016-01-25,34.9458
2016-01-26,33.2965
2016-01-27,43.5582
2016-01-28,54.1829
2016-01-29,71.4789
2016-02-01,71.4904
2016-02-02,69.9866
2016-02-03,73.318
2016-02-04,76.9657
2016-02-05,72.0387
2016-02-08,70.7753
2016-02-09,76.4058
2016-02-10,75.8003
2016-02-11,71.5603
2016-02-12,74.6958
2016-02-16,75.3411
2016-02-17,75.4501
2016-02-18,82.868
2016-02-19,72.9078
2016-02-22,76.8526
2016-02-23,76.584
2016-02-24,74.3745
2016-02-25,69.5132
2016-02-26,71.7537
2016-02-29,76.7744
2016-03-01,81.5014
2016-03-02,81.8614
2016-03-03,84.7123
2016-03-04,85.7277
2016-03-07,85.7556
2016-03-08,80.3145
2016-03-09,59.7077
2016-03-10,58.752
2016-03-11,56.8693
2016-03-14,56.0507
2016-03-15,57.5564
2016-03-16,59.1741
2016-03-17,60.1334
2016-03-18,70.912
2016-03-21,62.0082
2016-03-22,40.7058
2016-03-23,36.2142
2016-03-24,28.8982
2016-03-28,27.5296
2016-03-29,32.9577
2016-03-30,42.1179
2016-03-31,45.4094
2016-04-01,42.0733
2016-04-04,46.2202
2016-04-05,44.3705
2016-04-06,44.4619
2016-04-07,45.5249
2016-04-08,38.1604
2016-04-11,44.3692
2016-04-12,67.3166
2016-04-13,75.9677
2016-04-14,76.4687
2016-04-15,76.9066
2016-04-18,76.2547
2016-04-19,72.6081
2016-04-20,81.5094
2016-04-21,83.3315
2016-04-22,85.94
2016-04-25,81.418
2016-04-26,83.0047
2016-04-27,82.3199
2016-04-28,78.4177
2016-04-29,45.8377
2016-05-02,46.7439
2016-05-03,42.7176
2016-05-04,41.0813
2016-05-05,39.6038
2016-05-06,37.9041
2016-05-09,38.2701
2016-05-10,32.1586
2016-05-11,31.3702
2016-05-12,23.0374
2016-05-13,23.6046
2016-05-16,21.0304
2016-05-17,18.3296
