date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,39.59,40.05,39.4258,39.46,3201915.0
2020-04-17,40.06,40.1268,39.5,40.08,2209947.0
2020-04-16,39.24,39.47,38.78,39.31,2497557.0
2020-04-15,38.76,39.19,38.54,38.91,4711319.0
2020-04-14,38.95,39.67,38.77,39.57,3303170.0
2020-04-13,38.02,38.23,37.465,38.11,2346027.0
2020-04-09,38.37,38.55,37.91,38.24,5040650.0
2020-04-08,37.28,38.023,36.8733,37.9,3141444.0
2020-04-07,38.18,38.23,36.8,36.85,4253607.0
2020-04-06,35.8,37.15,35.6299,36.95,2282062.0
2020-04-03,34.8,35.06,34.01,34.44,3559794.0
2020-04-02,34.05,34.945,33.94,34.91,2791752.0
2020-04-01,34.43,34.9961,33.88,34.16,4331725.0
2020-03-31,36.1,36.57,35.56,35.74,3095022.0
2020-03-30,35.34,36.3103,35.16,36.22,6519659.0
2020-03-27,35.3,36.0,34.76,34.98,8744270.0
2020-03-26,34.64,36.34,34.64,36.26,6494002.0
2020-03-25,34.3,35.58,33.47,34.21,6338574.0
2020-03-24,32.8731,34.06,32.76,34.02,6167013.0
2020-03-23,31.67,32.01,30.39,31.23,10030239.0
2020-03-20,33.88,34.12,31.81,31.92,5711643.0
2020-03-19,32.94,34.33,32.0487,33.33,6244681.0
2020-03-18,32.4,33.64,31.3298,32.99,8167957.0
2020-03-17,33.47,35.0177,32.3404,34.43,8132785.0
2020-03-16,33.07,35.1197,32.08,32.69,6778372.0
2020-03-13,35.47,37.2,34.18,37.14,9738255.0
2020-03-12,34.73,36.5,33.9,33.97,10071556.0
2020-03-11,38.19,38.37,36.8739,37.34,4192833.0
2020-03-10,38.61,39.27,37.2,39.27,4793166.0
2020-03-09,37.25,38.53,36.99,37.13,7797631.0
2020-03-06,39.5,40.31,39.09,40.09,2413164.0
2020-03-05,41.19,41.7,40.51,40.82,3728378.0
2020-03-04,41.29,42.23,40.9,42.19,2218879.0
2020-03-03,41.9,42.37,40.14,40.48,2373377.0
2020-03-02,40.25,41.76,39.766999999999996,41.76,5913951.0
2020-02-28,38.54,39.92,38.3353,39.9,8482915.0
2020-02-27,40.85,41.5059,39.84,39.84,3973174.0
2020-02-26,41.97,42.68,41.6255,41.84,2289871.0
2020-02-25,43.31,43.43,41.655,41.81,3190912.0
2020-02-24,42.97,43.5199,42.61,43.03,1863139.0
2020-02-21,45.11,45.1379,44.47,44.64,1308876.0
2020-02-20,45.54,45.6575,44.8,45.32,1162894.0
2020-02-19,45.5,45.73,45.46,45.63,5160125.0
2020-02-18,45.16,45.39,45.1006,45.3,877798.0
2020-02-14,45.32,45.41,45.2,45.4,620941.0
2020-02-13,45.05,45.41,44.99,45.21,711077.0
2020-02-12,45.15,45.27,44.995,45.26,760359.0
2020-02-11,45.13,45.2524,44.83,44.9,1345175.0
2020-02-10,44.29,44.94,44.29,44.94,945005.0
2020-02-07,44.48,44.6521,44.33,44.42,1109579.0
2020-02-06,44.53,44.66,44.36,44.66,1045607.0
2020-02-05,44.62,44.6361,44.11,44.36,883885.0
2020-02-04,43.89,44.1965,43.78,44.13,889253.0
2020-02-03,43.07,43.54,43.06,43.35,1238329.0
2020-01-31,43.73,43.73,42.75,42.89,1566490.0
2020-01-30,43.26,43.69,43.14,43.65,1198746.0
2020-01-29,43.74,43.795,43.4,43.53,1399201.0
2020-01-28,43.12,43.55,43.01,43.46,3404609.0
2020-01-27,42.78,43.085,42.6546,42.85,1074916.0
2020-01-24,44.13,44.18,43.44,43.61,1462114.0
2020-01-23,43.85,44.01,43.7,44.0,1266085.0
2020-01-22,44.06,44.18,43.89,43.89,3974397.0
2020-01-21,43.8,44.005,43.78,43.9,809844.0
2020-01-17,43.87,43.95,43.73,43.94,941978.0
2020-01-16,43.52,43.705,43.46,43.69,1109872.0
2020-01-15,43.2,43.4243,43.185,43.31,695107.0
2020-01-14,43.32,43.38,43.1201,43.19,981367.0
2020-01-13,43.07,43.35,43.025,43.35,1004070.0
2020-01-10,43.12,43.16,42.85,42.91,773781.0
2020-01-09,42.96,43.04,42.825,43.04,1570180.0
2020-01-08,42.36,42.8101,42.32,42.62,1716592.0
2020-01-07,42.39,42.475,42.26,42.35,9991294.0
2020-01-06,41.88,42.41,41.84,42.39,1728714.0
2020-01-03,42.0,42.3966,41.9203,42.19,2531145.0
2020-01-02,42.21,42.5,42.11,42.5,2202105.0
2019-12-31,41.75,41.95,41.6902,41.91,758074.0
2019-12-30,42.13,42.13,41.7,41.84,1209387.0
2019-12-27,42.26,42.26,42.03,42.13,610359.0
2019-12-26,41.89,42.13,41.87,42.13,484888.0
2019-12-24,41.83,41.83,41.7218,41.8,262330.0
2019-12-23,41.86,41.87,41.77,41.78,669394.0
2019-12-20,41.89,41.97,41.7931,41.9,2457759.0
2019-12-19,41.46,41.68,41.46,41.67,740290.0
2019-12-18,41.46,41.54,41.43,41.44,563407.0
2019-12-17,41.53,41.53,41.39,41.41,487295.0
2019-12-16,41.39,41.49,41.36,41.45,510167.0
2019-12-13,41.07,41.26,40.98,41.18,742290.0
2019-12-12,40.85,41.2211,40.7899,41.09,1526635.0
2019-12-11,40.78,40.87,40.7042,40.85,757417.0
2019-12-10,40.79,40.85,40.64,40.7,504478.0
2019-12-09,40.87,40.97,40.77,40.78,394105.0
2019-12-06,40.84,40.95,40.81,40.89,561270.0
2019-12-05,40.66,40.66,40.4013,40.58,524163.0
2019-12-04,40.51,40.62,40.4356,40.56,490985.0
2019-12-03,40.13,40.365,40.0,40.33,1065822.0
2019-12-02,40.98,40.98,40.39,40.52,1078341.0
2019-11-29,41.01,41.05,40.9,40.93,200506.0
2019-11-27,40.97,41.08,40.9067,41.08,400123.0
2019-11-26,40.73,40.9,40.68,40.88,558201.0
2019-11-25,40.51,40.69,40.5001,40.67,428272.0
2019-11-22,40.39,40.41,40.205,40.35,593700.0
2019-11-21,40.42,40.42,40.2,40.32,553737.0
2019-11-20,40.46,40.58,40.19,40.42,714248.0
2019-11-19,40.55,40.59,40.4099,40.53,864809.0
2019-11-18,40.4,40.46,40.3,40.41,702972.0
2019-11-15,40.28,40.41,40.21,40.4,529780.0
