date,MACD_Signal,MACD,MACD_Hist
2021-01-19,0.4882,0.392,-0.0961
2021-01-15,0.5122,0.4025,-0.1097
2021-01-14,0.5396,0.4751,-0.0646
2021-01-13,0.5558,0.5313,-0.0245
2021-01-12,0.5619,0.5394,-0.0225
2021-01-11,0.5675,0.5703,0.0028
2021-01-08,0.5668,0.5801,0.0133
2021-01-07,0.5635,0.513,-0.0505
2021-01-06,0.5761,0.4799,-0.0962
2021-01-05,0.6001,0.5477,-0.0525
2021-01-04,0.6133,0.5785,-0.0348
2020-12-31,0.622,0.6429,0.0209
2020-12-30,0.6167,0.6354,0.0187
2020-12-29,0.6121,0.6359,0.0238
2020-12-28,0.6061,0.6211,0.015
2020-12-24,0.6023,0.5811,-0.0212
2020-12-23,0.6077,0.5887,-0.0189
2020-12-22,0.6124,0.6205,0.0081
2020-12-21,0.6104,0.6224,0.012
2020-12-18,0.6074,0.6311,0.0238
2020-12-17,0.6014,0.6159,0.0145
2020-12-16,0.5978,0.5753,-0.0225
2020-12-15,0.6034,0.5506,-0.0528
2020-12-14,0.6166,0.5356,-0.081
2020-12-11,0.6369,0.5797,-0.0572
2020-12-10,0.6512,0.6244,-0.0268
2020-12-09,0.6579,0.6756,0.0177
2020-12-08,0.6535,0.732,0.0785
2020-12-07,0.6338,0.7172,0.0834
2020-12-04,0.613,0.6981,0.0851
2020-12-03,0.5917,0.6696,0.0778
2020-12-02,0.5722,0.66,0.0878
2020-12-01,0.5503,0.6301,0.0798
2020-11-30,0.5304,0.5756,0.0453
2020-11-27,0.5191,0.5648,0.0457
2020-11-25,0.5076,0.5397,0.032
2020-11-24,0.4996,0.5241,0.0245
2020-11-23,0.4935,0.5079,0.0144
2020-11-20,0.4899,0.5448,0.0549
2020-11-19,0.4762,0.589,0.1128
2020-11-18,0.44799999999999995,0.5962,0.1482
2020-11-17,0.4109,0.6262,0.2153
2020-11-16,0.3571,0.5935,0.2364
2020-11-13,0.298,0.5166,0.2186
2020-11-12,0.2433,0.4577,0.2144
2020-11-11,0.1897,0.4298,0.2401
2020-11-10,0.1297,0.3462,0.2165
2020-11-09,0.0756,0.3116,0.23600000000000002
2020-11-06,0.0166,0.2041,0.1875
2020-11-05,-0.0303,0.0374,0.0678
2020-11-04,-0.0473,-0.1697,-0.1224
2020-11-03,-0.0167,-0.3128,-0.2961
2020-11-02,0.0574,-0.3141,-0.3715
2020-10-30,0.1502,-0.2218,-0.3721
2020-10-29,0.2433,-0.0673,-0.3106
2020-10-28,0.3209,0.0425,-0.2785
2020-10-27,0.3905,0.2491,-0.1415
2020-10-26,0.4259,0.3151,-0.1108
2020-10-23,0.4536,0.409,-0.0446
2020-10-22,0.4648,0.4295,-0.0352
2020-10-21,0.4736,0.4718,-0.0018
2020-10-20,0.474,0.5229,0.0489
2020-10-19,0.4618,0.5725,0.1107
2020-10-16,0.4341,0.6497,0.2156
2020-10-15,0.3802,0.6546,0.2744
2020-10-14,0.3116,0.634,0.3224
2020-10-13,0.231,0.5771,0.3461
2020-10-12,0.1445,0.4617,0.3172
2020-10-09,0.0652,0.2862,0.221
2020-10-08,0.0099,0.1739,0.16399999999999998
2020-10-07,-0.031,0.0951,0.1261
2020-10-06,-0.0626,0.0256,0.0882
2020-10-05,-0.0846,0.031,0.1156
2020-10-02,-0.1135,-0.051,0.0625
2020-10-01,-0.1291,-0.0614,0.0678
2020-09-30,-0.1461,-0.157,-0.0109
2020-09-29,-0.1434,-0.2301,-0.0868
2020-09-28,-0.1217,-0.2855,-0.1639
2020-09-25,-0.0807,-0.3694,-0.2887
2020-09-24,-0.0085,-0.3847,-0.3761
2020-09-23,0.0855,-0.3041,-0.3896
2020-09-22,0.1829,-0.1797,-0.3626
2020-09-21,0.2735,-0.1482,-0.4217
2020-09-18,0.379,-0.0256,-0.4046
2020-09-17,0.4801,0.1094,-0.3707
2020-09-16,0.5728,0.2122,-0.3605
2020-09-15,0.6629,0.2837,-0.3793
2020-09-14,0.7577,0.3139,-0.4438
2020-09-11,0.8687,0.3977,-0.47100000000000003
2020-09-10,0.9865,0.5636,-0.4229
2020-09-09,1.0922,0.753,-0.3392
2020-09-08,1.177,0.8855,-0.2914
2020-09-04,1.2498,1.1715,-0.0783
2020-09-03,1.2694,1.3451,0.0757
2020-09-02,1.2505,1.4763,0.2258
2020-09-01,1.194,1.385,0.1909
2020-08-31,1.1463,1.3162,0.1699
2020-08-28,1.1038,1.2853,0.1815
2020-08-27,1.0584,1.2272,0.1687
