date,MFI
2021-01-19,41.5018
2021-01-15,38.3071
2021-01-14,42.8302
2021-01-13,42.6153
2021-01-12,40.941
2021-01-11,40.7252
2021-01-08,39.168
2021-01-07,38.641
2021-01-06,36.3126
2021-01-05,48.8717
2021-01-04,50.5046
2020-12-31,56.2173
2020-12-30,54.7602
2020-12-29,49.6038
2020-12-28,50.1158
2020-12-24,52.1841
2020-12-23,53.2392
2020-12-22,59.3631
2020-12-21,53.6007
2020-12-18,63.1233
2020-12-17,65.0204
2020-12-16,63.608000000000004
2020-12-15,65.7292
2020-12-14,64.7728
2020-12-11,38.7387
2020-12-10,39.1464
2020-12-09,39.5452
2020-12-08,38.858000000000004
2020-12-07,35.0951
2020-12-04,34.2953
2020-12-03,34.9391
2020-12-02,27.9994
2020-12-01,32.5309
2020-11-30,25.0019
2020-11-27,33.6634
2020-11-25,31.0662
2020-11-24,32.8733
2020-11-23,35.7837
2020-11-20,52.3322
2020-11-19,59.5357
2020-11-18,56.9299
2020-11-17,65.0772
2020-11-16,63.285
2020-11-13,62.7926
2020-11-12,58.5441
2020-11-11,66.8314
2020-11-10,62.0209
2020-11-09,63.8516
2020-11-06,54.8218
2020-11-05,55.0966
2020-11-04,53.3103
2020-11-03,43.8276
2020-11-02,38.9153
2020-10-30,25.6253
2020-10-29,31.8612
2020-10-28,27.2891
2020-10-27,33.9009
2020-10-26,37.9045
2020-10-23,36.6863
2020-10-22,37.5853
2020-10-21,35.8456
2020-10-20,44.5086
2020-10-19,52.8232
2020-10-16,59.8291
2020-10-15,59.2708
2020-10-14,66.8442
2020-10-13,63.1972
2020-10-12,62.3293
2020-10-09,69.5518
2020-10-08,63.7552
2020-10-07,56.9254
2020-10-06,51.4598
2020-10-05,53.8227
2020-10-02,54.3337
2020-10-01,61.5161
2020-09-30,51.7053
2020-09-29,45.0283
2020-09-28,48.5085
2020-09-25,42.6482
2020-09-24,35.4413
2020-09-23,33.9802
2020-09-22,38.4844
2020-09-21,35.5398
2020-09-18,40.0684
2020-09-17,44.8073
2020-09-16,49.013999999999996
2020-09-15,52.1586
2020-09-14,53.368
2020-09-11,54.1662
2020-09-10,61.246
2020-09-09,66.7472
2020-09-08,64.3123
2020-09-04,71.2732
2020-09-03,84.0586
2020-09-02,96.2033
2020-09-01,96.1255
2020-08-31,95.3368
2020-08-28,65.2473
2020-08-27,61.878
2020-08-26,56.6386
2020-08-25,55.7962
2020-08-24,52.5202
2020-08-21,50.7771
2020-08-20,51.2992
2020-08-19,52.2131
2020-08-18,45.5683
2020-08-17,45.2866
2020-08-14,40.7321
2020-08-13,45.4477
2020-08-12,38.6516
2020-08-11,31.8233
2020-08-10,48.9888
2020-08-07,56.5996
2020-08-06,62.4328
2020-08-05,62.5329
2020-08-04,56.7808
2020-08-03,56.6795
2020-07-31,47.203
2020-07-30,41.3917
2020-07-29,51.0152
2020-07-28,53.5005
2020-07-27,59.0893
2020-07-24,53.3226
2020-07-23,59.876000000000005
2020-07-22,69.3887
2020-07-21,70.8139
2020-07-20,69.5409
2020-07-17,62.2245
2020-07-16,55.4126
2020-07-15,53.4209
2020-07-14,45.5756
2020-07-13,66.0296
2020-07-10,70.4193
2020-07-09,70.0977
2020-07-08,66.1896
2020-07-07,67.0052
2020-07-06,72.1837
2020-07-02,72.6192
2020-07-01,64.5909
2020-06-30,58.0935
2020-06-29,59.0305
2020-06-26,72.8462
2020-06-25,77.0957
2020-06-24,81.1539
2020-06-23,83.3969
2020-06-22,79.8217
2020-06-19,80.0344
2020-06-18,79.9465
2020-06-17,79.2178
2020-06-16,78.8062
2020-06-15,68.4397
2020-06-12,68.0472
2020-06-11,72.5857
2020-06-10,74.2796
2020-06-09,73.7187
2020-06-08,50.5095
2020-06-05,49.0645
2020-06-04,49.0192
2020-06-03,46.0067
2020-06-02,39.3811
2020-06-01,32.2443
2020-05-29,31.506
2020-05-28,36.7175
2020-05-27,36.3146
2020-05-26,46.6567
2020-05-22,50.9848
2020-05-21,49.1068
2020-05-20,48.2606
2020-05-19,40.7586
2020-05-18,48.705
2020-05-15,41.7385
2020-05-14,41.6781
2020-05-13,48.7375
2020-05-12,56.5329
2020-05-11,63.8595
2020-05-08,57.0667
2020-05-07,49.7359
2020-05-06,50.2148
2020-05-05,51.6833
2020-05-04,39.864000000000004
2020-05-01,47.8339
2020-04-30,48.9484
2020-04-29,60.5182
2020-04-28,61.5692
2020-04-27,69.4591
2020-04-24,69.5913
2020-04-23,63.5742
2020-04-22,63.3437
2020-04-21,55.4625
2020-04-20,61.6155
2020-04-17,70.6796
2020-04-16,58.9332
2020-04-15,61.4294
2020-04-14,70.1943
2020-04-13,71.1876
2020-04-09,64.9215
2020-04-08,57.5133
2020-04-07,58.9456
2020-04-06,50.8368
2020-04-03,54.052
2020-04-02,52.2323
2020-04-01,55.9325
2020-03-31,52.7174
2020-03-30,48.8832
2020-03-27,48.1493
2020-03-26,48.3813
2020-03-25,43.3824
2020-03-24,37.5627
2020-03-23,35.2776
2020-03-20,37.8837
2020-03-19,45.2792
2020-03-18,36.7962
2020-03-17,38.092
2020-03-16,30.7759
2020-03-13,31.7928
2020-03-12,21.0484
2020-03-11,23.8637
2020-03-10,25.0667
2020-03-09,26.8424
2020-03-06,30.4665
2020-03-05,33.1711
2020-03-04,37.4542
2020-03-03,35.211999999999996
2020-03-02,39.8313
2020-02-28,31.1389
2020-02-27,39.1636
2020-02-26,48.3658
2020-02-25,55.5196
2020-02-24,66.5377
2020-02-21,75.3249
2020-02-20,74.5007
2020-02-19,74.5456
2020-02-18,67.6728
2020-02-14,77.5704
2020-02-13,72.1196
2020-02-12,65.2622
2020-02-11,59.4157
2020-02-10,64.3564
2020-02-07,64.0996
2020-02-06,69.1273
2020-02-05,69.188
2020-02-04,68.8817
2020-02-03,64.3813
2020-01-31,63.9812
2020-01-30,70.2853
2020-01-29,76.6487
2020-01-28,76.9623
2020-01-27,82.3507
2020-01-24,86.566
2020-01-23,83.5997
2020-01-22,88.4024
2020-01-21,84.1751
2020-01-17,80.0074
2020-01-16,79.7343
2020-01-15,79.2247
2020-01-14,77.861
2020-01-13,81.49
2020-01-10,82.4501
2020-01-09,82.4104
2020-01-08,81.6994
2020-01-07,80.7674
2020-01-06,68.6455
2020-01-03,66.4053
2020-01-02,83.0663
2019-12-31,80.9004
2019-12-30,82.8076
2019-12-27,89.2824
2019-12-26,89.2127
2019-12-24,89.2319
2019-12-23,91.8819
2019-12-20,82.9406
2019-12-19,69.6979
2019-12-18,65.7814
2019-12-17,65.1514
2019-12-16,65.3889
2019-12-13,65.0448
2019-12-12,64.4211
2019-12-11,53.2905
2019-12-10,44.1836
2019-12-09,52.5595
2019-12-06,58.7516
2019-12-05,58.5673
2019-12-04,58.9916
2019-12-03,48.7365
2019-12-02,60.1872
2019-11-29,64.9764
2019-11-27,66.4688
2019-11-26,67.593
2019-11-25,61.2654
2019-11-22,54.9003
2019-11-21,55.6258
2019-11-20,63.6335
2019-11-19,44.0285
2019-11-18,43.1069
2019-11-15,42.7416
2019-11-14,42.7476
2019-11-13,42.3847
2019-11-12,49.1881
2019-11-11,40.3654
2019-11-08,40.3746
2019-11-07,41.926
2019-11-06,37.7245
2019-11-05,42.7707
2019-11-04,43.4322
2019-11-01,42.7439
2019-10-31,36.4021
2019-10-30,66.9533
2019-10-29,68.2098
2019-10-28,69.4976
2019-10-25,61.5594
2019-10-24,61.9698
2019-10-23,62.7084
2019-10-22,75.9734
2019-10-21,71.8682
2019-10-18,64.8941
2019-10-17,68.7587
2019-10-16,61.2472
2019-10-15,66.3111
2019-10-14,61.6121
2019-10-11,59.9639
2019-10-10,54.6262
2019-10-09,46.3449
2019-10-08,48.7305
2019-10-07,49.1436
2019-10-04,71.7628
2019-10-03,68.4222
2019-10-02,62.5882
2019-10-01,67.5798
2019-09-30,72.0476
2019-09-27,68.6637
2019-09-26,68.9268
2019-09-25,69.1059
2019-09-24,72.1239
2019-09-23,75.4526
2019-09-20,69.5834
2019-09-19,73.3378
2019-09-18,72.5572
2019-09-17,73.2911
2019-09-16,54.693999999999996
2019-09-13,61.1272
2019-09-12,58.1445
2019-09-11,51.4321
2019-09-10,49.8533
2019-09-09,49.729
2019-09-06,55.4629
2019-09-05,58.0088
2019-09-04,49.9128
2019-09-03,40.1656
2019-08-30,62.1695
2019-08-29,57.1948
2019-08-28,52.0
2019-08-27,55.9023
2019-08-26,48.8719
2019-08-23,53.7385
2019-08-22,52.467
2019-08-21,50.6575
2019-08-20,46.3582
2019-08-19,46.0889
2019-08-16,43.0574
2019-08-15,38.0533
2019-08-14,41.4366
2019-08-13,44.0744
2019-08-12,28.9382
2019-08-09,33.0729
2019-08-08,34.3952
2019-08-07,28.4472
2019-08-06,31.0006
2019-08-05,12.2741
2019-08-02,14.0625
2019-08-01,20.3759
2019-07-31,28.3557
2019-07-30,36.6826
2019-07-29,46.3314
2019-07-26,57.1146
2019-07-25,50.9487
2019-07-24,50.3958
2019-07-23,50.2611
2019-07-22,56.9695
2019-07-19,64.4536
2019-07-18,73.4523
2019-07-17,78.9682
2019-07-16,67.8039
2019-07-15,64.851
2019-07-12,60.2958
2019-07-11,62.8316
2019-07-10,64.0049
2019-07-09,64.1084
2019-07-08,64.4139
2019-07-05,69.1021
2019-07-03,68.111
2019-07-02,69.1479
2019-07-01,60.0581
2019-06-28,54.523
2019-06-27,53.3251
2019-06-26,52.6852
2019-06-25,64.9207
2019-06-24,72.4564
2019-06-21,78.9337
2019-06-20,62.1462
2019-06-19,54.7744
2019-06-18,56.7562
2019-06-17,36.2629
2019-06-14,31.1832
2019-06-13,33.7323
2019-06-12,29.4801
2019-06-11,30.5706
2019-06-10,33.2999
2019-06-07,29.3698
2019-06-06,25.7461
2019-06-05,26.4418
2019-06-04,28.3671
2019-06-03,26.2469
2019-05-31,28.636999999999997
2019-05-30,33.5702
2019-05-29,26.3469
2019-05-28,41.4358
2019-05-24,41.5776
2019-05-23,36.8104
2019-05-22,44.7002
2019-05-21,44.4033
2019-05-20,39.6653
2019-05-17,39.0262
2019-05-16,45.8724
2019-05-15,44.6991
2019-05-14,41.1364
2019-05-13,40.4558
2019-05-10,49.1219
2019-05-09,48.4208
2019-05-08,49.7405
2019-05-07,50.9318
2019-05-06,60.6371
2019-05-03,62.2075
2019-05-02,60.0542
2019-05-01,66.8966
2019-04-30,73.1118
2019-04-29,69.7041
2019-04-26,62.7126
2019-04-25,62.9677
2019-04-24,55.1651
2019-04-23,56.3217
2019-04-22,56.6617
2019-04-18,61.5009
2019-04-17,67.8669
2019-04-16,73.17399999999999
2019-04-15,60.3542
2019-04-12,72.4856
2019-04-11,65.9661
2019-04-10,60.0894
2019-04-09,60.6323
2019-04-08,67.2413
2019-04-05,71.7867
2019-04-04,72.8052
2019-04-03,77.3507
2019-04-02,74.0143
2019-04-01,74.3908
2019-03-29,77.8453
2019-03-28,79.1388
2019-03-27,75.5483
2019-03-26,77.8816
2019-03-25,70.1957
2019-03-22,71.6299
2019-03-21,71.265
2019-03-20,71.4378
2019-03-19,70.9538
2019-03-18,65.8486
2019-03-15,61.8311
2019-03-14,61.2893
2019-03-13,64.6956
2019-03-12,59.0243
2019-03-11,42.6974
2019-03-08,37.2608
2019-03-07,43.5136
2019-03-06,45.4707
2019-03-05,51.8377
2019-03-04,59.8499
2019-03-01,71.8083
2019-02-28,71.9041
2019-02-27,62.1212
2019-02-26,60.1611
2019-02-25,66.5663
2019-02-22,68.3119
2019-02-21,74.2194
2019-02-20,81.2141
2019-02-19,82.4858
2019-02-15,75.8184
2019-02-14,71.722
2019-02-13,75.9369
2019-02-12,76.0101
2019-02-11,71.0699
2019-02-08,59.4195
2019-02-07,60.2273
2019-02-06,65.8156
2019-02-05,71.2079
2019-02-04,70.4544
2019-02-01,64.7167
2019-01-31,57.6961
2019-01-30,57.8119
2019-01-29,67.1497
2019-01-28,73.86
2019-01-25,77.5596
2019-01-24,78.3812
2019-01-23,70.4028
2019-01-22,66.2837
2019-01-18,78.4238
2019-01-17,80.8031
2019-01-16,82.669
