date,MACD,MACD_Hist,MACD_Signal
2021-01-29,2.3331,-1.4231,3.7561
2021-01-28,3.3184,-0.7936,4.1119
2021-01-27,3.7579,-0.5524,4.3103
2021-01-26,4.5922,0.1438,4.4484
2021-01-25,4.6351,0.2227,4.4125
2021-01-22,4.5614,0.2046,4.3568
2021-01-21,4.5548,0.2491,4.3056
2021-01-20,4.3416,0.0982,4.2434
2021-01-19,4.0419,-0.1769,4.2188
2021-01-15,4.1342,-0.1289,4.263
2021-01-14,4.4922,0.1969,4.2953
2021-01-13,4.6028,0.3567,4.246
2021-01-12,4.5415,0.3847,4.1568
2021-01-11,4.5012,0.4405,4.0607
2021-01-08,4.3923,0.4418,3.9506
2021-01-07,3.9278,0.0877,3.8401
2021-01-06,3.4978,-0.3204,3.8182
2021-01-05,3.4631,-0.4352,3.8983
2021-01-04,3.5945,-0.4126,4.0071
2020-12-31,3.9685,-0.1417,4.1102
2020-12-30,3.8699,-0.2757,4.1457
2020-12-29,3.8803,-0.3343,4.2146
2020-12-28,3.891,-0.4072,4.2982
2020-12-24,3.7757,-0.6243,4.4
2020-12-23,3.8965,-0.6595,4.5561
2020-12-22,4.1396,-0.5813,4.7209
2020-12-21,4.4232,-0.44299999999999995,4.8663
2020-12-18,4.6578,-0.3192,4.977
2020-12-17,4.7551,-0.3018,5.0568
2020-12-16,4.66,-0.4723,5.1323
2020-12-15,4.6807,-0.5697,5.2504
2020-12-14,4.6978,-0.695,5.3928
2020-12-11,5.1512,-0.4153,5.5665
2020-12-10,5.4887,-0.1816,5.6704
2020-12-09,5.796,0.0803,5.7158
2020-12-08,6.0918,0.3961,5.6957
2020-12-07,6.0442,0.4475,5.5967
2020-12-04,6.0049,0.5201,5.4848
2020-12-03,5.7904,0.4356,5.3548
2020-12-02,5.7528,0.5069,5.2459
2020-12-01,5.6109,0.4918,5.1191
2020-11-30,5.4263,0.4302,4.9962
2020-11-27,5.5133,0.6246,4.8886
2020-11-25,5.3808,0.6483,4.7325
2020-11-24,5.2359,0.6655,4.5704
2020-11-23,4.918,0.5139,4.404
2020-11-20,5.0246,0.7491,4.2755
2020-11-19,5.3036,1.2153,4.0883
2020-11-18,5.3342,1.5497,3.7844
2020-11-17,5.4477,2.0507,3.397
2020-11-16,5.0733,2.189,2.8843
2020-11-13,4.324,1.9869,2.3371
2020-11-12,3.7579,1.9175,1.8404
2020-11-11,3.4764,2.1154,1.361
2020-11-10,2.7158,1.8836,0.8321
2020-11-09,1.9721,1.6109,0.3612
2020-11-06,0.9415,0.983,-0.0415
2020-11-05,0.0585,0.3457,-0.2872
2020-11-04,-1.0776,-0.7039,-0.3737
2020-11-03,-1.8326,-1.6349,-0.1977
2020-11-02,-2.0083,-2.2193,0.2111
2020-10-30,-1.6122,-2.3781,0.7659
2020-10-29,-0.7122,-2.0726,1.3604
2020-10-28,0.0982,-1.7803,1.8786
2020-10-27,1.4677,-0.8559,2.3236
2020-10-26,2.0224,-0.5152,2.5376
2020-10-23,2.5823,-0.0842,2.6664
2020-10-22,2.6115,-0.076,2.6875
2020-10-21,2.7294,0.0229,2.7065
2020-10-20,3.0308,0.3301,2.7007
2020-10-19,3.3056,0.6874,2.6182
2020-10-16,3.7471,1.3007,2.4464
2020-10-15,3.7208,1.5996,2.1212
2020-10-14,3.6118,1.8905,1.7213
2020-10-13,3.3765,2.1278,1.2487
2020-10-12,2.8041,2.0874,0.7167
2020-10-09,1.7995,1.6046,0.1949
2020-10-08,1.0568,1.2631,-0.2063
2020-10-07,0.4048,0.9269,-0.5221
2020-10-06,-0.1272,0.6266,-0.7538
2020-10-05,-0.2132,0.6973,-0.9105
2020-10-02,-0.8096,0.2752,-1.0848
2020-10-01,-0.9589,0.1947,-1.1536
2020-09-30,-1.4598,-0.2576,-1.2023
2020-09-29,-1.8601,-0.7222,-1.1379
2020-09-28,-2.0884,-1.1311,-0.9573
2020-09-25,-2.5339,-1.8594,-0.6745
2020-09-24,-2.5122,-2.3025,-0.2097
2020-09-23,-1.9176,-2.2836,0.3659
2020-09-22,-1.0437,-1.9805,0.9368
2020-09-21,-0.6897,-2.1216,1.4319
2020-09-18,0.1098,-1.8525,1.9623
2020-09-17,0.7556,-1.6698,2.4255
2020-09-16,1.18,-1.6629,2.8429
2020-09-15,1.4037,-1.8549,3.2586
2020-09-14,1.5324,-2.1899,3.7224
2020-09-11,1.8471,-2.4228,4.2699
2020-09-10,2.6662,-2.2094,4.8755
2020-09-09,3.69,-1.7379,5.4279
2020-09-08,4.3473,-1.5151,5.8624
2020-09-04,5.7875,-0.4536,6.2411
2020-09-03,6.5964,0.2418,6.3545
2020-09-02,7.2481,0.9540000000000001,6.2941
2020-09-01,6.7315,0.6759,6.0556
2020-08-31,6.4892,0.6026,5.8866
2020-08-28,6.4177,0.6818,5.736000000000001
2020-08-27,6.105,0.5395,5.5655
2020-08-26,5.8441,0.4135,5.4307
2020-08-25,5.502999999999999,0.1757,5.3273
2020-08-24,5.3359,0.0525,5.2834
2020-08-21,5.1661,-0.1041,5.2702
2020-08-20,5.2216,-0.0746,5.2963
2020-08-19,5.3377,0.0228,5.3149
2020-08-18,5.5143,0.2051,5.3092
2020-08-17,5.5171,0.2591,5.257999999999999
2020-08-14,5.5141,0.3209,5.1932
2020-08-13,5.5381,0.4252,5.113
2020-08-12,5.4892,0.4826,5.0067
2020-08-11,5.2854,0.3994,4.886
2020-08-10,5.4169,0.6308,4.7862
2020-08-07,5.2263,0.5978,4.6285
2020-08-06,5.0079,0.5289,4.479
2020-08-05,4.6806,0.3338,4.3468
2020-08-04,4.4188,0.1555,4.2634
2020-08-03,4.2275,0.003,4.2245
2020-07-31,4.05,-0.1737,4.2237
2020-07-30,3.9938,-0.2733,4.2672
2020-07-29,4.1225,-0.213,4.3355
2020-07-28,4.1096,-0.2791,4.3888
2020-07-27,4.4323,-0.0262,4.4585
2020-07-24,4.5727,0.1076,4.4651
2020-07-23,4.9216,0.4834,4.4382
2020-07-22,5.0853,0.768,4.3174
2020-07-21,4.8265,0.7012,4.1254
2020-07-20,4.6128,0.6628,3.9501
2020-07-17,4.3427,0.5583,3.7844
2020-07-16,4.1972,0.5524,3.6448
2020-07-15,4.0444,0.5376,3.5067
2020-07-14,3.6834,0.3111,3.3723
2020-07-13,3.465,0.1705,3.2946
2020-07-10,3.5479,0.2959,3.2519
2020-07-09,3.3243,0.1463,3.178
2020-07-08,3.3147,0.1733,3.1414
2020-07-07,3.0725,-0.0255,3.0981
2020-07-06,2.9610000000000003,-0.1434,3.1044
2020-07-02,2.4455,-0.6948,3.1403
2020-07-01,2.2386,-1.0754,3.3139999999999996
2020-06-30,2.1146,-1.4682,3.5829
2020-06-29,2.1437,-1.8062,3.9499
2020-06-26,2.5435,-1.8579,4.4015
2020-06-25,3.4621,-1.4038,4.8659
2020-06-24,3.8471,-1.3698,5.2169
2020-06-23,4.6117,-0.9477,5.5593
2020-06-22,4.7167,-1.0795,5.7962
2020-06-19,4.9266,-1.1395,6.0661
2020-06-18,5.3227,-1.0283,6.351
2020-06-17,5.5726,-1.0355,6.6081
2020-06-16,5.8225,-1.0445,6.867000000000001
2020-06-15,5.9261,-1.202,7.1281
2020-06-12,6.5663,-0.8623,7.4286
2020-06-11,7.5734,-0.0707,7.6442
2020-06-10,9.1106,1.4488,7.6618
2020-06-09,9.0913,1.7917,7.2996
2020-06-08,8.7546,1.9028,6.8517
2020-06-05,7.9551,1.5791,6.376
2020-06-04,7.207000000000001,1.2258,5.9812
2020-06-03,6.9496,1.2748,5.6748
2020-06-02,6.4376,1.0815,5.3561
2020-06-01,6.1025,1.0168,5.0857
2020-05-29,5.8405,1.0090000000000001,4.8315
2020-05-28,5.5447,0.9655,4.5793
2020-05-27,5.2223,0.8844,4.3379
2020-05-26,4.6785,0.5617,4.1168
2020-05-22,4.3637,0.3873,3.9764
2020-05-21,4.2643,0.3848,3.8795
2020-05-20,4.1318,0.3485,3.7833
2020-05-19,3.6965,0.0003,3.6962
2020-05-18,3.5857,-0.1104,3.6961
2020-05-15,3.0876,-0.6361,3.7237
2020-05-14,3.2835,-0.5993,3.8827
2020-05-13,3.6175,-0.4151,4.0326
2020-05-12,4.3299,0.1936,4.1363
2020-05-11,4.6666,0.5786,4.0879
2020-05-08,4.4423,0.499,3.9433
2020-05-07,4.0975,0.27899999999999997,3.8185
2020-05-06,4.0763,0.3275,3.7488
2020-05-05,4.3348,0.6679,3.6669
2020-05-04,4.4066,0.9067,3.4999
2020-05-01,4.6976,1.4243,3.2733
2020-04-30,5.079,2.1618,2.9172
2020-04-29,4.718999999999999,2.3422,2.3767
2020-04-28,3.9163,2.1252,1.7912
2020-04-27,3.5868,2.327,1.2599
2020-04-24,2.9814,2.3033,0.6781
2020-04-23,2.5755,2.4732,0.1023
2020-04-22,2.411,2.927,-0.516
2020-04-21,2.164,3.4117,-1.2477
2020-04-20,2.4264,4.5271,-2.1007
2020-04-17,1.8665,5.099,-3.2324
2020-04-16,0.6171,5.1243,-4.5072
2020-04-15,-0.2286,5.5596,-5.7883
2020-04-14,-1.17,6.0082,-7.1782
2020-04-13,-2.9608,5.7194,-8.6802
2020-04-09,-4.386,5.724,-10.1101
2020-04-08,-6.3967,5.1443,-11.5411
2020-04-07,-8.4509,4.3763,-12.8272
2020-04-06,-10.0551,3.8662,-13.9212
2020-04-03,-11.9292,2.9586,-14.8878
2020-04-02,-12.4719,3.1555,-15.6274
2020-04-01,-13.3491,3.0671,-16.4163
2020-03-31,-13.7036,3.4794,-17.1831
2020-03-30,-15.1229,2.93,-18.0529
2020-03-27,-17.1065,1.6789,-18.7854
2020-03-26,-18.5621,0.6431,-19.2052
2020-03-25,-20.9321,-1.5662,-19.3659
2020-03-24,-22.204,-3.2296,-18.9744
2020-03-23,-23.1385,-4.9716,-18.167
2020-03-20,-21.964000000000002,-5.0399,-16.9241
2020-03-19,-20.7335,-5.0695,-15.6641
2020-03-18,-19.891,-5.4943,-14.3967
2020-03-17,-18.4754,-5.4522,-13.0231
2020-03-16,-17.6787,-6.0186,-11.6601
2020-03-13,-15.1108,-4.9553,-10.1554
2020-03-12,-14.5579,-5.6413,-8.9166
2020-03-11,-11.5213,-4.015,-7.5063
2020-03-10,-10.1007,-3.5982,-6.5025
2020-03-09,-9.5454,-3.9424,-5.603
2020-03-06,-7.2799,-2.6626,-4.6173
2020-03-05,-6.6036,-2.6519,-3.9517
2020-03-04,-6.1439,-2.8551,-3.2887
2020-03-03,-6.5068,-3.9319,-2.5749
2020-03-02,-5.6145,-4.0226,-1.5919999999999999
2020-02-28,-5.2782,-4.6919,-0.5863
2020-02-27,-3.4903,-4.0769,0.5866
2020-02-26,-1.2824,-2.8882,1.6059
2020-02-25,0.1566,-2.1714,2.3279
2020-02-24,1.876,-0.9947,2.8708
2020-02-21,3.0672,-0.0523,3.1195
2020-02-20,3.4379,0.3053,3.1325
2020-02-19,3.5143,0.4581,3.0562
2020-02-18,3.4218,0.4801,2.9417
2020-02-14,3.4148,0.5931,2.8217
2020-02-13,3.2693,0.5959,2.6734
2020-02-12,3.09,0.5656,2.5244
2020-02-11,2.7803,0.3973,2.383
