date,MFI
2021-01-19,61.5739
2021-01-15,61.0053
2021-01-14,69.7187
2021-01-13,75.3959
2021-01-12,69.9572
2021-01-11,77.1028
2021-01-08,70.6638
2021-01-07,70.3855
2021-01-06,70.0197
2021-01-05,68.5656
2021-01-04,68.6224
2020-12-31,72.7622
2020-12-30,65.4582
2020-12-29,58.0982
2020-12-28,57.5347
2020-12-24,52.5454
2020-12-23,53.8009
2020-12-22,54.6052
2020-12-21,54.7703
2020-12-18,53.5211
2020-12-17,56.9908
2020-12-16,55.0556
2020-12-15,54.2634
2020-12-14,54.0263
2020-12-11,53.5862
2020-12-10,52.8595
2020-12-09,52.8182
2020-12-08,53.1781
2020-12-07,46.5185
2020-12-04,53.8917
2020-12-03,54.4461
2020-12-02,46.9273
2020-12-01,52.8906
2020-11-30,44.0413
2020-11-27,57.5816
2020-11-25,52.3003
2020-11-24,53.8408
2020-11-23,56.3091
2020-11-20,57.2286
2020-11-19,63.6127
2020-11-18,60.9799
2020-11-17,60.3417
2020-11-16,57.9361
2020-11-13,52.5507
2020-11-12,46.68
2020-11-11,51.1635
2020-11-10,46.7372
2020-11-09,52.5689
2020-11-06,47.7292
2020-11-05,48.0496
2020-11-04,48.3646
2020-11-03,39.7385
2020-11-02,32.4255
2020-10-30,24.8793
2020-10-29,33.6527
2020-10-28,40.542
2020-10-27,48.7996
2020-10-26,55.4156
2020-10-23,55.5305
2020-10-22,55.3207
2020-10-21,53.4677
2020-10-20,54.5869
2020-10-19,56.455
2020-10-16,57.5179
2020-10-15,56.2783
2020-10-14,62.8743
2020-10-13,62.0213
2020-10-12,61.1837
2020-10-09,60.3291
2020-10-08,52.3184
2020-10-07,45.2669
2020-10-06,38.771
2020-10-05,39.0341
2020-10-02,39.4317
2020-10-01,46.253
2020-09-30,38.3235
2020-09-29,29.1721
2020-09-28,36.3289
2020-09-25,29.2909
2020-09-24,22.0279
2020-09-23,20.7108
2020-09-22,26.6149
2020-09-21,26.3332
2020-09-18,32.3024
2020-09-17,37.8779
2020-09-16,43.9249
2020-09-15,49.6105
2020-09-14,48.9831
2020-09-11,48.236999999999995
2020-09-10,54.5429
2020-09-09,57.0471
2020-09-08,49.3865
2020-09-04,57.3985
2020-09-03,68.7549
2020-09-02,78.6111
2020-09-01,77.6476
2020-08-31,77.5306
2020-08-28,67.7154
2020-08-27,67.4162
2020-08-26,67.2662
2020-08-25,66.8339
2020-08-24,66.9792
2020-08-21,66.5743
2020-08-20,66.3936
2020-08-19,74.1846
2020-08-18,75.1298
2020-08-17,75.4007
2020-08-14,68.5967
2020-08-13,74.9982
2020-08-12,66.7056
2020-08-11,58.1889
2020-08-10,66.4737
2020-08-07,66.9591
2020-08-06,66.8352
2020-08-05,67.597
2020-08-04,61.5379
2020-08-03,63.4464
2020-07-31,55.0098
2020-07-30,55.7337
2020-07-29,62.1262
2020-07-28,54.9812
2020-07-27,60.7672
2020-07-24,53.9017
2020-07-23,60.7872
2020-07-22,68.2902
2020-07-21,68.6396
2020-07-20,70.1594
2020-07-17,70.6888
2020-07-16,61.3065
2020-07-15,59.6726
2020-07-14,50.3116
2020-07-13,57.1783
2020-07-10,49.6679
2020-07-09,52.7823
2020-07-08,52.9472
2020-07-07,53.9907
2020-07-06,62.2411
2020-07-02,64.1314
2020-07-01,54.371
2020-06-30,45.5964
2020-06-29,39.1232
2020-06-26,34.2801
2020-06-25,40.1602
2020-06-24,47.9307
2020-06-23,49.5866
2020-06-22,50.3141
2020-06-19,54.8728
2020-06-18,52.4899
2020-06-17,51.29600000000001
2020-06-16,51.4526
2020-06-15,50.2904
2020-06-12,48.7248
2020-06-11,53.3856
2020-06-10,59.0387
2020-06-09,66.5043
2020-06-08,65.9984
2020-06-05,67.0142
2020-06-04,65.5718
2020-06-03,63.7589
2020-06-02,54.6208
2020-06-01,48.3584
2020-05-29,49.1286
2020-05-28,56.4968
2020-05-27,55.8387
2020-05-26,49.0978
2020-05-22,48.5805
2020-05-21,48.0756
2020-05-20,46.5214
2020-05-19,39.0431
2020-05-18,46.861000000000004
2020-05-15,46.1793
2020-05-14,44.8953
2020-05-13,52.3432
2020-05-12,61.8119
2020-05-11,69.0489
2020-05-08,60.9302
2020-05-07,54.254
2020-05-06,56.5273
2020-05-05,54.6149
2020-05-04,47.972
2020-05-01,54.7698
2020-04-30,55.288999999999994
2020-04-29,64.6526
2020-04-28,65.1749
2020-04-27,66.8279
2020-04-24,68.5147
2020-04-23,62.7316
2020-04-22,63.7641
2020-04-21,56.7829
2020-04-20,55.2551
2020-04-17,61.2053
2020-04-16,52.821999999999996
2020-04-15,60.5686
2020-04-14,67.8454
2020-04-13,68.6929
2020-04-09,64.906
2020-04-08,55.6868
2020-04-07,57.2048
2020-04-06,49.0277
2020-04-03,49.9959
2020-04-02,47.8051
2020-04-01,50.1553
2020-03-31,47.4828
2020-03-30,46.5341
2020-03-27,48.2692
2020-03-26,47.0129
2020-03-25,40.6615
