date,1. open,2. high,3. low,4. close,5. volume
2021-02-12,265.15,273.84,262.5312,272.75,6780809.0
2021-02-11,262.0,269.6651,258.5,265.93,10214068.0
2021-02-10,259.77,263.15,252.75,257.49,8581649.0
2021-02-09,256.58,262.57,250.55,258.12,10758233.0
2021-02-08,245.08,264.2669,244.0,259.97,16955590.0
2021-02-05,238.0,240.57,235.27,240.38,5029227.0
2021-02-04,233.53,239.31,231.07,237.72,8727323.0
2021-02-03,228.5,234.57,221.88,227.94,5193375.0
2021-02-02,225.19,230.2199,221.99,227.63,6469855.0
2021-02-01,215.81,223.01,213.44,221.94,7500931.0
2021-01-29,224.97,225.9,212.58,215.96,9383862.0
2021-01-28,208.72,222.58,206.56,219.91,12500800.0
2021-01-27,204.01,209.3503,197.7,202.46,10892749.0
2021-01-26,217.09,219.0,208.71,209.17,10039511.0
2021-01-25,225.0,225.94,209.75,216.64,11328134.0
2021-01-22,219.0,222.91,217.71,222.88,6867511.0
2021-01-21,227.0,227.5,218.2001,219.62,10472442.0
2021-01-20,230.12,230.88,225.5,226.65,6012419.0
2021-01-19,231.07,231.59,223.25,227.26,6505627.0
2021-01-15,233.63,236.43,225.58,227.75,7049176.0
2021-01-14,233.9,238.76,229.59,232.79,6706528.0
2021-01-13,228.95,234.8213,226.8,230.92,7601353.0
2021-01-12,228.51,229.3299,223.72,227.52,8414034.0
2021-01-11,231.61,232.74,225.3,225.5,14107525.0
2021-01-08,244.35,246.49,237.18,241.45,9102059.0
2021-01-07,232.52,240.4,231.5,239.48,10214207.0
2021-01-06,223.41,233.5,223.161,226.89,12003503.0
2021-01-05,219.42,230.34,219.0,229.75,9699380.0
2021-01-04,222.495,225.98,216.0,221.16,9838438.0
2020-12-31,217.71,219.45,214.42,217.64,6872354.0
2020-12-30,215.94,221.51,214.0671,221.04,9836969.0
2020-12-29,223.88,224.59,208.81,214.0,15453083.0
2020-12-28,232.38,232.95,219.65,223.34,11586764.0
2020-12-24,234.23,236.0,225.9,228.28,8411200.0
2020-12-23,241.36,241.82,230.58,230.68,13482696.0
2020-12-22,236.5,243.38,236.0,241.58,9440011.0
2020-12-21,236.09,241.85,232.26,233.5,11155405.0
2020-12-18,235.0,236.37,231.1,235.45,8099521.0
2020-12-17,230.0,237.09,227.7,230.74,10440067.0
2020-12-16,223.86,227.96,220.03,227.08,8216471.0
2020-12-15,218.415,221.7199,216.7301,219.99,5713631.0
2020-12-14,218.01,220.43,214.5008,215.86,7379020.0
2020-12-11,218.26,222.2,213.17,216.59,7914599.0
2020-12-10,205.39,217.61,203.57,217.25,7919206.0
2020-12-09,213.96,220.5,205.01,207.04,11133017.0
2020-12-08,213.33,213.9,208.25,213.01,5373248.0
2020-12-07,209.79,213.6615,208.25,212.58,5895304.0
2020-12-04,206.29,209.75,203.58,208.15,6566152.0
2020-12-03,207.0,208.69,204.05,205.53,6918231.0
2020-12-02,200.13,204.0596,195.13,202.0,10483654.0
