date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,12.92,13.04,12.47,13.02,53187776.0
2020-04-17,12.43,13.16,12.35,12.61,71786584.0
2020-04-16,13.23,13.65,12.73,12.93,89981612.0
2020-04-15,13.87,14.13,13.35,13.67,65712361.0
2020-04-14,14.3,14.46,13.12,13.23,82083411.0
2020-04-13,15.94,16.23,15.13,15.22,71372929.0
2020-04-09,15.42,16.18,15.18,15.75,99448705.0
2020-04-08,16.41,16.9,15.65,15.83,83758657.0
2020-04-07,15.42,16.98,15.32,16.9,103834025.0
2020-04-06,19.09,19.4801,16.55,16.95,90349139.0
2020-04-03,20.84,22.22,20.31,21.46,79212431.0
2020-04-02,22.26,22.48,20.61,20.65,101897724.0
2020-04-01,21.2,22.43,20.34,21.95,89335149.0
2020-03-31,19.16,19.86,18.08,19.46,92329346.0
2020-03-30,20.76,21.02,18.91,19.04,87149335.0
2020-03-27,20.89,21.5599,19.84,21.35,82894048.0
2020-03-26,22.54,22.64,19.21,19.47,111959012.0
2020-03-25,22.43,24.03,20.56,23.16,105382913.0
2020-03-24,24.96,25.69,22.81,22.84,109072625.0
2020-03-23,29.21,32.25,27.5999,29.48,100984745.0
2020-03-20,24.72,29.76,24.25,29.32,104093210.0
2020-03-19,27.33,29.32,23.82,26.6,103880474.0
2020-03-18,29.26,31.0,26.1099,26.94,85117565.0
2020-03-17,28.59,31.5902,23.73,25.08,104431204.0
2020-03-16,30.0,31.46,26.16,30.69,84507406.0
2020-03-13,27.03,31.8,23.0,23.12,96252990.0
2020-03-12,30.3,32.43,27.1,32.27,85814002.0
2020-03-11,24.05,26.16,23.53,25.28,60826763.0
2020-03-10,23.69,26.74,22.5,22.5,72894209.0
2020-03-09,26.75,27.03,24.33,26.66,65395211.0
2020-03-06,23.165,23.67,21.81,22.09,80420460.0
2020-03-05,20.82,21.47,19.8,21.04,56580496.0
2020-03-04,20.84,21.45,19.31,19.33,63993446.0
2020-03-03,19.93,22.5698,19.2201,22.08,86612280.0
2020-03-02,22.71,23.7,20.04,20.07,75917041.0
2020-02-28,26.13,26.4,23.27,23.4,126187617.0
2020-02-27,22.25,23.83,21.29,23.76,106039712.0
2020-02-26,20.64,21.14,19.56,20.67,76160089.0
2020-02-25,18.93,21.16,18.73,20.97,88666664.0
2020-02-24,19.3,19.66,18.76,19.41,70100075.0
2020-02-21,16.67,17.59,16.61,17.39,38393890.0
2020-02-20,16.09,17.025,16.0,16.45,30955789.0
2020-02-19,16.17,16.23,15.89,15.99,16043473.0
2020-02-18,16.73,16.78,16.36,16.45,19503272.0
2020-02-14,16.55,16.71,16.43,16.49,16139167.0
2020-02-13,16.91,16.9564,16.41,16.62,20986422.0
2020-02-12,16.75,16.87,16.52,16.55,15996931.0
2020-02-11,16.77,17.18,16.6,17.04,24739779.0
2020-02-10,17.87,17.88,17.04,17.04,19106704.0
2020-02-07,17.69,17.84,17.4,17.68,22098677.0
2020-02-06,17.79,17.9799,17.44,17.46,17405646.0
2020-02-05,17.44,18.24,17.44,17.9,27763606.0
2020-02-04,18.64,18.83,17.99,18.11,35101555.0
2020-02-03,20.06,20.1,19.28,19.44,31043928.0
2020-01-31,19.171,20.55,19.17,20.36,36588990.0
2020-01-30,20.0,20.19,19.39,19.41,30162232.0
2020-01-29,19.38,19.88,19.32,19.63,19236763.0
2020-01-28,20.24,20.39,19.57,19.71,21050544.0
2020-01-27,20.75,20.92,20.35,20.66,29326446.0
2020-01-24,18.72,19.72,18.6425,19.46,24606767.0
2020-01-23,19.19,19.45,18.95,18.97,17769813.0
2020-01-22,19.01,19.22,18.81,19.15,13622848.0
2020-01-21,19.44,19.45,19.15,19.3,12191014.0
2020-01-17,19.305,19.6,19.22,19.26,13978421.0
2020-01-16,19.84,19.96,19.55,19.56,15868907.0
2020-01-15,20.12,20.32,19.84,20.13,19290911.0
2020-01-14,19.96,20.24,19.84,20.14,23564641.0
2020-01-13,20.38,20.465,19.9,19.9,15550196.0
2020-01-10,20.23,20.72,20.21,20.62,19358827.0
2020-01-09,20.49,20.83,20.34,20.45,17435114.0
2020-01-08,21.48,21.5796,20.69,20.98,18382581.0
2020-01-07,21.43,21.67,21.28,21.46,12634072.0
2020-01-06,22.39,22.47,21.45,21.45,15763776.0
2020-01-03,22.13,22.14,21.49,21.87,18249380.0
2020-01-02,21.84,21.97,21.3,21.3,16227131.0
2019-12-31,22.73,22.833,22.35,22.39,11602717.0
2019-12-30,22.12,22.84,22.08,22.52,15856513.0
2019-12-27,21.79,22.25,21.771,22.09,11113204.0
2019-12-26,22.5,22.51,22.01,22.01,7152635.0
2019-12-24,22.58,22.76,22.55,22.61,3517067.0
2019-12-23,22.68,22.8,22.63,22.74,5921965.0
2019-12-20,22.86,23.0581,22.8,22.93,9377271.0
2019-12-19,23.61,23.61,23.17,23.18,8495733.0
2019-12-18,23.63,23.7,23.4301,23.66,7796341.0
2019-12-17,23.64,23.8,23.57,23.71,8224941.0
2019-12-16,23.99,24.0,23.63,23.75,10097462.0
2019-12-13,24.74,24.89,24.18,24.45,18650107.0
2019-12-12,25.33,25.44,24.4,24.68,22925801.0
2019-12-11,25.5,25.6,25.175,25.24,7953211.0
2019-12-10,25.55,25.83,25.2901,25.64,10605330.0
2019-12-09,25.38,25.61,25.02,25.58,8374937.0
2019-12-06,25.53,25.56,25.18,25.27,11507829.0
2019-12-05,25.95,26.459,25.95,26.08,9873215.0
2019-12-04,26.195,26.33,26.02,26.21,11547478.0
2019-12-03,27.04,27.4593,26.5802,26.61,20517519.0
2019-12-02,25.21,26.42,25.1918,26.05,18130660.0
2019-11-29,25.05,25.26,24.95,25.23,6135787.0
2019-11-27,25.23,25.3,24.87,24.89,9477553.0
2019-11-26,25.51,25.61,25.3,25.4,8132099.0
2019-11-25,26.14,26.14,25.52,25.53,9792390.0
