date,MACD,MACD_Signal,MACD_Hist
2021-02-12,0.4092,0.2143,0.195
2021-02-11,0.2843,0.1168,0.1675
2021-02-10,0.227,0.033,0.194
2021-02-09,0.256,-0.064,0.32
2021-02-08,0.1719,-0.224,0.3959
2021-02-05,-0.0002,-0.4219,0.4217
2021-02-04,-0.244,-0.6328,0.3888
2021-02-03,-0.6143,-0.8272,0.2129
2021-02-02,-0.9751,-0.9337,-0.0414
2021-02-01,-1.2661,-0.913,-0.3531
2021-01-29,-0.7571,-0.1279,-0.6292
2021-01-28,-0.4827,0.0294,-0.5121
2021-01-27,-0.212,0.1574,-0.3694
2021-01-26,0.1732,0.2498,-0.0765
2021-01-25,0.2246,0.2689,-0.0443
2021-01-22,0.295,0.28,0.015
2021-01-21,0.292,0.2762,0.0158
2021-01-20,0.2595,0.2723,-0.0127
2021-01-19,0.2296,0.2754,-0.0459
2021-01-15,0.2348,0.2869,-0.0521
2021-01-14,0.28800000000000003,0.2999,-0.0119
2021-01-13,0.2906,0.3029,-0.0123
2021-01-12,0.2643,0.306,-0.0417
2021-01-11,0.2624,0.3164,-0.054000000000000006
2021-01-08,0.2949,0.3299,-0.035
2021-01-07,0.2334,0.3386,-0.1053
2021-01-06,0.1768,0.365,-0.1881
2021-01-05,0.2223,0.412,-0.1897
2021-01-04,0.2883,0.4594,-0.1712
2020-12-31,0.4324,0.5022,-0.0698
2020-12-30,0.4279,0.5197,-0.0918
2020-12-29,0.4168,0.5426,-0.1258
2020-12-28,0.4731,0.5741,-0.101
2020-12-24,0.4392,0.5993,-0.1601
2020-12-23,0.4049,0.6393,-0.2344
2020-12-22,0.4203,0.6979,-0.2776
2020-12-21,0.5215,0.7673,-0.2458
2020-12-18,0.6848,0.8288,-0.14400000000000002
2020-12-17,0.7162,0.8648,-0.1485
2020-12-16,0.6971,0.9019,-0.2048
2020-12-15,0.6941,0.9531,-0.259
2020-12-14,0.7566,1.0179,-0.2613
2020-12-11,0.9067,1.0832,-0.1765
2020-12-10,1.0384,1.1273,-0.08900000000000001
2020-12-09,1.1149,1.1496,-0.0347
2020-12-08,1.1781,1.1582,0.0198
2020-12-07,1.1591,1.1533,0.0058
2020-12-04,1.1892,1.1518,0.0374
2020-12-03,1.2033,1.1425,0.0608
2020-12-02,1.2373,1.1273,0.11
2020-12-01,1.2384,1.0998,0.1386
2020-11-30,1.239,1.0651,0.1739
2020-11-27,1.2024,1.0217,0.1807
2020-11-25,1.1749,0.9765,0.1984
2020-11-24,1.1064,0.9269,0.1795
2020-11-23,1.0792,0.882,0.1972
2020-11-20,1.0655,0.8327,0.2328
2020-11-19,1.0559,0.7745,0.2814
2020-11-18,1.0314,0.7042,0.3272
2020-11-17,1.0217,0.6224,0.3993
2020-11-16,0.9171,0.5225,0.3945
2020-11-13,0.8089,0.4239,0.385
2020-11-12,0.7008,0.3276,0.3732
2020-11-11,0.679,0.2343,0.4446
2020-11-10,0.4966,0.1232,0.3734
2020-11-09,0.3014,0.0298,0.2716
2020-11-06,0.11,-0.0381,0.1481
2020-11-05,-0.0962,-0.0751,-0.0211
2020-11-04,-0.2287,-0.0698,-0.1589
2020-11-03,-0.362,-0.0301,-0.3319
2020-11-02,-0.374,0.0529,-0.4269
2020-10-30,-0.2912,0.1596,-0.4509
2020-10-29,-0.1407,0.2723,-0.413
2020-10-28,-0.0075,0.3756,-0.3831
2020-10-27,0.2908,0.4713,-0.1806
2020-10-26,0.4067,0.5165,-0.1098
2020-10-23,0.564,0.5439,0.02
2020-10-22,0.561,0.5389,0.0221
2020-10-21,0.5471,0.5334,0.0137
2020-10-20,0.5641,0.53,0.0341
2020-10-19,0.6244,0.5215,0.1029
2020-10-16,0.6913,0.4957,0.1955
2020-10-15,0.6821,0.4468,0.2353
2020-10-14,0.6503,0.388,0.2622
2020-10-13,0.5839,0.3225,0.2614
2020-10-12,0.5029,0.2571,0.2458
2020-10-09,0.3729,0.1957,0.1772
2020-10-08,0.2351,0.1514,0.0837
2020-10-07,0.1525,0.1304,0.0221
2020-10-06,0.1172,0.1249,-0.0077
2020-10-05,0.1285,0.1268,0.0016
2020-10-02,0.1176,0.1264,-0.0089
2020-10-01,0.1539,0.1286,0.0252
2020-09-30,0.14800000000000002,0.1223,0.0257
2020-09-29,0.1242,0.1159,0.0083
2020-09-28,0.092,0.1138,-0.0218
2020-09-25,0.0883,0.1193,-0.031
2020-09-24,0.0883,0.127,-0.0387
2020-09-23,0.1318,0.1367,-0.0049
2020-09-22,0.2191,0.1379,0.0812
2020-09-21,0.2347,0.1176,0.1171
2020-09-18,0.2379,0.0883,0.1495
2020-09-17,0.1743,0.051,0.1234
2020-09-16,0.0927,0.0201,0.0726
2020-09-15,0.027000000000000003,0.002,0.025
2020-09-14,-0.0502,-0.0043,-0.046
2020-09-11,-0.1481,0.0072,-0.1553
2020-09-10,-0.2372,0.046,-0.2832
2020-09-09,-0.2385,0.1168,-0.3553
2020-09-08,-0.2591,0.2057,-0.4648
2020-09-04,-0.1952,0.3218,-0.517
2020-09-03,-0.0679,0.4511,-0.519
2020-09-02,0.232,0.5808,-0.3489
2020-09-01,0.3772,0.6681,-0.2909
2020-08-31,0.5132,0.7408,-0.2276
2020-08-28,0.6519,0.7977,-0.1458
2020-08-27,0.7308,0.8342,-0.1034
2020-08-26,0.8311,0.86,-0.0289
2020-08-25,0.8869,0.8672,0.0197
2020-08-24,0.9015,0.8623,0.0392
2020-08-21,0.9193,0.8525,0.0668
2020-08-20,0.9347,0.8358,0.0989
2020-08-19,0.9315,0.8111,0.1205
2020-08-18,0.9364,0.7809999999999999,0.1554
2020-08-17,0.8913,0.7421,0.1492
2020-08-14,0.8402,0.7048,0.1354
2020-08-13,0.8227,0.6709999999999999,0.1518
2020-08-12,0.7895,0.633,0.1565
2020-08-11,0.7367,0.5939,0.1428
2020-08-10,0.7562,0.5582,0.198
2020-08-07,0.6898,0.5087,0.1811
2020-08-06,0.6438,0.4634,0.1804
2020-08-05,0.5859,0.4183,0.1676
2020-08-04,0.5228,0.3764,0.1464
2020-08-03,0.4724,0.3398,0.1326
2020-07-31,0.4541,0.3067,0.1475
2020-07-30,0.4212,0.2698,0.1513
2020-07-29,0.4198,0.232,0.1878
2020-07-28,0.3732,0.185,0.1882
2020-07-27,0.3399,0.138,0.2019
2020-07-24,0.2996,0.0875,0.212
2020-07-23,0.2936,0.0345,0.2591
2020-07-22,0.2746,-0.0303,0.3049
2020-07-21,0.1874,-0.1065,0.2939
2020-07-20,0.0956,-0.18,0.2756
2020-07-17,-0.0442,-0.2489,0.2047
2020-07-16,-0.1426,-0.3001,0.1574
2020-07-15,-0.2092,-0.3394,0.1303
2020-07-14,-0.2635,-0.3720000000000001,0.1084
2020-07-13,-0.2843,-0.3991,0.1148
2020-07-10,-0.2151,-0.4278,0.2127
2020-07-09,-0.2794,-0.481,0.2016
2020-07-08,-0.3146,-0.5314,0.2168
