date,MACD_Hist,MACD,MACD_Signal
2021-02-12,-0.0603,0.43700000000000006,0.4974
2021-02-11,-0.0337,0.4939,0.5275
2021-02-10,-0.0022,0.5422,0.5443
2021-02-09,0.0068,0.5522,0.5454
2021-02-08,0.0411,0.5831,0.5421
2021-02-05,0.0966,0.6181,0.5215
2021-02-04,0.1305,0.6038,0.4732
2021-02-03,0.1671,0.575,0.4079
2021-02-02,0.1816,0.5061,0.3244
2021-02-01,0.0864,0.32,0.2336
2021-01-29,0.0634,0.3018,0.2384
2021-01-28,0.0654,0.2879,0.2225
2021-01-27,0.0313,0.2375,0.2062
2021-01-26,0.009000000000000001,0.2074,0.1984
2021-01-25,-0.0099,0.1863,0.1961
2021-01-22,-0.0002,0.1984,0.1986
2021-01-21,0.0133,0.212,0.1987
2021-01-20,0.0441,0.2395,0.1953
2021-01-19,0.0532,0.2375,0.1843
2021-01-15,0.0391,0.2101,0.171
2021-01-14,0.0495,0.2108,0.1612
2021-01-13,0.0495,0.1984,0.1489
2021-01-12,-0.0209,0.1156,0.1365
2021-01-11,-0.0195,0.1222,0.1417
2021-01-08,0.0058,0.1524,0.1466
2021-01-07,-0.0247,0.1204,0.1451
2021-01-06,-0.0623,0.08900000000000001,0.1513
2021-01-05,-0.0326,0.1342,0.1669
2021-01-04,0.0048,0.1798,0.175
2020-12-31,0.0198,0.1936,0.1738
2020-12-30,0.0161,0.185,0.1689
2020-12-29,0.0268,0.1917,0.1649
2020-12-28,0.0413,0.1995,0.1581
2020-12-24,0.0424,0.1902,0.1478
2020-12-23,0.0364,0.1736,0.1372
2020-12-22,0.0176,0.1458,0.1281
2020-12-21,-0.0166,0.1071,0.1237
2020-12-18,-0.0167,0.1112,0.1279
2020-12-17,-0.0193,0.1128,0.132
2020-12-16,-0.0319,0.105,0.1368
2020-12-15,-0.0401,0.1047,0.1448
2020-12-14,-0.0255,0.1294,0.1548
2020-12-11,-0.0064,0.1548,0.1612
2020-12-10,0.0213,0.1841,0.1628
2020-12-09,0.049,0.2065,0.1575
2020-12-08,0.08900000000000001,0.2342,0.1452
2020-12-07,0.1146,0.2376,0.123
2020-12-04,0.1075,0.2018,0.0943
2020-12-03,0.1152,0.1827,0.0674
2020-12-02,0.1313,0.1699,0.0386
2020-12-01,0.1382,0.14400000000000002,0.0058
2020-11-30,0.1061,0.0774,-0.0287
2020-11-27,0.0993,0.0441,-0.0553
2020-11-25,0.081,0.0009,-0.0801
2020-11-24,0.0736,-0.0267,-0.1003
2020-11-23,0.0745,-0.0442,-0.1188
2020-11-20,0.0602,-0.0771,-0.1374
2020-11-19,0.0639,-0.0885,-0.1525
2020-11-18,0.0687,-0.0997,-0.1684
2020-11-17,0.0781,-0.1075,-0.1856
2020-11-16,0.0771,-0.128,-0.2051
2020-11-13,0.0771,-0.1473,-0.2244
2020-11-12,0.073,-0.1708,-0.2437
2020-11-11,0.0363,-0.2256,-0.262
2020-11-10,-0.0021,-0.2731,-0.271
2020-11-09,0.0108,-0.2597,-0.2705
2020-11-06,0.0304,-0.2429,-0.2732
2020-11-05,-0.0192,-0.3001,-0.2808
2020-11-04,-0.0937,-0.3697,-0.276
2020-11-03,-0.1479,-0.4005,-0.2526
2020-11-02,-0.1716,-0.3872,-0.2156
2020-10-30,-0.1625,-0.3352,-0.1727
2020-10-29,-0.1167,-0.2488,-0.1321
2020-10-28,-0.0999,-0.2028,-0.1029
2020-10-27,-0.0561,-0.1341,-0.0779
2020-10-26,-0.0272,-0.0911,-0.0639
2020-10-23,-0.0214,-0.0785,-0.0571
2020-10-22,-0.0066,-0.0583,-0.0518
2020-10-21,-0.0019,-0.052000000000000005,-0.0501
2020-10-20,0.0116,-0.0381,-0.0496
2020-10-19,0.0247,-0.0279,-0.0525
2020-10-16,0.0676,0.0089,-0.0587
2020-10-15,0.0887,0.0131,-0.0756
2020-10-14,0.112,0.0142,-0.0978
2020-10-13,0.1452,0.0195,-0.1258
2020-10-12,0.1575,-0.0046,-0.1621
2020-10-09,0.1531,-0.0483,-0.2015
2020-10-08,0.1433,-0.0964,-0.2397
2020-10-07,0.1273,-0.1483,-0.2756
2020-10-06,0.1185,-0.1889,-0.3074
2020-10-05,0.1223,-0.2148,-0.337
2020-10-02,0.1007,-0.2669,-0.3676
2020-10-01,0.1017,-0.2911,-0.3928
2020-09-30,0.1107,-0.3075,-0.4182
2020-09-29,0.1107,-0.3351,-0.4459
2020-09-28,0.0674,-0.4062,-0.4735
2020-09-25,0.0533,-0.4371,-0.4904
2020-09-24,0.0497,-0.454,-0.5037
2020-09-23,0.0593,-0.4568,-0.5161
2020-09-22,0.064,-0.4669,-0.531
2020-09-21,0.012,-0.5349,-0.547
2020-09-18,-0.0285,-0.5785,-0.55
2020-09-17,-0.0513,-0.5941,-0.5429
2020-09-16,-0.0958,-0.6258,-0.53
2020-09-15,-0.1571,-0.6632,-0.5061
2020-09-14,-0.1746,-0.6414,-0.4668
2020-09-11,-0.1913,-0.6144,-0.4231
2020-09-10,-0.1755,-0.5508,-0.3753
2020-09-09,-0.1544,-0.4859,-0.3315
2020-09-08,-0.1447,-0.4375,-0.2929
2020-09-04,-0.0894,-0.3461,-0.2567
2020-09-03,-0.051,-0.2854,-0.2343
2020-09-02,-0.0105,-0.232,-0.2216
2020-09-01,-0.0046,-0.2235,-0.219
2020-08-31,0.0125,-0.2053,-0.2178
2020-08-28,-0.0059,-0.2269,-0.2209
2020-08-27,-0.0092,-0.2287,-0.2195
2020-08-26,-0.0116,-0.2287,-0.2171
2020-08-25,-0.0274,-0.2417,-0.2143
2020-08-24,-0.0412,-0.2486,-0.2074
2020-08-21,-0.0435,-0.2406,-0.1971
2020-08-20,-0.0488,-0.235,-0.1862
2020-08-19,-0.0677,-0.2418,-0.174
2020-08-18,-0.0806,-0.2377,-0.1571
2020-08-17,-0.1063,-0.2433,-0.13699999999999998
2020-08-14,-0.1171,-0.2275,-0.1104
2020-08-13,-0.1129,-0.1941,-0.0811
2020-08-12,-0.1118,-0.1647,-0.0529
2020-08-11,-0.0826,-0.1076,-0.025
2020-08-10,-0.0167,-0.021,-0.0043
2020-08-07,0.0555,0.0554,-0.0001
2020-08-06,0.0852,0.0712,-0.014
2020-08-05,0.0739,0.0386,-0.0353
2020-08-04,0.0544,0.0006,-0.0538
2020-08-03,0.0195,-0.0479,-0.0674
2020-07-31,-0.0177,-0.0899,-0.0722
2020-07-30,-0.0421,-0.1099,-0.0678
2020-07-29,-0.0613,-0.1186,-0.0573
2020-07-28,-0.0789,-0.1209,-0.042
2020-07-27,-0.0724,-0.0947,-0.0223
2020-07-24,-0.071,-0.0751,-0.0041
2020-07-23,-0.0535,-0.0399,0.0136
2020-07-22,-0.0497,-0.0227,0.027000000000000003
2020-07-21,-0.0469,-0.0075,0.0394
2020-07-20,-0.0543,-0.0032,0.0511
2020-07-17,-0.0785,-0.0138,0.0647
2020-07-16,-0.0842,0.0001,0.0843
2020-07-15,-0.0591,0.0462,0.1054
2020-07-14,-0.0481,0.0721,0.1201
2020-07-13,-0.016,0.1161,0.1322
2020-07-10,0.0568,0.1929,0.1362
2020-07-09,0.0599,0.1819,0.122
2020-07-08,0.043,0.15,0.107
2020-07-07,0.022,0.1182,0.0963
2020-07-06,0.0126,0.1033,0.0908
2020-07-02,0.0154,0.103,0.0876
2020-07-01,-0.0141,0.0697,0.0838
2020-06-30,-0.053,0.0343,0.0873
2020-06-29,-0.0431,0.0574,0.1006
2020-06-26,-0.0151,0.0962,0.1113
2020-06-25,0.0332,0.1484,0.1151
2020-06-24,0.0099,0.1167,0.1068
2020-06-23,0.0137,0.118,0.1043
2020-06-22,-0.0032,0.0978,0.1009
2020-06-19,-0.0312,0.0705,0.1017
2020-06-18,-0.0657,0.0438,0.1095
2020-06-17,-0.1057,0.0202,0.1259
2020-06-16,-0.1595,-0.0071,0.1524
