date,1. open,2. high,3. low,4. close,5. volume
2021-01-06,76.29,76.66,72.8,73.62,4366347.0
2021-01-05,75.1,76.7,74.95,76.66,2202993.0
2021-01-04,73.88,74.21,72.75,72.85,3019552.0
2020-12-31,72.37,72.72,71.0,71.89,2561993.0
2020-12-30,72.01,72.47,71.6,71.72,3000835.0
2020-12-29,68.96,69.9,68.54,69.86,4625548.0
2020-12-28,68.15,68.4,67.13,67.28,6858034.0
2020-12-24,71.77,71.89,68.88,69.75,5695272.0
2020-12-23,73.31,73.8,73.31,73.65,1090639.0
2020-12-22,74.0,74.17,73.0965,73.29,3708777.0
2020-12-21,73.3,74.38,73.06,73.89,1617622.0
2020-12-18,75.24,75.44,74.5,75.31,1230917.0
2020-12-17,75.15,75.53,74.6,75.28,889253.0
2020-12-16,73.94,74.18,73.41,74.06,1218269.0
2020-12-15,72.75,73.28,72.4,73.12,1873138.0
2020-12-14,74.28,74.35,73.1,73.16,2448063.0
2020-12-11,75.7,75.7,75.02,75.14,1197853.0
2020-12-10,74.5,75.97,74.3,75.84,2123017.0
2020-12-09,75.84,75.84,74.1,74.59,1659134.0
2020-12-08,75.75,75.97,75.01,75.83,1515226.0
2020-12-07,75.23,75.9499,75.18,75.825,2157059.0
2020-12-04,76.08,76.1,75.28,75.73,1435972.0
2020-12-03,75.94,76.93,75.51,76.45,1487648.0
2020-12-02,74.12,75.05,73.655,74.5,2092057.0
2020-12-01,74.75,75.05,74.26,74.6,1883235.0
2020-11-30,73.02,73.61,72.65,73.0,3566805.0
2020-11-27,76.29,76.29,75.53,75.95,1093367.0
2020-11-25,74.47,74.85,74.08,74.75,1783038.0
2020-11-24,75.45,75.85,74.91,75.79,1635172.0
2020-11-23,76.06,76.06,74.45,74.67,2595757.0
2020-11-20,75.96,76.86,75.96,76.4,2661342.0
2020-11-19,74.37,75.47,74.05,75.18,3049225.0
2020-11-18,76.58,76.58,75.0,75.47,3060681.0
2020-11-17,75.33,75.81,75.0,75.02,1772674.0
2020-11-16,76.7,76.83,75.37,75.83,3108118.0
2020-11-13,77.2,77.7,76.16,76.46,7205533.0
2020-11-12,76.0,77.2,72.86,73.3,5667668.0
2020-11-11,71.85,73.96,71.26,73.44,6282608.0
2020-11-10,76.35,76.45,73.45,73.8,6034224.0
2020-11-09,80.83,80.83,77.3,78.56,5604931.0
2020-11-06,80.05,80.28,79.63,79.76,5905812.0
2020-11-05,81.22,81.35,80.2,80.83,5021057.0
2020-11-04,77.48,79.47,77.18,78.71,5321484.0
2020-11-03,75.5,75.9,74.19,74.97,5947694.0
2020-11-02,78.38,78.42,76.68,77.48,4204371.0
2020-10-30,77.0,77.2,75.8256,76.34,3582319.0
2020-10-29,77.85,78.85,77.64,78.53,3841995.0
2020-10-28,76.74,76.8,75.72,75.95,4517214.0
2020-10-27,75.2,77.14,75.2,76.75,3302936.0
2020-10-26,72.44,72.95,71.77,72.59,2333952.0
2020-10-23,72.31,73.03,71.52,73.03,1593648.0
2020-10-22,72.82,73.1,72.01,72.2,1583367.0
2020-10-21,72.68,73.37,72.58,72.89,2154514.0
2020-10-20,72.64,73.38,72.58,72.75,2161311.0
2020-10-19,72.88,73.29,71.97,72.13,1837201.0
2020-10-16,72.32,72.91,71.96,72.72,3445087.0
2020-10-15,70.69,72.18,70.62,71.95,1903955.0
2020-10-14,73.97,74.23,72.96,73.0,2627164.0
2020-10-13,73.12,74.24,72.45,74.04,3768602.0
2020-10-12,71.73,73.12,71.66,73.08,3195127.0
2020-10-09,70.05,70.98,69.67,70.94,2119395.0
2020-10-08,68.97,69.63,68.71,69.56,2187028.0
2020-10-07,69.2,69.71,68.55,69.32,3890039.0
2020-10-06,68.37,69.28,68.2,68.81,3583313.0
2020-10-05,67.52,68.57,67.52,68.39,1506246.0
2020-10-02,67.46,68.58,67.05,67.23,2560298.0
2020-10-01,68.5,68.69,67.75,68.52,2571246.0
2020-09-30,66.23,67.75,65.62,67.65,3734891.0
2020-09-29,65.6,65.99,65.25,65.55,1647914.0
2020-09-28,65.86,65.86,65.02,65.64,1191691.0
2020-09-25,64.75,65.51,64.32,65.31,4351253.0
2020-09-24,65.1,66.26,64.7,65.62,2265309.0
2020-09-23,66.5,66.85,65.5,65.5,2045107.0
2020-09-22,66.5,66.5,65.848,66.38,1825921.0
2020-09-21,65.34,66.63,65.34,66.57,3414558.0
2020-09-18,66.81,67.45,66.69,67.02,4876775.0
2020-09-17,67.7,68.59,66.58,66.66,2331799.0
2020-09-16,68.75,69.18,68.209,68.32,2134565.0
2020-09-15,69.05,69.19,68.73,68.98,1466529.0
2020-09-14,68.15,68.66,67.86,68.46,1971682.0
2020-09-11,66.38,66.64,65.62,66.19,2406311.0
