date,MACD_Hist,MACD,MACD_Signal
2021-02-02,-0.1082,3.1416,3.2498
2021-02-01,-0.281,3.0229,3.3039
2021-01-29,0.727,4.4497,3.7227
2021-01-28,1.0408,4.5817,3.5409
2021-01-27,1.3518,4.6326,3.2807
2021-01-26,1.8503,4.7931,2.9428
2021-01-25,2.0255,4.5057,2.4802
2021-01-22,1.7288,3.7027,1.9738
2021-01-21,1.6576,3.1992,1.5416
2021-01-20,1.5772,2.7045,1.1272
2021-01-19,1.3385,2.0714,0.7329
2021-01-15,1.0558,1.4541,0.3983
2021-01-14,0.8825,1.0168,0.1343
2021-01-13,0.6777,0.5915,-0.0863
2021-01-12,0.537,0.2813,-0.2557
2021-01-11,0.4962,0.1063,-0.39
2021-01-08,0.4432,-0.0708,-0.514
2021-01-07,0.2079,-0.4169,-0.6248
2021-01-06,0.2407,-0.4361,-0.6768
2021-01-05,0.2042,-0.5328,-0.737
2021-01-04,-0.1699,-0.9579,-0.7879999999999999
2020-12-31,-0.3531,-1.0987,-0.7456
2020-12-30,-0.5073,-1.1646,-0.6573
2020-12-29,-0.684,-1.2145,-0.5305
2020-12-28,-0.7117,-1.0711,-0.3594
2020-12-24,-0.4283,-0.6099,-0.1815
2020-12-23,-0.1893,-0.2638,-0.0744
2020-12-22,-0.1881,-0.2153,-0.0271
2020-12-21,-0.1335,-0.1136,0.0199
2020-12-18,-0.0965,-0.0432,0.0533
2020-12-17,-0.1748,-0.0974,0.0774
2020-12-16,-0.2831,-0.162,0.1211
2020-12-15,-0.3098,-0.118,0.1919
2020-12-14,-0.2336,0.0357,0.2693
2020-12-11,-0.1005,0.2272,0.3278
2020-12-10,-0.0861,0.2668,0.3529
2020-12-09,-0.1323,0.2421,0.3744
2020-12-08,-0.0731,0.3344,0.4075
2020-12-07,-0.1047,0.3211,0.4257
2020-12-04,-0.152,0.2999,0.4519
2020-12-03,-0.2118,0.2781,0.4899
2020-12-02,-0.3698,0.173,0.5428
2020-12-01,-0.4004,0.2349,0.6353
2020-11-30,-0.4351,0.3003,0.7354
2020-11-27,-0.3018,0.5423,0.8442
2020-11-25,-0.3767,0.5429999999999999,0.9196
2020-11-24,-0.3557,0.6581,1.0138
2020-11-23,-0.4132,0.6895,1.1027
2020-11-20,-0.3724,0.8336,1.206
2020-11-19,-0.4698,0.8293,1.2991
2020-11-18,-0.4806,0.936,1.4166
2020-11-17,-0.5077,1.029,1.5367
2020-11-16,-0.4851,1.1785,1.6636
2020-11-13,-0.5151,1.2698,1.7849
2020-11-12,-0.61,1.3037,1.9137
2020-11-11,-0.4165,1.6497,2.0662
2020-11-10,-0.1173,2.0531,2.1703
2020-11-09,0.3018,2.5014,2.1997
2020-11-06,0.4284,2.5526,2.1242
2020-11-05,0.4416,2.4587,2.0171
2020-11-04,0.2874,2.1941,1.9067
2020-11-03,0.2055,2.0403,1.8349
2020-11-02,0.4117,2.1952,1.7835
2020-10-30,0.4248,2.1053,1.6806
2020-10-29,0.5017,2.0761,1.5744
2020-10-28,0.3366,1.7856,1.4489
2020-10-27,0.2867,1.6515,1.3648
2020-10-26,0.0818,1.3749,1.2931
2020-10-23,0.1528,1.4254,1.2727
2020-10-22,0.1899,1.4244,1.2345
2020-10-21,0.2999,1.4868,1.187
2020-10-20,0.3627,1.4747,1.112
2020-10-19,0.4306,1.452,1.0213
2020-10-16,0.5513,1.465,0.9137
2020-10-15,0.6243,1.4002,0.7759
2020-10-14,0.7558,1.3755,0.6198
2020-10-13,0.7863,1.2172,0.4308
2020-10-12,0.6572,0.8914,0.2343
2020-10-09,0.4905,0.5605,0.07
2020-10-08,0.4004,0.3477,-0.0527
2020-10-07,0.3644,0.2117,-0.1528
2020-10-06,0.3033,0.0594,-0.2439
2020-10-05,0.2358,-0.0839,-0.3197
2020-10-02,0.1558,-0.2229,-0.3786
2020-10-01,0.1387,-0.2789,-0.4176
2020-09-30,-0.0254,-0.4776,-0.4523
2020-09-29,-0.1899,-0.6358,-0.4459
2020-09-28,-0.2161,-0.6146,-0.3984
2020-09-25,-0.2433,-0.5877,-0.3444
2020-09-24,-0.2277,-0.5113,-0.2836
2020-09-23,-0.2113,-0.4379,-0.2267
2020-09-22,-0.1518,-0.3256,-0.1738
2020-09-21,-0.1313,-0.2672,-0.1359
2020-09-18,-0.105,-0.2081,-0.1031
2020-09-17,-0.0986,-0.1754,-0.0768
2020-09-16,-0.0423,-0.0945,-0.0522
2020-09-15,-0.1173,-0.1589,-0.0416
2020-09-14,-0.2937,-0.3059,-0.0123
2020-09-11,-0.4974,-0.4362,0.0611
2020-09-10,-0.5506,-0.3651,0.1855
2020-09-09,-0.4689,-0.1457,0.3231
2020-09-08,-0.4415,-0.0011,0.4403
2020-09-04,-0.2053,0.3454,0.5507
2020-09-03,-0.0546,0.5474,0.602
2020-09-02,0.1643,0.78,0.6157
2020-09-01,0.1947,0.7693,0.5746
2020-08-31,0.1797,0.7057,0.5259
2020-08-28,0.3541,0.8351,0.481
2020-08-27,0.3942,0.7867,0.3925
2020-08-26,0.339,0.6329,0.2939
2020-08-25,0.2081,0.4173,0.2092
2020-08-24,-0.0171,0.1401,0.1572
2020-08-21,-0.2541,-0.0926,0.1615
2020-08-20,-0.5714,-0.3465,0.225
2020-08-19,-0.6983,-0.3305,0.3678
2020-08-18,-0.7092,-0.1668,0.5424
2020-08-17,-0.7943,-0.0746,0.7197
2020-08-14,-0.8761,0.0422,0.9183
2020-08-13,-0.8225,0.3148,1.1373
2020-08-12,-0.7305,0.6124,1.3429
2020-08-11,-0.8151,0.7104,1.5256
2020-08-10,-0.6954,1.0339,1.7294
2020-08-07,-0.3635,1.5398,1.9032
2020-08-06,-0.0683,1.9257,1.9941
2020-08-05,-0.1655,1.8456,2.0112
2020-08-04,-0.3238,1.7288,2.0525
2020-08-03,-0.4507,1.6828,2.1335
2020-07-31,-0.4847,1.7615,2.2462
2020-07-30,-0.418,1.9493,2.3673
2020-07-29,-0.3692,2.1026,2.4719
2020-07-28,-0.4348,2.1293,2.5642
2020-07-27,-0.4081,2.2648,2.6729
2020-07-24,-0.2897,2.4851,2.7749
2020-07-23,-0.1669,2.6804,2.8473
2020-07-22,-0.1634,2.7256,2.889
2020-07-21,-0.125,2.8048,2.9299
2020-07-20,-0.264,2.6972,2.9612
2020-07-17,-0.2532,2.774,3.0272
2020-07-16,-0.1121,2.9783,3.0905
2020-07-15,0.1262,3.2447,3.1185
2020-07-14,0.1726,3.2595,3.0869
2020-07-13,0.4184,3.4622,3.0438
2020-07-10,0.6701,3.6093,2.9392
2020-07-09,0.7429,3.5146,2.7717
2020-07-08,0.667,3.2529,2.5859
2020-07-07,0.4922,2.9114,2.4192
2020-07-06,0.5839,2.88,2.2961
2020-07-02,0.4962,2.6464,2.1502
2020-07-01,0.416,2.4421,2.0261
2020-06-30,0.3938,2.3159,1.9221
2020-06-29,0.4013,2.2249,1.8236
2020-06-26,0.4682,2.1916,1.7233
2020-06-25,0.579,2.1853,1.6063
2020-06-24,0.631,2.0925,1.4615
2020-06-23,0.6145,1.9183,1.3038
2020-06-22,0.4129,1.5630000000000002,1.1501
2020-06-19,0.2284,1.2753,1.0469
2020-06-18,0.2255,1.2153,0.9898
2020-06-17,0.1611,1.0946,0.9334
2020-06-16,0.1129,1.006,0.8932
2020-06-15,0.047,0.912,0.8649
2020-06-12,0.0527,0.9059,0.8532
2020-06-11,0.0531,0.8931,0.84
2020-06-10,0.1257,0.9524,0.8267
2020-06-09,0.0041,0.7994,0.7953
2020-06-08,0.0029,0.7972,0.7943
2020-06-05,0.0091,0.8027,0.7935
2020-06-04,-0.0152,0.7759999999999999,0.7912
2020-06-03,-0.0155,0.7795,0.7951
2020-06-02,-0.1046,0.6943,0.7989
2020-06-01,-0.2567,0.5683,0.8251
2020-05-29,-0.3698,0.5194,0.8893
2020-05-28,-0.4447,0.537,0.9817
2020-05-27,-0.3306,0.7623,1.0929
2020-05-26,-0.2721,0.9035,1.1755
2020-05-22,-0.2067,1.0369,1.2436
2020-05-21,0.0221,1.3173,1.2952
2020-05-20,0.1149,1.4046,1.2897
2020-05-19,0.0849,1.3459,1.261
2020-05-18,0.1358,1.3756,1.2398
2020-05-15,0.1571,1.3629,1.2058
2020-05-14,0.3325,1.499,1.1666
2020-05-13,0.3649,1.4483,1.0834
2020-05-12,0.1983,1.1905,0.9922
2020-05-11,0.1534,1.0961,0.9426
2020-05-08,-0.0062,0.8981,0.9043
2020-05-07,-0.1328,0.773,0.9058
2020-05-06,-0.1521,0.787,0.939
2020-05-05,-0.1644,0.8126,0.9771
2020-05-04,-0.1449,0.8732,1.0182
2020-05-01,-0.0556,0.9988,1.0544
2020-04-30,0.129,1.1973,1.0683
2020-04-29,0.2378,1.2738,1.0361
2020-04-28,0.2311,1.2077,0.9766
2020-04-27,0.2489,1.1678,0.9188
2020-04-24,0.2574,1.114,0.8566
2020-04-23,0.2826,1.0748,0.7922
2020-04-22,0.3272,1.0488,0.7216
2020-04-21,0.32,0.9598,0.6398
2020-04-20,0.4542,1.014,0.5598
2020-04-17,0.4809,0.9272,0.4462
2020-04-16,0.4881,0.8141,0.326
2020-04-15,0.3768,0.5808,0.204
2020-04-14,0.3831,0.4928,0.1098
2020-04-13,0.3097,0.3237,0.014
2020-04-09,0.3341,0.2707,-0.0634
2020-04-08,0.3795,0.2326,-0.1469
2020-04-07,0.3533,0.1115,-0.2418
2020-04-06,0.3546,0.0245,-0.3301
2020-04-03,0.284,-0.1348,-0.4188
2020-04-02,0.3701,-0.1197,-0.4898
2020-04-01,0.3811,-0.2013,-0.5823
2020-03-31,0.5539,-0.1238,-0.6776
2020-03-30,0.5869,-0.2292,-0.8161
2020-03-27,0.5465,-0.4163,-0.9628
2020-03-26,0.5611,-0.5383,-1.0994
2020-03-25,0.2945,-0.9452,-1.2397
2020-03-24,0.0504,-1.263,-1.3133
2020-03-23,-0.2399,-1.5658,-1.3259
2020-03-20,-0.4606,-1.7265,-1.2659
2020-03-19,-0.6368,-1.7876,-1.1508
2020-03-18,-0.8531,-1.8447,-0.9916
2020-03-17,-0.8056,-1.5839,-0.7783
2020-03-16,-0.8807,-1.4577,-0.5769
2020-03-13,-0.6667,-1.0234,-0.3567
2020-03-12,-0.6887,-0.8788,-0.1901
2020-03-11,-0.4035,-0.4214,-0.0179
2020-03-10,-0.3157,-0.2327,0.083
2020-03-09,-0.3464,-0.1845,0.1619
2020-03-06,-0.1859,0.0626,0.2485
2020-03-05,-0.1547,0.1403,0.295
2020-03-04,-0.2576,0.076,0.3336
2020-03-03,-0.3595,0.0385,0.3981
2020-03-02,-0.3922,0.0958,0.4879
2020-02-28,-0.4216,0.1644,0.586
2020-02-27,-0.3839,0.3075,0.6914
2020-02-26,-0.3209,0.4664,0.7873
2020-02-25,-0.3281,0.5395,0.8676
2020-02-24,-0.2597,0.6899,0.9496
2020-02-21,-0.041,0.9735,1.0145
2020-02-20,0.0873,1.112,1.0248
2020-02-19,0.1895,1.1924,1.0029
2020-02-18,0.2267,1.1823,0.9556
2020-02-14,0.2892,1.1881,0.8989
2020-02-13,0.3055,1.1321,0.8266
2020-02-12,0.2716,1.0218,0.7502
2020-02-11,0.1869,0.8692,0.6823
2020-02-10,0.1064,0.742,0.6356
2020-02-07,0.035,0.644,0.609
2020-02-06,0.0018,0.602,0.6002
2020-02-05,-0.0977,0.5021,0.5997
2020-02-04,-0.198,0.4261,0.6242
2020-02-03,-0.3771,0.2966,0.6737
2020-01-31,-0.4724,0.2956,0.7679
2020-01-30,-0.4407,0.4454,0.8859999999999999
2020-01-29,-0.485,0.5112,0.9962
2020-01-28,-0.5753,0.5421,1.1174
2020-01-27,-0.5545,0.7068,1.2613
2020-01-24,-0.412,0.9879,1.3999
2020-01-23,-0.3239,1.1789,1.5029
2020-01-22,-0.2716,1.3122,1.5838
2020-01-21,-0.1916,1.4602,1.6518
2020-01-17,-0.0038,1.6958,1.6997
2020-01-16,0.0286,1.7292,1.7006
2020-01-15,0.0583,1.7517,1.6935
2020-01-14,0.1147,1.7936,1.6789
2020-01-13,0.1484,1.7986,1.6502
2020-01-10,0.0722,1.6854,1.6131
2020-01-09,0.0107,1.6057,1.5951
2020-01-08,-0.0152,1.5772,1.5924
2020-01-07,0.006,1.6022,1.5962
2020-01-06,0.0028,1.5975,1.5947
2020-01-03,0.0769,1.6709,1.594
2020-01-02,0.1391,1.7139,1.5748
2019-12-31,0.1175,1.6575,1.54
2019-12-30,0.2407,1.7514,1.5107
2019-12-27,0.3333,1.7837,1.4505
2019-12-26,0.369,1.7361,1.3672
2019-12-24,0.4193,1.6943,1.2749
2019-12-23,0.4933,1.6634,1.1701
2019-12-20,0.5409,1.5877,1.0467
2019-12-19,0.5879,1.4994,0.9115
2019-12-18,0.5862,1.3507,0.7645
2019-12-17,0.5091,1.127,0.618
2019-12-16,0.4106,0.9013,0.4907
2019-12-13,0.3462,0.7342,0.3881
2019-12-12,0.2616,0.5631,0.3015
