date,MFI
2021-01-19,70.2778
2021-01-15,60.513999999999996
2021-01-14,53.3408
2021-01-13,51.4653
2021-01-12,45.4234
2021-01-11,41.9476
2021-01-08,43.7491
2021-01-07,31.2909
2021-01-06,38.5048
2021-01-05,41.0742
2021-01-04,35.0002
2020-12-31,28.5355
2020-12-30,34.7429
2020-12-29,27.6577
2020-12-28,16.6123
2020-12-24,19.0005
2020-12-23,22.0734
2020-12-22,23.4874
2020-12-21,25.0898
2020-12-18,32.878
2020-12-17,29.9734
2020-12-16,30.5639
2020-12-15,25.3123
2020-12-14,31.8129
2020-12-11,31.5731
2020-12-10,39.6368
2020-12-09,30.9218
2020-12-08,39.7225
2020-12-07,39.3925
2020-12-04,38.1659
2020-12-03,51.9087
2020-12-02,56.6951
2020-12-01,51.6573
2020-11-30,43.563
2020-11-27,41.5315
2020-11-25,35.821
2020-11-24,42.5836
2020-11-23,46.0655
2020-11-20,43.7949
2020-11-19,45.1145
2020-11-18,44.7248
2020-11-17,45.443000000000005
2020-11-16,43.718
2020-11-13,48.1261
2020-11-12,41.0146
2020-11-11,37.3058
2020-11-10,40.1325
2020-11-09,46.6152
2020-11-06,53.9591
2020-11-05,59.0165
2020-11-04,57.1699
2020-11-03,49.0881
2020-11-02,53.3428
2020-10-30,52.5528
2020-10-29,61.5204
2020-10-28,59.3461
2020-10-27,70.0252
2020-10-26,70.2278
2020-10-23,77.6643
2020-10-22,77.5521
2020-10-21,75.8281
2020-10-20,75.997
2020-10-19,76.8092
2020-10-16,81.4993
2020-10-15,80.2493
2020-10-14,75.8711
2020-10-13,77.1442
2020-10-12,70.4549
2020-10-09,69.0828
2020-10-08,60.8858
2020-10-07,51.1125
2020-10-06,42.7469
2020-10-05,34.3715
2020-10-02,34.3303
2020-10-01,40.515
2020-09-30,40.102
2020-09-29,30.2291
2020-09-28,32.284
2020-09-25,27.4438
2020-09-24,28.0439
2020-09-23,26.3585
2020-09-22,25.1375
2020-09-21,27.4657
2020-09-18,27.2792
2020-09-17,28.9224
2020-09-16,36.1571
2020-09-15,43.3096
2020-09-14,46.3577
2020-09-11,47.6385
2020-09-10,48.9055
2020-09-09,53.8643
2020-09-08,48.4656
2020-09-04,53.8838
2020-09-03,60.3689
2020-09-02,62.706
2020-09-01,62.3711
2020-08-31,63.0951
2020-08-28,71.2996
2020-08-27,61.9192
2020-08-26,49.0085
2020-08-25,43.6442
2020-08-24,42.2437
2020-08-21,41.118
2020-08-20,40.6393
2020-08-19,36.688
2020-08-18,36.781
2020-08-17,37.6565
2020-08-14,39.6053
2020-08-13,38.9982
2020-08-12,39.592
2020-08-11,40.9101
2020-08-10,35.2414
2020-08-07,46.5743
2020-08-06,59.7516
2020-08-05,63.9598
2020-08-04,57.0577
2020-08-03,57.9416
2020-07-31,50.9629
2020-07-30,48.1204
2020-07-29,46.8982
2020-07-28,51.0769
2020-07-27,52.563
2020-07-24,53.9072
2020-07-23,60.7386
2020-07-22,59.7607
2020-07-21,65.8279
2020-07-20,65.8578
2020-07-17,65.8001
2020-07-16,62.3449
2020-07-15,62.468999999999994
2020-07-14,57.0395
2020-07-13,63.9533
2020-07-10,74.7823
2020-07-09,76.4135
2020-07-08,74.2971
2020-07-07,72.5479
2020-07-06,78.5141
2020-07-02,73.3646
2020-07-01,71.9046
2020-06-30,66.3783
2020-06-29,65.6945
2020-06-26,65.1657
2020-06-25,62.6103
2020-06-24,70.3328
2020-06-23,70.3149
2020-06-22,69.1484
2020-06-19,66.7277
2020-06-18,72.7971
2020-06-17,74.7855
2020-06-16,67.2626
2020-06-15,58.6422
2020-06-12,65.1313
2020-06-11,55.1159
2020-06-10,52.4035
2020-06-09,53.7953
2020-06-08,54.8156
2020-06-05,60.992
2020-06-04,53.8952
2020-06-03,51.3707
2020-06-02,55.5996
2020-06-01,49.4787
2020-05-29,51.0741
